train_auc,train_acc,test_auc,test_acc,final_epoch,active_dims,n_test_samples,n_train_samples,K_MODEL,lambda_tau,scenario,n_models,n_items
0.8662889903019835,0.8166561258822637,0.8105555912906575,0.7814666850346697,1999,43,21777,197645,100,20,boolq,183,3316
0.8637070480290077,0.8146373548533987,0.8102157528797422,0.7816044450567112,1710,49,21777,197645,50,20,boolq,183,3316
0.8635910353805344,0.8146778314655063,0.8099868647352811,0.7810534049685448,1190,89,21777,197645,100,15,boolq,183,3316
0.8618653825953028,0.8134534139492524,0.8098766576121532,0.7810534049685448,1999,35,21777,197645,100,25,boolq,183,3316
0.8604672735240062,0.8119911963368666,0.8096046671547742,0.7810534049685448,1840,44,21777,197645,50,25,boolq,183,3316
0.8625960904976224,0.8140555035543525,0.809344948883712,0.7817881250861,1500,50,21777,197645,50,15,boolq,183,3316
0.8676672338343295,0.8178754838220041,0.8091712546133718,0.7801350048216008,1430,50,21777,197645,50,5,boolq,183,3316
0.858179403819905,0.8106959447494245,0.8090748111239308,0.7823850851816136,1999,29,21777,197645,100,30,boolq,183,3316
0.8652517360851677,0.8168028536011536,0.8083533995793313,0.7788951646232264,990,100,21777,197645,100,5,boolq,183,3316
0.8521329719316029,0.8062586961471325,0.8079723528388363,0.7806860449097672,1999,23,21777,197645,100,40,boolq,183,3316
0.850641263302027,0.8056920235776266,0.807545881462529,0.7819718051154888,1930,25,21777,197645,50,40,boolq,183,3316
0.8485819679441681,0.7995648764198436,0.8071320332013319,0.7780226844836295,1999,33,21777,197645,50,30,boolq,183,3316
0.8449184504553695,0.8012041792102002,0.8056763289611458,0.7799972447995591,1910,19,21777,197645,50,50,boolq,183,3316
0.8448413385349797,0.8011890004806598,0.8054818215169552,0.778803324608532,1760,19,21777,197645,100,50,boolq,183,3316
0.8369546282753146,0.7955222747856004,0.8034124615144651,0.7776094044175047,1980,13,21777,197645,50,75,boolq,183,3316
0.8362686030967197,0.7950112575577424,0.8034073885291204,0.7769665243146439,1999,11,21777,197645,100,75,boolq,183,3316
0.8356727396129746,0.7945052999063978,0.8032501724298944,0.7771502043440327,1999,11,21777,197645,50,80,boolq,183,3316
0.8355157520921629,0.7943838700700752,0.8032232799307787,0.7774257243881159,1999,11,21777,197645,100,80,boolq,183,3316
0.8317890323165391,0.7919249158845405,0.8022401735602981,0.7760022041603527,1999,9,21777,197645,50,100,boolq,183,3316
0.8309942211188783,0.7909028814288244,0.8020769142608295,0.7766910042705607,1999,8,21777,197645,100,100,boolq,183,3316
