train_auc,train_acc,test_auc,test_acc,final_epoch,active_dims,n_test_samples,n_train_samples,K_MODEL,lambda_tau,scenario,n_models,n_items
0.7836176996188535,0.7656000042574252,0.7479500656999062,0.7526995046516752,560,100,104371,939535,100,100,mmlu,183,13223
0.7851808628485335,0.7664961922653227,0.7470187906000161,0.7521246323212386,560,100,104371,939535,100,80,mmlu,183,13223
0.7842639432220823,0.766073642812668,0.7469741321004626,0.7522683504038478,600,50,104371,939535,50,100,mmlu,183,13223
0.7856445044261101,0.7666984199630669,0.7466979551009816,0.7519234270055859,560,100,104371,939535,100,75,mmlu,183,13223
0.7851985757527168,0.7665259942418324,0.7462276546395037,0.7516934780734112,600,50,104371,939535,50,80,mmlu,183,13223
0.7854289554945558,0.7666686179865572,0.7460661552153356,0.751444366730222,600,50,104371,939535,50,75,mmlu,183,13223
0.7863920651352476,0.7671071327837707,0.7452239144387142,0.7511856741815255,590,50,104371,939535,50,50,mmlu,183,13223
0.7868267352531233,0.7674008951236516,0.7449082469032196,0.7509174004273218,590,50,104371,939535,50,40,mmlu,183,13223
0.7882304201896515,0.7680278009866583,0.7448310800059528,0.7508311695777563,560,100,104371,939535,100,50,mmlu,183,13223
0.7872318338584492,0.7675392614431608,0.7445884140693609,0.7508311695777563,590,50,104371,939535,50,30,mmlu,183,13223
0.7874403725696865,0.7676531475676798,0.7444297310342911,0.7507257763171762,590,50,104371,939535,50,25,mmlu,183,13223
0.7876300532666667,0.7677106228080912,0.7442748909479444,0.7505628958235525,590,50,104371,939535,50,20,mmlu,183,13223
0.7878249432736741,0.7678032218065319,0.7441280106435288,0.7505533146180452,590,50,104371,939535,50,15,mmlu,183,13223
0.7893050751987515,0.7686249048731554,0.7440278908739113,0.7504862461794943,560,100,104371,939535,100,40,mmlu,183,13223
0.788230760093745,0.7680586673194719,0.7438199564204566,0.7505628958235525,590,50,104371,939535,50,5,mmlu,183,13223
0.7903445366295067,0.7691464394620743,0.7432435758768792,0.750371271713407,560,100,104371,939535,100,30,mmlu,183,13223
0.7908456601163583,0.7694700037784649,0.7428699528064437,0.7502658784528269,560,100,104371,939535,100,25,mmlu,183,13223
0.791369350779887,0.7696647809820816,0.7424405064425016,0.7487041419551408,560,100,104371,939535,100,20,mmlu,183,13223
0.791792147935857,0.769901068081551,0.7420403386681245,0.7497676557664485,560,100,104371,939535,100,15,mmlu,183,13223
0.7926477244673139,0.770293815557696,0.7414062568626097,0.7498443054105067,560,100,104371,939535,100,5,mmlu,183,13223
