train_auc,train_acc,test_auc,test_acc,final_epoch,active_dims,n_test_samples,n_train_samples,K_MODEL,lambda_tau,scenario,n_models,n_items
0.9311275515216271,0.8767515364354697,0.8029360797308145,0.7814385519212449,1120,100,12596,113900,100,5,truthful_qa,183,1888
0.9250411174067884,0.8711413520632133,0.8016655293858445,0.7804858685296919,1720,55,12596,113900,100,15,truthful_qa,183,1888
0.9246914508273487,0.8710974539069359,0.8010573098030813,0.781676722769133,1500,50,12596,113900,50,5,truthful_qa,183,1888
0.9173951668971188,0.8642230026338894,0.7996467900128599,0.7803270879644332,1630,50,12596,113900,50,15,truthful_qa,183,1888
0.9124348233750486,0.8604565408252853,0.7992575121097221,0.7764369641155923,1670,44,12596,113900,100,20,truthful_qa,183,1888
0.912095778331495,0.8601931518876207,0.798361971314468,0.7777865989202921,1970,45,12596,113900,50,20,truthful_qa,183,1888
0.9014915353377589,0.8519402985074627,0.7960455661727613,0.7731025722451572,1790,34,12596,113900,100,25,truthful_qa,183,1888
0.901649497090208,0.8515188762071993,0.7957447210426791,0.7735789139409336,1999,37,12596,113900,50,25,truthful_qa,183,1888
0.8924014701306967,0.8450131694468832,0.7931900033806693,0.7721498888536044,1700,30,12596,113900,100,30,truthful_qa,183,1888
0.8904386264359445,0.8429762949956102,0.7925366368665901,0.7723880597014925,1660,31,12596,113900,50,30,truthful_qa,183,1888
0.8775152285072944,0.8359350307287094,0.7901394449281727,0.7692918386789457,1999,22,12596,113900,100,40,truthful_qa,183,1888
0.8764961766590726,0.8347585601404741,0.788615243582971,0.7689742775484281,1999,23,12596,113900,50,40,truthful_qa,183,1888
0.8644710972945341,0.8279806848112379,0.7838856256234069,0.7675452524610987,1630,18,12596,113900,100,50,truthful_qa,183,1888
0.8655497897192095,0.8283582089552238,0.7831142195029221,0.7657986662432519,1999,18,12596,113900,50,50,truthful_qa,183,1888
0.8433984334874765,0.815118525021949,0.7726718475057942,0.7583359796760877,1760,11,12596,113900,100,75,truthful_qa,183,1888
0.8427599326527329,0.8141703248463564,0.7722924799046527,0.7597650047634169,1570,12,12596,113900,50,75,truthful_qa,183,1888
0.8400690510560342,0.8132748024582968,0.7715479200013127,0.7577802476976818,1830,10,12596,113900,50,80,truthful_qa,183,1888
0.8408065215352967,0.8134064969271291,0.771084834387377,0.758812321371864,1760,11,12596,113900,100,80,truthful_qa,183,1888
0.831283439728736,0.8086391571553995,0.7660432357784297,0.7552397586535408,1880,9,12596,113900,50,100,truthful_qa,183,1888
0.8311177401829113,0.8081035996488147,0.7656825566184549,0.755477929501429,1720,10,12596,113900,100,100,truthful_qa,183,1888
