,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19
item_0,-0.0094078835,-0.21915874,-0.10707858,-0.46218106,-0.5009569,0.26487175,-0.061964743,-0.28658628,-0.4888241,0.20277196,-0.27654657,-0.4415149,0.11799374,0.45891288,-0.33181775,0.36481774,0.77635086,-0.37702182,-0.03557636
item_1,-0.2702357,0.20442863,-0.12419179,0.17676353,0.034280185,-0.29516885,0.27663264,0.09178674,-0.024597984,0.3826538,0.20666654,0.045089208,0.59835315,-0.0060601356,-0.04960136,-0.016811715,0.008736615,-0.30174404,-0.08752966
item_2,-0.0404774,-0.4007566,-0.40536076,-0.027585737,-0.11717234,-0.30059534,0.090286665,0.09549355,-0.6510402,0.013696055,0.012515746,0.45867544,0.041809544,-0.17623264,0.028041365,-0.025389368,0.048776876,-0.29819807,-0.32427862
item_3,0.4127814,0.2794089,-0.09596454,-0.06409063,0.7430466,-0.5288277,-0.014766554,0.29205123,0.46643054,0.3055445,0.5328543,0.19828133,-0.27854842,0.29431403,-0.03276033,-0.18982403,0.2622108,-0.25912863,-0.33920544
item_4,-0.13084246,0.43836927,-0.60051674,-0.27255833,-0.27902105,-0.10649781,-0.2760311,0.17052393,-0.8593979,0.51611805,0.2097505,-0.2360644,0.21291235,0.5710925,-0.065289915,0.30860975,0.058640745,0.027436411,0.022371206
item_5,0.45750436,-0.23073857,-0.5050164,-0.2876374,0.32571405,-0.19184992,-0.07817635,0.47188112,0.148706,0.052083272,-0.33232924,-0.10526239,-0.040601976,0.76857346,-0.31964484,0.0023054995,-0.012637226,-0.381393,-0.3093952
item_6,-0.39747992,-0.43608856,-0.02912365,0.04990811,-0.08853167,-0.35775474,0.15129933,-0.2055094,-0.14578791,-0.15867698,-0.021196324,-0.3062099,-0.45285547,0.6384987,-0.02640673,0.072068326,0.74089783,-0.30929098,-0.29408863
item_7,0.28162828,0.29593155,-0.19719109,0.1664234,0.33448,-0.6842117,0.058292102,0.041156676,0.4687,-0.06700993,0.21711537,-0.17160077,0.33400157,-0.25822487,-0.24455237,-0.16758604,0.20231977,0.102851175,-0.18934748
item_8,0.11966945,0.41218594,-0.060009032,0.13365993,-0.54329914,0.024906345,0.013976542,0.42813373,-0.052423157,-0.09119593,-0.4117083,-0.98654735,0.09345119,-0.1937344,-0.78647965,0.42549446,-0.2432216,-0.34334487,-0.47754285
item_9,-0.008260608,0.1535559,0.2758069,-0.15206142,-0.0756919,0.018128034,0.015134573,0.28304622,-0.14576541,0.4211909,0.39748728,0.10636942,-0.16606559,0.009292489,-0.0030981544,-0.010018759,-0.26857954,-0.17652135,-0.28751713
item_10,0.0101649305,-0.4304861,0.2895173,0.2082879,0.1357264,0.08897872,0.29980877,0.20301159,-0.43241587,0.050741903,0.3564436,0.6002865,-0.17360905,-0.28940627,0.18425407,-0.5594552,0.06955997,-0.71078235,-0.504809
item_11,-0.26855126,0.226105,-0.18956187,-0.09104436,-0.15707378,0.0007734448,-0.1476531,-0.3391062,-0.2507599,0.1567745,0.36256942,0.30326456,0.42697996,-0.1994155,-0.0021974035,0.011409851,0.012363829,-0.4556288,-0.2581245
item_12,0.07873081,0.10331498,0.07061578,-0.031040713,0.5181075,-0.4804454,0.025543774,0.18652706,0.13251439,-0.09580407,0.38688186,-0.066030584,0.3140669,-0.023984246,-0.1491424,0.17041185,0.18233036,-0.20039593,-0.3529442
item_13,0.28408945,0.29407638,0.23205876,-0.35308442,-0.02740205,-0.19630335,-0.333963,0.7017043,0.36020222,0.014667938,0.32627898,-0.30006823,0.33105436,0.06840716,0.050422408,0.08566405,0.017871944,-0.012284519,-0.31033948
item_14,-0.17365223,0.34100342,-0.40732598,-0.14878438,0.4533099,-0.10419146,-0.35460496,0.49718714,0.3623261,0.041698758,-0.07573916,-0.2818396,0.33822227,-0.47966102,-0.041443236,0.95011,-0.37232855,0.1471325,-0.06498895
item_15,-0.1858977,0.34049657,-0.032848552,-0.31355035,-0.108307555,-0.020338176,-0.41368914,0.1751897,-0.0018854779,0.11948267,0.5949835,-0.32091433,0.19795594,0.21327958,-0.25842333,0.45784163,0.491411,-0.20826332,-0.18577845
item_16,-0.051306136,0.18993095,0.25298527,0.24736542,0.2761749,-0.3003864,0.42519978,-0.27575153,-0.038351268,0.050978497,-0.07928152,0.24633507,0.7069097,0.15137376,-0.22399867,0.38732085,-0.2946224,-0.1748422,-0.019808529
item_17,0.21829784,-0.1230785,0.24485278,-0.3929713,-0.12671387,0.013667472,0.13053091,-0.1225203,-0.1564469,0.02727465,0.20167418,-0.04420407,-0.22089465,0.2924865,-0.19649644,-0.16272436,-0.08216563,-0.21236476,-0.061188407
item_18,-0.26567584,-0.2678648,0.09647419,-0.19032547,0.07097352,-0.08154268,0.46521285,-0.54019564,0.15987797,0.24026234,-0.057338618,0.57540816,0.33401975,0.47532195,-0.15999039,0.46198344,-0.13065659,0.09922893,0.08938069
item_19,0.48046166,0.02132187,-0.5563398,-0.08351969,-0.42031926,0.16217361,0.603663,0.5469888,-0.53618294,0.2819806,0.13640796,-0.71985245,0.16846634,0.33571216,0.27317965,0.6016142,-0.015970225,-0.24076334,0.07110367
item_20,0.36846995,-0.21628371,-0.52768147,-0.012600467,-0.6224736,0.037885107,0.16142121,0.33790752,-0.06465186,0.22633937,0.13954194,0.40608603,-0.042401087,0.08108151,-0.047367003,-0.34232676,0.5711114,-0.41442218,-0.2710485
item_21,0.18142185,-0.20271446,-0.1354491,0.516359,0.060531788,-0.23278461,0.5001956,-0.08638372,-0.27248418,0.23903525,-0.27404597,0.13124102,0.49980235,0.14039339,-0.22616366,0.27063107,-0.40332583,0.13616954,-0.49919564
item_22,0.10953989,-0.27272928,-0.13524401,-0.10556715,-0.24369681,-0.4309192,0.08023841,-0.21998507,-0.83863276,-0.06459897,0.10043102,-0.5368467,-0.1614318,0.4543969,-0.14889367,-0.069707885,0.30851242,-0.0057762433,-0.024378201
item_23,-0.14143096,0.068982735,-0.2392625,-0.06751511,-0.3877591,-0.18045041,-0.2428212,0.1671473,-0.027212085,-0.2597401,0.19181369,0.057313178,0.016162751,0.39253113,-0.21043289,0.18638846,-0.16488148,-0.4167586,-0.0978065
item_24,-0.16517302,0.2222426,0.056953758,-0.19303091,-0.050554816,-0.13238049,0.0018806772,0.13281167,0.11124002,-0.09910699,-0.011361554,0.25751966,0.48118427,0.35881174,0.40531954,-0.10425855,-0.015550781,0.10786879,0.11331967
item_25,0.011330955,0.4347215,-0.4412737,-0.005582688,-0.31538427,0.022803284,-0.108659476,-0.30956423,-0.3333651,-0.06173993,0.10043346,0.44875067,0.14274314,0.61069715,-0.3766437,-0.011684003,0.21210042,-0.459864,-0.27169663
item_26,0.15668622,0.22672942,-0.10983146,0.01060293,0.6822528,-0.5700981,-0.05356021,0.07526785,0.32489392,-0.15916638,0.27181304,-0.26402447,0.72019416,0.26719102,0.3206982,0.9689213,0.4607439,-0.13433658,0.123937264
item_27,0.03364381,-0.21329197,-0.53463876,-0.27542445,0.27738562,-0.14577271,-0.39812464,-0.17620574,-0.32013363,0.033250168,-0.051594377,0.47193262,-0.061905682,0.58778363,-0.3116773,-0.08237466,0.3272143,-0.24152333,-0.008215192
item_28,0.49137825,-0.37263516,0.009232185,-0.33694702,-0.05801907,0.3013107,-0.09987043,0.19882964,0.2518671,-0.17907608,0.034039624,-0.31511858,0.5238669,0.26511678,0.8272543,0.12421569,0.2975292,0.38026348,-0.19297515
item_29,0.30418196,0.44816673,-0.099914394,-0.05773854,0.16902746,0.15458176,-0.101730354,0.47691265,0.09706381,0.4298435,0.06169577,0.16157027,0.2890698,0.37915653,-0.26980695,0.4328148,-0.23940626,0.21409799,-0.27379495
item_30,0.27240008,0.18664366,0.202434,0.00045573598,0.77992785,-0.45525748,-0.17451817,-0.24965335,0.00026383976,-0.1752477,0.25878936,0.060039133,0.528117,-0.607331,0.7338966,0.2025741,0.37318712,-0.12850845,-0.35064045
item_31,-0.090335354,-0.11508663,-0.1130421,-0.10292588,0.354165,-0.89976513,-0.22219606,-0.24459976,-0.34417006,0.06964334,0.27196336,0.32791296,0.17097715,-0.030312467,0.23512958,0.08416588,0.20270848,-0.12772907,-0.0261611
item_32,0.057860415,0.17101689,-0.01838403,-0.1468026,0.45137608,-0.3543042,0.57213396,-0.5064756,-0.066400796,0.3048025,0.102250375,-0.55696946,-0.17436847,-0.15634724,-0.08109711,0.13167703,-0.05714872,0.12016781,-0.28964895
item_33,-0.3398431,-0.03480822,-0.10247511,0.30577013,-0.3963981,-0.22490877,-0.43976104,0.23671237,-0.08766534,0.23853794,0.048468474,-0.32652137,-0.70605516,0.4980315,-0.036445457,-0.40085328,0.5824007,0.09252084,-0.017889647
item_34,-0.15645477,-0.06362892,0.03572515,-0.052956242,0.31031534,0.059317797,0.14963257,0.19502075,0.03453788,0.17535204,-0.031622738,0.036219887,0.54501677,-0.2446369,-0.043911852,0.29430997,-0.46885815,-0.22916576,-0.078643925
item_35,0.08218792,0.12529558,0.119299226,-0.07597841,0.23848143,-0.3456702,-0.062047992,-0.41573185,-0.1542109,0.40602478,0.037653342,0.68203974,-0.072371766,-0.19276686,-0.31280836,-0.022983134,-0.49960798,0.28812003,-0.54514486
item_36,0.1020266,-0.10149867,0.015767708,0.2636416,0.1388584,0.04099276,0.5258188,-0.016726319,0.30358014,0.59707826,0.04255866,-0.33882234,0.60482806,-0.031366903,-0.29999503,0.37617734,0.16991816,0.28999293,-0.15276061
item_37,0.06979649,-0.07892219,0.17397502,0.14883682,0.5999859,-0.31131315,-0.08203131,0.3225674,-0.30233297,0.1234896,0.3895378,-0.2933239,0.25760514,-0.019300971,-0.11581453,0.08180078,0.19289811,-0.28704834,0.0359478
item_38,0.16412483,0.12589715,-0.22563995,-0.09875381,0.32516667,-0.34138045,0.051778555,-0.033561967,-0.30618924,-0.6342329,0.04756662,-0.27378276,0.6823167,0.11370477,0.3783382,0.08261714,0.05456191,0.33447912,-0.22782442
item_39,0.24109617,0.08573373,0.39878643,0.051884074,-0.26213655,0.15989664,0.34554735,0.12270959,-0.11846694,0.600556,-0.27858466,-0.718456,-0.118628375,-0.22139673,0.3238043,0.14574355,0.36027035,0.04474845,-0.46045417
item_40,0.077823214,-0.23057349,-0.27538532,-0.3030085,-0.19788843,-0.49713042,-0.12034814,-0.24099414,-0.49189746,-0.26308078,-0.1345805,-0.16982554,0.0074169235,0.05075559,-0.027266655,0.30816287,-0.19734398,-0.013211283,-0.22148173
item_41,-0.14542647,0.11317941,0.33344436,-0.09354312,0.011623552,0.022712627,0.19432302,0.19814451,-0.80463153,-0.4267501,0.16042161,-0.34624955,-0.052088168,0.17639306,0.12584682,0.20091371,-0.041820474,0.05209813,-0.10856488
item_42,-0.01423351,-0.20648457,-0.121523805,-0.2425416,-0.42477015,-0.4625422,0.5876824,0.18327233,-0.35553882,0.37062797,-0.36417532,-0.24770182,0.2704174,-0.46197304,-0.028069112,-0.7757254,-0.10566726,0.1512106,0.005861666
item_43,0.16348629,0.21699971,-0.5779942,-0.052723683,0.42283115,-0.4558319,0.15533535,-0.16976635,0.063528605,-0.34226567,0.3869651,-0.4988229,0.10646946,-0.0507565,0.14495261,-0.052561205,0.33454812,-0.096881844,-0.21972449
item_44,-0.26599374,0.18939434,-0.21937305,0.092970826,-0.28142747,0.24413048,-0.026053833,0.4782845,-0.30077705,0.44042417,0.47059083,-0.01576572,0.19013676,-0.08107466,0.0064899446,-0.17108372,0.18838918,-0.41996485,-0.13909826
item_45,-0.27371225,0.32132858,-0.44517553,0.01707658,-0.20611255,0.082543306,-0.11035182,0.5989968,0.23984607,-0.2583895,0.3029805,0.09516042,-0.013197955,-0.20881784,0.36499405,-0.038621202,0.26112804,0.012709846,-0.25101873
item_46,0.17832784,-0.37996423,-0.28197107,-0.24161392,0.30024925,-0.14200778,-0.12389202,-0.15501857,0.052304544,0.40318015,-0.47140923,0.17682579,0.7367621,0.034328897,-0.50887936,0.24157917,-0.18702836,-0.07502429,-0.3866086
item_47,-0.4884333,0.25810537,0.045335885,0.033529915,0.9881046,-0.20001599,-0.5289361,0.4301253,-0.36123747,-0.057099726,0.49650452,0.09120049,-0.23949964,-0.28656256,-0.065917924,0.25828633,-0.15487047,0.1525116,-0.10030667
item_48,-0.05961964,0.19545321,-0.11146028,-0.16902794,-0.25277242,-0.31655535,-0.38043413,0.24770942,-0.14413072,0.12985137,0.27563298,-0.5727033,-0.03644591,0.43571097,-0.090847194,0.050422538,0.15113492,-0.25917223,-0.04246857
item_49,0.11328766,-0.20050773,0.07592379,-0.38796857,0.07667441,-0.32414284,-0.06269822,0.009887901,0.23505184,-0.019364772,-0.09482804,0.5914324,0.5665816,0.43422902,0.7525596,0.10138289,-0.1394617,0.09160031,-0.17590351
item_50,-0.02267595,0.06114774,-0.13834025,0.0002431855,0.21248324,-0.30600998,0.13747878,-0.15313618,-0.22488819,-0.3325067,-0.05043809,-0.3123261,0.52156067,0.10146295,0.40225804,-0.19702053,0.517171,0.24395221,0.046965692
item_51,-0.04754209,0.039815072,-0.40742335,-0.22038263,0.009179661,-0.29255363,0.14146361,0.23209284,-0.16169472,0.11081641,-0.0663184,-0.05977244,0.2767139,0.06853769,0.52068245,-0.38100085,-0.047858126,-0.05471206,-0.24808732
