n_samples,model_type,seed,lambda_tau,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,34,0.004,0.4518950310431585,0.4409121558396585,0.461121005368012,0.5,0.6574177356385945,0.6985771963432672,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.7904572486877441, 1.179033637046814, 1.180358648300171, 1.0150444507598877, 1.207330346107483, 1.191941738128662, 0.8426836729049683, 1.0623068809509277, 1.1486690044403076, 0.8374517560005188, 1.1860970258712769, 1.1997183561325073, 1.1857035160064697, 1.2083667516708374, 1.22112238407135, 0.8007836937904358, 1.2233625650405884, 1.2176343202590942, 1.1206437349319458, 1.1983363628387451, 0.9114202857017517, 0.7976714968681335, 0.901598334312439, 0.7862251400947571, 1.1597930192947388, 1.1956568956375122, 0.9323714375495911, 1.2341763973236084, 1.2098095417022705, 1.1990238428115845]",ones,Pre-max
1,beta,35,0.004,0.4464443779599399,0.4334772658035143,0.434799699570509,0.5,0.6909169847797237,0.7297640307167315,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.1717064380645752, 1.617474913597107, 1.6268318891525269, 1.0632362365722656, 1.1384460926055908, 1.40268075466156, 1.6059995889663696, 1.217376947402954, 1.3464531898498535, 1.6453227996826172, 1.5880036354064941, 1.6355071067810059, 1.2440574169158936, 1.6401560306549072, 1.6431119441986084, 1.6217498779296875, 1.0386693477630615, 1.6205912828445435, 1.6075153350830078, 1.6193903684616089, 1.6449860334396362, 0.9969238638877869, 1.0594385862350464, 1.630529522895813, 1.4809845685958862, 1.5527678728103638, 1.637398362159729, 1.0141267776489258, 1.6378581523895264, 1.6373083591461182]",ones,Pre-max
1,beta,18,0.006,0.4482727372806196,0.4397903674239148,0.4471136942855966,0.5,0.6588453279874574,0.6980352666689389,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9702023267745972, 1.0677236318588257, 1.20659339427948, 1.1903218030929565, 1.0093233585357666, 1.1952807903289795, 1.2251992225646973, 0.8803014159202576, 1.2204793691635132, 1.1543998718261719, 1.211604118347168, 0.8203942179679871, 1.2107651233673096, 0.9513756036758423, 1.1791609525680542, 0.7896252274513245, 1.1847575902938843, 1.1756601333618164, 1.2127315998077393, 1.1937521696090698, 1.2241047620773315, 0.8073770403862, 1.232295274734497, 1.0995029211044312, 0.911048412322998, 1.2121002674102783, 1.201991319656372, 1.1207818984985352, 1.226311206817627, 1.1969889402389526]",ones,Pre-max
1,beta,19,0.006,0.4403658903145038,0.4272364326474656,0.4424386231372738,0.5,0.6511331698445939,0.6799921470296485,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.7409566640853882, 1.707444429397583, 1.7152291536331177, 1.7226154804229736, 1.7127243280410767, 1.7409005165100098, 0.8324005603790283, 1.372353196144104, 0.8380537629127502, 0.770578920841217, 1.093852162361145, 1.735594630241394, 1.7555352449417114, 1.7263753414154053, 1.72484290599823, 1.2181730270385742, 1.7690702676773071, 1.5970792770385742, 1.75031578540802, 1.7120723724365234, 0.8667325973510742, 1.0670047998428345, 1.7445875406265259, 1.6830976009368896, 1.2125341892242432, 1.7278673648834229, 1.7100000381469727, 1.711801528930664, 1.5439465045928955, 1.7113319635391235]",ones,Pre-max
1,beta,2,0.01,0.438973449011654,0.4372526729942614,0.4435342116272135,0.5,0.6292311988513632,0.6747950866705601,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.036800503730774, 1.0157361030578613, 0.8217778205871582, 0.9951318502426147, 1.005989670753479, 0.5956395268440247, 0.9968096017837524, 1.0204168558120728, 1.0088024139404297, 1.0244989395141602, 1.036394476890564, 1.0117831230163574, 1.024549126625061, 1.0321565866470337, 1.0152220726013184, 1.029361605644226, 0.6233501434326172, 0.6095941066741943, 0.6116819381713867, 1.0281966924667358, 1.0191962718963623, 1.028080701828003, 1.0392168760299683, 1.0330641269683838, 0.6628802418708801, 1.022804856300354, 0.9884841442108154, 0.6870494484901428, 0.8717108964920044, 1.0235382318496704]",ones,Pre-max
1,beta,6,0.022,0.4517600449087594,0.4409146905483581,0.4693279041836244,0.5,0.6211905481008471,0.6346428211876716,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.0722219944000244, 1.051633358001709, 1.0360417366027832, 1.050819754600525, 1.0759344100952148, 1.058351993560791, 1.044673204421997, 0.7652751207351685, 1.036982774734497, 1.019039511680603, 0.9813709855079651, 1.0407087802886963, 1.0650657415390015, 1.0472148656845093, 1.0608919858932495, 0.7589143514633179, 1.0287736654281616, 0.6400575041770935, 0.8470795154571533, 0.6262646913528442, 0.6367623209953308, 1.0294537544250488, 0.9845191240310669, 1.0405291318893433, 1.0240492820739746, 0.6192451119422913, 1.0259220600128174, 1.0546770095825195, 1.0383752584457397, 0.6202178597450256]",ones,Pre-max
1,beta,3,0.01,0.4486064718814924,0.439489829331977,0.4532281823901208,0.5,0.6492657729676546,0.6908280039355552,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.0933306217193604, 1.1402873992919922, 1.143208622932434, 0.6739256381988525, 1.1147465705871582, 1.1135623455047607, 0.8752631545066833, 0.7489333152770996, 1.144080400466919, 0.9955475330352783, 1.1007105112075806, 0.9408569931983948, 1.132177710533142, 1.1045806407928467, 1.1376944780349731, 0.8293654322624207, 1.1339941024780273, 0.7526536583900452, 1.103135347366333, 1.1448324918746948, 1.1143180131912231, 0.8386906981468201, 1.1038035154342651, 0.8225662708282471, 1.1375946998596191, 1.093874454498291, 1.1292743682861328, 0.9951606392860413, 1.096014142036438, 1.104284644126892]",ones,Pre-max
1,beta,7,0.022,0.4423069836298263,0.4429820299260397,0.4267666813607543,0.5,0.6467476599926931,0.732291500503421,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.7867052555084229, 0.8156474828720093, 0.7786460518836975, 0.8043472766876221, 0.791316568851471, 0.8075718879699707, 0.7840368747711182, 0.8099003434181213, 0.777398407459259, 0.8107373118400574, 0.6176697611808777, 0.7974266409873962, 0.7703306674957275, 0.6418587565422058, 0.7853589653968811, 0.7969475388526917, 0.7741442918777466, 0.5933042764663696, 0.7915903925895691, 0.7900038957595825, 0.7807893753051758, 0.8088932633399963, 0.7816153168678284, 0.8237920999526978, 0.5995875597000122, 0.7998291254043579, 0.7688217759132385, 0.7976507544517517, 0.5907251834869385, 0.799323558807373]",ones,Pre-max
1,beta,36,0.012,0.4717099197839947,0.4557393063825017,0.5037355355583332,0.5,0.6247712746858167,0.6300014362657091,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.1868150234222412, 1.178987979888916, 1.1804920434951782, 1.1739468574523926, 1.1712545156478882, 1.1671034097671509, 1.1956021785736084, 1.1744190454483032, 1.174439787864685, 1.1751240491867065, 1.1639820337295532, 1.1672238111495972, 1.1776132583618164, 1.192543864250183, 1.152525782585144, 1.1821889877319336, 1.159636378288269, 1.166878581047058, 1.1731356382369995, 1.1726268529891968, 1.1651040315628052, 1.0836806297302246, 1.182173252105713, 1.1769065856933594, 1.1801140308380127, 1.1621671915054321, 1.1962724924087524, 1.1416741609573364, 1.1802656650543213, 0.5964828729629517]",ones,Pre-max
1,beta,20,0.015,0.4322780545707478,0.4178783639880266,0.4254786614851156,0.5,0.667559852778627,0.699983170080666,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.7351166009902954, 1.1604833602905273, 1.1209297180175781, 0.9895802140235901, 0.7405041456222534, 1.1866860389709473, 1.1866168975830078, 1.20115065574646, 1.182729721069336, 1.1716363430023193, 1.2033276557922363, 1.2034896612167358, 1.1358970403671265, 1.159546971321106, 1.0572700500488281, 1.174967885017395, 0.7786868214607239, 1.0161077976226807, 1.169530987739563, 1.1646316051483154, 0.8280593752861023, 0.8467365503311157, 0.7470033168792725, 0.8024712204933167, 1.1659117937088013, 0.758084237575531, 0.8261731266975403, 1.2011901140213013, 1.1944210529327393, 0.7647508978843689]",ones,Pre-max
