n_samples,model_type,rmse_mean,rmse_rasch,rmse_amortized,auc_mean,auc_rasch,auc_amortized,active_dims,active_indices,embedding_type
1,beta,0.2623404051775929,0.3570037438880194,0.26283579477043756,0.5,0.5528141139216647,0.816941229690504,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
2,beta,0.26235348325012453,0.3577677194817502,0.26331777460776373,0.5,0.5481584800392053,0.8183831567836544,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
3,beta,0.2623480873817199,0.3034323982022024,0.2679082129248692,0.5,0.610434651487164,0.8044351038564481,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
4,beta,0.2623513675149501,0.26898922530561853,0.2666181482319048,0.5,0.6139405134391375,0.7808647792814869,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
5,beta,0.2623459716030295,0.2704239312407463,0.2652793065302229,0.5,0.6139782108794812,0.7898084970030534,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
6,beta,0.26234591480336644,0.2697344166290988,0.26529436008998736,0.5,0.6139405134391376,0.7924944396275493,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
7,beta,0.2623446084077206,0.27255712199181087,0.26467647615105594,0.5,0.6140818788404268,0.7946620424473179,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
8,beta,0.2623502173430319,0.2744562245624754,0.2644400955438867,0.5,0.614204395521544,0.7888943340747163,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
9,beta,0.26234862697355443,0.27611001386164324,0.2643861773227101,0.5,0.6146284917254118,0.7830229577411694,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
10,beta,0.2623455172053803,0.2694290769114771,0.2630956782496781,0.5,0.6147510084065292,0.78064801899951,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",pca
