n_samples,model_type,seed,lambda_tau,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,18,0.006,0.4482727372806196,0.4397903674239148,0.4083630189355374,0.5,0.6588453279874574,0.7880963373107228,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.0345518589019775, 2.9403939247131348, 2.5847384929656982, 2.7142066955566406, 2.866466999053955, 2.8374745845794678, 2.663975238800049, 2.7184019088745117, 2.539219379425049, 2.800147533416748, 3.0135366916656494, 2.5492467880249023, 2.71795654296875, 2.7846767902374268, 3.0337042808532715, 2.8198792934417725, 2.592101573944092, 2.7993040084838867, 2.495026111602783, 2.9292659759521484, 2.5637013912200928, 3.014298915863037, 2.591407060623169, 2.7996435165405273, 2.9173009395599365, 2.9652910232543945, 2.803516149520874, 2.6834945678710938, 2.805053949356079, 2.9322333335876465]",pca,Pre-max
1,beta,34,0.004,0.4518950310431585,0.4409121558396585,0.4370020689511588,0.5,0.6574177356385945,0.7406835762263877,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.627281904220581, 2.6610686779022217, 2.97807240486145, 3.106661558151245, 2.8242135047912598, 2.942204475402832, 2.6597740650177, 2.9015567302703857, 2.9622976779937744, 2.998537063598633, 2.7367284297943115, 3.0470449924468994, 2.650043249130249, 3.121128797531128, 2.655729055404663, 2.7177233695983887, 3.086996078491211, 2.6928586959838867, 2.9686684608459473, 3.006436347961426, 2.7375757694244385, 2.621291399002075, 3.0456488132476807, 2.7051241397857666, 2.955132246017456, 3.121652841567993, 2.7111666202545166, 3.060321569442749, 2.762239456176758, 2.945969581604004]",pca,Pre-max
1,beta,2,0.01,0.438973449011654,0.4372526729942614,0.433671239853471,0.5,0.6292311988513632,0.7414980732791489,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.562653064727783, 2.9187490940093994, 2.437239646911621, 2.835101366043091, 2.5016465187072754, 2.5717508792877197, 2.6239101886749268, 2.7065792083740234, 2.767596960067749, 2.6445276737213135, 2.800607681274414, 2.9649481773376465, 2.52860426902771, 2.7362735271453857, 2.9247913360595703, 2.737922430038452, 2.7331762313842773, 2.8490617275238037, 2.93011212348938, 2.7204935550689697, 2.942370891571045, 2.8399510383605957, 2.5160415172576904, 2.824355363845825, 2.756563186645508, 2.616726875305176, 2.938922643661499, 2.4806699752807617, 2.5868382453918457, 2.661914348602295]",pca,Pre-max
1,beta,19,0.006,0.4403658903145038,0.4272364326474656,0.4139742487302264,0.5,0.6511331698445939,0.7714082993497188,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.533470392227173, 2.6110825538635254, 2.667707920074463, 2.797017812728882, 2.940246343612671, 2.553211212158203, 2.834571599960327, 2.705383062362671, 2.7232131958007812, 2.9252898693084717, 2.730726718902588, 2.495950698852539, 2.893601179122925, 2.760985851287842, 2.8223154544830322, 2.66884446144104, 2.6402885913848877, 2.631497383117676, 2.7942004203796387, 2.8225975036621094, 2.951871633529663, 2.8909354209899902, 2.6339950561523438, 2.911281108856201, 2.9877891540527344, 2.8119921684265137, 2.46294903755188, 2.9139461517333984, 2.874558210372925, 2.7685890197753906]",pca,Pre-max
1,beta,46,0.006,0.4487800778268148,0.4265943864635023,0.4577786781394513,0.5,0.6874655929266238,0.7240115894990808,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6846554279327393, 3.067397356033325, 2.665030002593994, 2.5384280681610107, 2.7518796920776367, 3.1091742515563965, 2.975923776626587, 2.6259660720825195, 2.976789951324463, 3.0409889221191406, 2.577672243118286, 2.7825779914855957, 3.076371431350708, 2.717148542404175, 3.0811614990234375, 3.0564701557159424, 3.0619702339172363, 2.776216506958008, 3.127039909362793, 2.659658670425415, 2.714592933654785, 3.002993583679199, 2.723322868347168, 2.630377769470215, 2.789684534072876, 2.775634527206421, 2.7784245014190674, 2.6629319190979004, 2.9603612422943115, 2.977587938308716]",pca,Pre-max
1,beta,35,0.004,0.4464443779599399,0.4334772658035143,0.4143983989973237,0.5,0.6909169847797237,0.7855094919006972,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.006561279296875, 2.884993076324463, 3.068568229675293, 2.7315902709960938, 2.7326300144195557, 3.028815746307373, 3.0641331672668457, 3.0259616374969482, 2.7120628356933594, 2.7833454608917236, 2.8387978076934814, 2.7809042930603027, 2.6309194564819336, 2.8979239463806152, 2.921583652496338, 3.074875593185425, 2.641958475112915, 3.008605718612671, 2.700457811355591, 2.7904775142669678, 2.874645233154297, 3.065253257751465, 2.9594240188598633, 2.9038844108581543, 2.95569109916687, 2.8671669960021973, 2.7398569583892822, 2.623875379562378, 3.0888583660125732, 2.570577621459961]",pca,Pre-max
1,beta,3,0.01,0.4486064718814924,0.439489829331977,0.4451727396842252,0.5,0.6492657729676546,0.7302859426884762,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.925977945327759, 2.8035993576049805, 2.83988618850708, 2.8544838428497314, 2.5921425819396973, 2.825087070465088, 2.5415072441101074, 2.603012800216675, 2.812729597091675, 2.359225273132324, 2.906411647796631, 2.5040993690490723, 2.732414960861206, 2.5649561882019043, 2.8015058040618896, 2.93857741355896, 2.748131513595581, 2.8044321537017822, 2.4034297466278076, 2.580866575241089, 2.5186989307403564, 2.5712969303131104, 2.594137668609619, 2.552830457687378, 2.4058375358581543, 2.5817348957061768, 2.5876920223236084, 2.806016683578491, 2.617936372756958, 2.565042495727539]",pca,Pre-max
1,beta,47,0.006,0.4364484342789313,0.4301369830332817,0.4060717888735953,0.5,0.6699491079705622,0.7811812352521734,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6663565635681152, 2.5869994163513184, 2.7764196395874023, 2.7746710777282715, 2.9383652210235596, 2.6955478191375732, 2.741786003112793, 2.797807216644287, 2.942713975906372, 2.6037814617156982, 2.6912779808044434, 2.8302981853485107, 2.8265979290008545, 2.8633270263671875, 2.920088768005371, 2.5579943656921387, 2.8792357444763184, 2.810919761657715, 2.7047815322875977, 2.969125986099243, 2.648038148880005, 2.8230862617492676, 2.7267704010009766, 2.5461158752441406, 2.49822735786438, 2.883486032485962, 2.888864755630493, 2.965940475463867, 2.695838212966919, 2.554429531097412]",pca,Pre-max
1,beta,30,0.01,0.463276891060662,0.4498097554036056,0.4417432325802242,0.5,0.626911544227886,0.7108836206896552,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.7840113639831543, 2.622314214706421, 2.716602325439453, 2.4974284172058105, 2.771336555480957, 2.4694056510925293, 2.7898025512695312, 2.535268783569336, 2.7372093200683594, 2.8315162658691406, 2.603350877761841, 2.469897508621216, 2.770704507827759, 2.7096433639526367, 2.5240113735198975, 2.564833402633667, 2.805992603302002, 2.844587564468384, 2.5790939331054688, 2.7523326873779297, 2.8941428661346436, 2.6328930854797363, 2.5828874111175537, 2.8949081897735596, 2.641634941101074, 2.534788131713867, 2.469558000564575, 2.805640697479248, 2.625318765640259, 2.809391736984253]",pca,Pre-max
1,beta,28,0.002,0.4572328954076388,0.4458746457196093,0.4401785394551949,0.5,0.6376248851969222,0.7375987407542672,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.181464672088623, 3.0651230812072754, 3.1105895042419434, 3.007354259490967, 2.7455203533172607, 2.789928913116455, 3.174906015396118, 2.681783676147461, 2.7823781967163086, 3.0067384243011475, 3.1207478046417236, 3.0487821102142334, 3.189978837966919, 2.9757254123687744, 2.908113479614258, 3.0119099617004395, 2.934108018875122, 2.997772455215454, 2.9464128017425537, 2.8888652324676514, 3.040781021118164, 2.8748064041137695, 2.6296470165252686, 2.6622488498687744, 2.9054782390594482, 2.8599672317504883, 2.8778207302093506, 3.1848058700561523, 2.8991456031799316, 2.685302972793579]",pca,Pre-max
1,beta,31,0.01,0.4403401048994132,0.4265061777959881,0.4200574079516234,0.5,0.6855021298350992,0.7596770624145747,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.706191062927246, 2.563436269760132, 2.9973232746124268, 2.6190125942230225, 2.849487781524658, 2.9605906009674072, 2.6353299617767334, 2.6158149242401123, 2.8834316730499268, 2.9693682193756104, 2.8190674781799316, 2.8982272148132324, 2.9108827114105225, 3.032623767852783, 2.5936739444732666, 2.929503917694092, 2.813086986541748, 2.7890305519104004, 3.0094268321990967, 2.6454548835754395, 2.7205660343170166, 2.5346856117248535, 2.5891623497009277, 2.554243803024292, 2.575859785079956, 2.8654377460479736, 2.675723075866699, 2.6599369049072266, 2.6542062759399414, 2.6682310104370117]",pca,Pre-max
1,beta,48,0.015,0.4584005172935866,0.4475410313149672,0.5061553030573369,0.5,0.6002957695984704,0.5876262249043978,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5242621898651123, 2.649420976638794, 2.532893180847168, 2.745770215988159, 2.414837121963501, 2.4790494441986084, 2.5448150634765625, 2.899468183517456, 2.843390703201294, 2.7885968685150146, 2.7880139350891113, 2.731447219848633, 2.8716132640838623, 2.7928433418273926, 2.4218666553497314, 2.848219394683838, 2.8572964668273926, 2.7055559158325195, 2.723022222518921, 2.4314427375793457, 2.839951992034912, 2.5229122638702393, 2.352078676223755, 2.5598044395446777, 2.5302793979644775, 2.7263033390045166, 2.485898017883301, 2.679953098297119, 2.4854023456573486, 2.845531463623047]",pca,Pre-max
1,beta,12,0.005,0.4381774867911525,0.4338804276736007,0.4049635656180828,0.5,0.6320506985768399,0.7622238114954643,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5169320106506348, 2.853520154953003, 2.848053216934204, 2.5911202430725098, 2.4931859970092773, 2.5938799381256104, 2.569270133972168, 2.672846555709839, 2.5855839252471924, 2.5802626609802246, 2.8719241619110107, 2.6280620098114014, 2.608442783355713, 2.9068195819854736, 2.796583414077759, 2.9545187950134277, 2.736990213394165, 2.8709654808044434, 2.846527576446533, 2.876466751098633, 2.4530704021453857, 2.7461655139923096, 2.5130035877227783, 2.5248873233795166, 2.4948291778564453, 2.812793731689453, 2.79237961769104, 2.836299180984497, 2.919534206390381, 2.889352798461914]",pca,Pre-max
1,beta,29,0.002,0.4475051205358094,0.4131841880886029,0.4268793417512924,0.5,0.6985996533166343,0.7474202945901058,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.985475540161133, 3.0185134410858154, 2.9333090782165527, 3.0106277465820312, 2.726191520690918, 2.7010350227355957, 2.782060384750366, 3.0676302909851074, 2.9935290813446045, 2.674772024154663, 2.7610275745391846, 2.6953210830688477, 2.848310947418213, 3.069985866546631, 2.846858501434326, 2.846284866333008, 3.0938355922698975, 2.8915929794311523, 2.6975066661834717, 2.614529609680176, 2.923133373260498, 3.024611711502075, 2.7260067462921143, 2.920128107070923, 2.7528467178344727, 2.728689670562744, 2.7440226078033447, 2.9851789474487305, 2.755563259124756, 2.6415297985076904]",pca,Pre-max
1,beta,4,0.0155,0.4580997301603021,0.4421261006784583,0.4667602269299137,0.5,0.6551374399735055,0.6961965971187283,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6347718238830566, 2.6874663829803467, 2.384263753890991, 2.2273001670837402, 2.387894868850708, 2.7352242469787598, 2.676309585571289, 2.36043119430542, 2.673830509185791, 2.3035037517547607, 2.396287679672241, 2.6026363372802734, 2.7812609672546387, 2.703566074371338, 2.7215611934661865, 2.5931575298309326, 2.429616928100586, 2.272289276123047, 2.4019787311553955, 2.3644189834594727, 2.7264609336853027, 2.705291748046875, 2.3932762145996094, 2.6304099559783936, 2.6422994136810303, 2.4505014419555664, 2.3848273754119873, 2.388185501098633, 2.7590787410736084, 2.6512293815612793]",pca,Pre-max
1,beta,49,0.015,0.4622212974978992,0.4551989513655401,0.433717795833745,0.5,0.6332369360843372,0.7458594798505567,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.730982542037964, 2.343818426132202, 2.555936574935913, 2.2737228870391846, 2.4395158290863037, 2.549133777618408, 2.2489423751831055, 2.6309475898742676, 2.336224317550659, 2.706129550933838, 2.3803627490997314, 2.530519962310791, 2.594780921936035, 2.441879987716675, 2.414701461791992, 2.2869741916656494, 2.5945992469787598, 2.3851120471954346, 2.2906017303466797, 2.662815809249878, 2.4226646423339844, 2.4334471225738525, 2.2726829051971436, 2.3964717388153076, 2.485377073287964, 2.5872316360473633, 2.5414223670959473, 2.636984348297119, 2.3731226921081543, 2.398064136505127]",pca,Pre-max
1,beta,34,0.022,0.4518950310431585,0.4409121558396585,0.4341886580377513,0.5,0.6574177356385945,0.7415953345134462,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.1392998695373535, 2.158151865005493, 2.5012056827545166, 2.6293389797210693, 2.349083662033081, 2.4564578533172607, 2.1691372394561768, 2.423495292663574, 2.488940477371216, 2.5248336791992188, 2.2530884742736816, 2.5709898471832275, 2.162038803100586, 2.6474878787994385, 2.164146661758423, 2.221958875656128, 2.611790180206299, 2.190732479095459, 2.4893336296081543, 2.5314061641693115, 2.2546229362487793, 2.1157021522521973, 2.5742459297180176, 2.214867115020752, 2.4733986854553223, 2.6506216526031494, 2.2150864601135254, 2.5894322395324707, 2.2628297805786133, 2.4688336849212646]",pca,Pre-max
1,beta,5,0.0155,0.4340731058822986,0.4103803839677488,0.4052253786569958,0.5,0.7012450155678966,0.7623453688999975,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.7085700035095215, 2.6992404460906982, 2.4601988792419434, 2.7341132164001465, 2.6185169219970703, 2.6743204593658447, 2.4093127250671387, 2.6032421588897705, 2.692138910293579, 2.3953824043273926, 2.54461669921875, 2.441495180130005, 2.7279348373413086, 2.3937346935272217, 2.4613962173461914, 2.5722274780273438, 2.3929548263549805, 2.4787800312042236, 2.63240122795105, 2.4250166416168213, 2.422605276107788, 2.466050148010254, 2.5605111122131348, 2.652028799057007, 2.3245902061462402, 2.398841381072998, 2.655301570892334, 2.6739749908447266, 2.6243908405303955, 2.65592360496521]",pca,Pre-max
1,beta,10,0.036,0.4477601628090005,0.4191098723635268,0.4035273060026524,0.5,0.683054772767131,0.7630307245457626,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[1.7642874717712402, 1.7748843431472778, 1.6347466707229614, 1.786339521408081, 1.8714667558670044, 1.558016061782837, 1.7626224756240845, 1.7958468198776245, 1.899693489074707, 1.7625627517700195, 1.7914551496505737, 1.6589001417160034, 1.8401565551757812, 1.6905646324157715, 1.769964337348938, 1.8734294176101685, 1.6741013526916504, 1.6419097185134888, 1.7557812929153442, 1.7793877124786377, 1.8931936025619507, 1.7656960487365723, 1.7698062658309937, 1.8878308534622192, 1.8248834609985352, 1.7525691986083984, 1.711868405342102, 1.6970525979995728, 1.8236684799194336, 1.7538928985595703]",pca,Pre-max
1,beta,13,0.005,0.4603509241811011,0.4532283796570851,0.4293254540799709,0.5,0.6185979766791894,0.7574594141011514,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.751035690307617, 2.5892982482910156, 2.798215627670288, 2.811845064163208, 2.893778085708618, 2.6868839263916016, 2.961947441101074, 2.645366668701172, 2.7511820793151855, 2.6886298656463623, 2.8670401573181152, 2.821377992630005, 2.544243574142456, 2.75559139251709, 2.9676547050476074, 2.8161914348602295, 2.7760682106018066, 2.48691987991333, 2.841369152069092, 2.723072052001953, 2.9678516387939453, 2.4096505641937256, 2.9366462230682373, 2.7816028594970703, 2.91157603263855, 2.7461464405059814, 2.731778383255005, 2.5507054328918457, 2.65466570854187, 2.8018486499786377]",pca,Pre-max
1,beta,6,0.004,0.4517600449087594,0.4409146905483581,0.4584555481034449,0.5,0.6211905481008471,0.6956141864779739,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.9383881092071533, 2.9777495861053467, 3.067352771759033, 2.7780187129974365, 3.0845947265625, 2.6445298194885254, 2.880387306213379, 2.5766828060150146, 3.0295393466949463, 2.7016546726226807, 2.9962048530578613, 2.7086851596832275, 2.7992942333221436, 2.7069342136383057, 2.686296224594116, 2.693983316421509, 2.599015712738037, 2.6938862800598145, 2.5703587532043457, 3.0205581188201904, 2.946566581726074, 2.5692968368530273, 3.0479772090911865, 2.6523520946502686, 2.653235912322998, 2.989989757537842, 2.804509401321411, 2.8770415782928467, 2.906536817550659, 3.036278247833252]",pca,Pre-max
1,beta,38,0.0159,0.4402320739902588,0.4287493608153002,0.4262191200816919,0.5,0.6629278726359968,0.7195323144195258,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.3908722400665283, 2.466546058654785, 2.7837326526641846, 2.7705821990966797, 2.801675319671631, 2.4290337562561035, 2.4117209911346436, 2.756251335144043, 2.4768688678741455, 2.4974453449249268, 2.533947229385376, 2.4757885932922363, 2.678119659423828, 2.462108612060547, 2.7373247146606445, 2.456080198287964, 2.3740899562835693, 2.4752583503723145, 2.57936692237854, 2.4870975017547607, 2.556908130645752, 2.3605949878692627, 2.681102752685547, 2.540172576904297, 2.728177785873413, 2.79030442237854, 2.3929390907287598, 2.4174935817718506, 2.651533842086792, 2.840930461883545]",pca,Pre-max
1,beta,6,0.022,0.4517600449087594,0.4409146905483581,0.4566130885166493,0.5,0.6211905481008471,0.6960003451697804,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.515371322631836, 2.5578513145446777, 2.650402545928955, 2.35016131401062, 2.6696505546569824, 2.22129487991333, 2.4553964138031006, 2.063458204269409, 2.611459732055664, 2.2643184661865234, 2.5772063732147217, 2.2812955379486084, 2.3629257678985596, 2.2743449211120605, 2.270951509475708, 2.2503554821014404, 2.1639554500579834, 2.2628915309906006, 2.1241455078125, 2.60166072845459, 2.5227818489074707, 2.1296756267547607, 2.6327455043792725, 2.2139925956726074, 2.221672773361206, 2.560303211212158, 2.3864099979400635, 2.453972816467285, 2.476879835128784, 2.6116442680358887]",pca,Pre-max
