n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,6,0.004,0.4008300974563926,0.7371345029239766,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5093263387680054, 0.5086719989776611, 0.5098664164543152, 0.5087417364120483, 0.5085721015930176, 0.5083748698234558, 0.5087718367576599, 0.5089027285575867, 0.5085681676864624, 0.50667804479599, 0.509033203125, 0.5082876086235046, 0.5086824893951416, 0.5069665908813477, 0.508830726146698, 0.5090947151184082, 0.5085641741752625, 0.5062388181686401, 0.50885009765625, 0.5072749257087708, 0.5084526538848877, 0.5061506032943726, 0.507453203201294, 0.5098203420639038, 0.5086362957954407, 0.5066524744033813, 0.5069402456283569, 0.5063334107398987, 0.5083549618721008, 0.5080288052558899]",sae,Pre-32
1,bernoulli,46,0.006,0.3959733083921857,0.7637047163362953,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5066860914230347, 0.5073958039283752, 0.5076447129249573, 0.5072314739227295, 0.506006121635437, 0.5071102976799011, 0.5068122148513794, 0.5069730877876282, 0.5053152441978455, 0.5077037215232849, 0.5074341297149658, 0.5058296918869019, 0.5071411728858948, 0.5054555535316467, 0.5074259042739868, 0.5056754946708679, 0.5071405172348022, 0.5076377391815186, 0.5067887306213379, 0.5072335600852966, 0.5059444904327393, 0.506802499294281, 0.5068365335464478, 0.5076125860214233, 0.5061900615692139, 0.5071758031845093, 0.5063150525093079, 0.5064342617988586, 0.5072878003120422, 0.5069928765296936]",sae,Pre-32
1,bernoulli,2,0.01,0.3894041438087473,0.7778715170278638,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5087283253669739, 0.5078256726264954, 0.5094376802444458, 0.5097809433937073, 0.5090442895889282, 0.509662926197052, 0.5090999603271484, 0.5098221302032471, 0.5078408718109131, 0.5062698721885681, 0.5084869265556335, 0.5081971883773804, 0.5075973868370056, 0.5089605450630188, 0.509616494178772, 0.5067294836044312, 0.5062911510467529, 0.5079701542854309, 0.5088356137275696, 0.5081287026405334, 0.5089674592018127, 0.5063607096672058, 0.5073544383049011, 0.5097286105155945, 0.5089418292045593, 0.5083364248275757, 0.5066669583320618, 0.5080738663673401, 0.5080797076225281, 0.5060590505599976]",sae,Pre-32
1,bernoulli,8,0.012,0.4318050571892895,0.6599779735682819,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5094876885414124, 0.5100975632667542, 0.5107228755950928, 0.5109931826591492, 0.5098849534988403, 0.5096845626831055, 0.5100452899932861, 0.5101540088653564, 0.5092248916625977, 0.5082297325134277, 0.5105363130569458, 0.5105874538421631, 0.5109207630157471, 0.5106655955314636, 0.5098592638969421, 0.507972240447998, 0.508053719997406, 0.5110483765602112, 0.5089664459228516, 0.5084910988807678, 0.5095729231834412, 0.5103275179862976, 0.5098578929901123, 0.5081556439399719, 0.5106842517852783, 0.5102541446685791, 0.5099228024482727, 0.5075413584709167, 0.510154664516449, 0.5103250741958618]",sae,Pre-32
1,bernoulli,40,0.005,0.4100381226959026,0.7133032085713474,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.508825957775116, 0.5082531571388245, 0.5090327262878418, 0.5077452659606934, 0.5078634023666382, 0.5079980492591858, 0.5086405873298645, 0.5075956583023071, 0.5087559819221497, 0.508132815361023, 0.50825035572052, 0.5085568428039551, 0.5085086226463318, 0.5071632266044617, 0.506613552570343, 0.5081015229225159, 0.5082340240478516, 0.5076287388801575, 0.5067755579948425, 0.5089837908744812, 0.5077400803565979, 0.509160041809082, 0.5069736838340759, 0.5069515705108643, 0.5090210437774658, 0.5083073973655701, 0.5084267258644104, 0.5080892443656921, 0.5079869627952576, 0.5090544819831848]",sae,Pre-32
1,bernoulli,28,0.002,0.4204830235015184,0.6729971731550173,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5105511546134949, 0.509314239025116, 0.5091275572776794, 0.5103176236152649, 0.5099493861198425, 0.508998692035675, 0.5100465416908264, 0.5096876621246338, 0.5100097060203552, 0.5097931623458862, 0.5103217959403992, 0.5102289915084839, 0.5079529881477356, 0.5098417401313782, 0.5096166133880615, 0.5101660490036011, 0.5079577565193176, 0.5102424621582031, 0.5078257918357849, 0.5083490610122681, 0.5095726847648621, 0.5098546743392944, 0.5088239312171936, 0.5084481835365295, 0.5087724328041077, 0.5094572305679321, 0.5095927119255066, 0.5079820156097412, 0.5091687440872192, 0.5099444389343262]",sae,Pre-32
1,bernoulli,14,0.014,0.4255415565490331,0.6721917168058882,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5071648359298706, 0.5083336234092712, 0.5075727701187134, 0.5082345008850098, 0.507368266582489, 0.5072901248931885, 0.5079941153526306, 0.5066518783569336, 0.5076075196266174, 0.508281946182251, 0.5058969855308533, 0.5060453414916992, 0.508253812789917, 0.5081138610839844, 0.5068922638893127, 0.5068238973617554, 0.5061905384063721, 0.5076957941055298, 0.5081599354743958, 0.5078678131103516, 0.5074783563613892, 0.5070316791534424, 0.5081332921981812, 0.5082243084907532, 0.5075746178627014, 0.5081679821014404, 0.5066732168197632, 0.5081567764282227, 0.5084658265113831, 0.5076197981834412]",sae,Pre-32
1,bernoulli,22,0.018,0.4148016216776553,0.6952091567476183,0,[],"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",sae,Pre-32
1,bernoulli,7,0.004,0.4109836951279434,0.7183957185382227,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5088542103767395, 0.5096204280853271, 0.5085431933403015, 0.5084441900253296, 0.5090132355690002, 0.5084352493286133, 0.5080941915512085, 0.5068128705024719, 0.5094691514968872, 0.5088446140289307, 0.5067110657691956, 0.5099677443504333, 0.5099725723266602, 0.507933497428894, 0.5090065598487854, 0.5100094676017761, 0.5100370645523071, 0.5096397995948792, 0.508513331413269, 0.5084073543548584, 0.5095715522766113, 0.5097148418426514, 0.506906270980835, 0.5084684491157532, 0.5089723467826843, 0.5066084861755371, 0.5091663599014282, 0.5065264701843262, 0.5093616843223572, 0.5067650675773621]",sae,Pre-32
1,bernoulli,47,0.006,0.4234315273525276,0.6621587491102794,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5087648630142212, 0.505998432636261, 0.507895827293396, 0.5079333782196045, 0.5087003111839294, 0.5080571174621582, 0.507270872592926, 0.5072590112686157, 0.5058453679084778, 0.5077404379844666, 0.5083746314048767, 0.5085448622703552, 0.5057823061943054, 0.5067828893661499, 0.506242573261261, 0.5076000094413757, 0.5068179965019226, 0.507761538028717, 0.5064791440963745, 0.5074581503868103, 0.5081853270530701, 0.5059722661972046, 0.505546510219574, 0.5084307193756104, 0.5086133480072021, 0.5082664489746094, 0.5063697695732117, 0.5093674063682556, 0.5083232522010803, 0.5076262354850769]",sae,Pre-32
