n_samples,model_type,seed,lambda_tau,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,34,0.004,0.4589420217898834,0.5061099341390812,0.4157297468488037,0.5,0.367578125,0.7140625,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5090414881706238, 0.5094779133796692, 0.5094142556190491, 0.5097616314888, 0.5097571015357971, 0.5091861486434937, 0.5098530054092407, 0.5095363259315491, 0.5084182620048523, 0.5095831751823425, 0.509138286113739, 0.5083279013633728, 0.5097368359565735, 0.5100022554397583, 0.5095640420913696, 0.5086211562156677, 0.5087241530418396, 0.5089263319969177, 0.5098499655723572, 0.5094313621520996, 0.5087836384773254, 0.5095252990722656, 0.5098066329956055, 0.5089057087898254, 0.509476363658905, 0.5095855593681335, 0.5094075798988342, 0.5092363357543945, 0.5091955661773682, 0.509284257888794]",sae,Pre-4
1,bernoulli,28,0.002,0.4497127636141335,0.5123206813466612,0.4137272107051377,0.5,0.4998133631952221,0.6998880179171332,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5094785094261169, 0.5082473754882812, 0.5083802938461304, 0.5105860233306885, 0.5096364617347717, 0.5097670555114746, 0.5087774395942688, 0.508236825466156, 0.5099663138389587, 0.5098375678062439, 0.5092755556106567, 0.5084693431854248, 0.5103157758712769, 0.5077334642410278, 0.5076904892921448, 0.5084815621376038, 0.5081189870834351, 0.5081219673156738, 0.5084359049797058, 0.5077164769172668, 0.5097599625587463, 0.5078785419464111, 0.5074946284294128, 0.5097623467445374, 0.5103805661201477, 0.5098607540130615, 0.5101473331451416, 0.5099483728408813, 0.5076504945755005, 0.5076493620872498]",sae,Pre-4
1,bernoulli,12,0.005,0.4566725603069063,0.5572107975357912,0.4227119021345746,0.5,0.5094619666048238,0.6597402597402597,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5087482333183289, 0.5089519023895264, 0.5095837116241455, 0.5095982551574707, 0.509255051612854, 0.5093105435371399, 0.5095587372779846, 0.5096682906150818, 0.5099144577980042, 0.5098696351051331, 0.5083749294281006, 0.5092949867248535, 0.508308470249176, 0.5097582340240479, 0.5098587274551392, 0.5099733471870422, 0.509421169757843, 0.5084469318389893, 0.5087473392486572, 0.5098147392272949, 0.5084003806114197, 0.509793221950531, 0.5095510482788086, 0.510036826133728, 0.5095291137695312, 0.5100075006484985, 0.5097129344940186, 0.5086602568626404, 0.5081924200057983, 0.5084882378578186]",sae,Pre-4
1,bernoulli,46,0.006,0.4315018581845442,0.467684233567779,0.409759438525284,0.5,0.46232741617357,0.6761341222879684,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5087764859199524, 0.5086638331413269, 0.5091471076011658, 0.5090058445930481, 0.5093977451324463, 0.5082200765609741, 0.5090550780296326, 0.5087650418281555, 0.5082414150238037, 0.508935272693634, 0.5086890459060669, 0.5082700848579407, 0.5080832242965698, 0.5076872706413269, 0.507881760597229, 0.5083737373352051, 0.5076203346252441, 0.5079848766326904, 0.5076526403427124, 0.5079221725463867, 0.5089854001998901, 0.5084683895111084, 0.5091935396194458, 0.5091272592544556, 0.5076951384544373, 0.5089443325996399, 0.5085887908935547, 0.5089321732521057, 0.5087664127349854, 0.5090091824531555]",sae,Pre-4
1,bernoulli,29,0.002,0.4463114158992211,0.5056865500013465,0.4206788979641109,0.5,0.521486643437863,0.6515679442508711,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5090969204902649, 0.5100140571594238, 0.5101692080497742, 0.5083056688308716, 0.5101577639579773, 0.5100444555282593, 0.5098728537559509, 0.5083993673324585, 0.5100832581520081, 0.5105755925178528, 0.5105640292167664, 0.5106366872787476, 0.5083463788032532, 0.5087119936943054, 0.5105113387107849, 0.5084584355354309, 0.5089195966720581, 0.5103814005851746, 0.5084302425384521, 0.509571373462677, 0.5088751316070557, 0.5092487335205078, 0.5096215605735779, 0.509968101978302, 0.5099965929985046, 0.5100598931312561, 0.5087405443191528, 0.5101329684257507, 0.5099252462387085, 0.5101270079612732]",sae,Pre-4
1,bernoulli,47,0.006,0.4418188883915462,0.4874219275583201,0.4040458932164902,0.5,0.5635336829366681,0.7260992335619202,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5067516565322876, 0.5086479783058167, 0.5067256689071655, 0.5069887638092041, 0.5072073340415955, 0.5091245770454407, 0.5088394284248352, 0.5094389319419861, 0.5061962604522705, 0.5072247982025146, 0.5066061019897461, 0.5089231729507446, 0.5083140730857849, 0.5095087289810181, 0.5076703429222107, 0.506361186504364, 0.5078012347221375, 0.5071864128112793, 0.5065813064575195, 0.5069134831428528, 0.5087671279907227, 0.5071576237678528, 0.5071055293083191, 0.5086386799812317, 0.5085017085075378, 0.5089802145957947, 0.5070464015007019, 0.5090065002441406, 0.5069951415061951, 0.5087878108024597]",sae,Pre-4
1,bernoulli,35,0.004,0.4488603904022917,0.5235637683304316,0.4209766005584793,0.5,0.5815442561205272,0.6979284369114878,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5104308128356934, 0.5101345777511597, 0.5086666345596313, 0.5101474523544312, 0.5107825994491577, 0.5097346901893616, 0.5084923505783081, 0.5103683471679688, 0.5105732083320618, 0.5107548236846924, 0.5109770894050598, 0.5108582973480225, 0.5103354454040527, 0.5091617107391357, 0.5089271664619446, 0.5107288360595703, 0.5106092691421509, 0.5102634429931641, 0.5097593665122986, 0.5088618993759155, 0.5105408430099487, 0.5110691785812378, 0.5108608603477478, 0.5105345249176025, 0.5091724395751953, 0.5094292163848877, 0.5094034671783447, 0.5104802846908569, 0.5109789371490479, 0.5086379647254944]",sae,Pre-4
1,bernoulli,13,0.005,0.453094251181327,0.5181140644037627,0.4489715227577934,0.5,0.535232383808096,0.588455772113943,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5084901452064514, 0.5080801248550415, 0.510018527507782, 0.5096642374992371, 0.5099968910217285, 0.5085108876228333, 0.5096354484558105, 0.5085614323616028, 0.5098595023155212, 0.508637011051178, 0.5085147619247437, 0.5091453790664673, 0.5089311003684998, 0.5095670819282532, 0.5077968239784241, 0.5090264678001404, 0.5095610022544861, 0.509194016456604, 0.5085031390190125, 0.5093626379966736, 0.5096642374992371, 0.5081920623779297, 0.5084757208824158, 0.5080669522285461, 0.5087196826934814, 0.5086572170257568, 0.5093140006065369, 0.5098963975906372, 0.5082541108131409, 0.5095995664596558]",sae,Pre-4
1,bernoulli,26,0.0151,0.4650745780421242,0.5478157398935402,0.4551155991739772,0.5,0.4825757575757576,0.6291666666666667,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.020649172365665436, 0.019985835999250412, 0.019231490790843964, 0.01939193345606327, 0.02030535228550434, 0.01954372599720955, 0.01957857422530651, 0.02380627766251564, 0.02021927200257778, 0.019904017448425293, 0.016440195962786674, 0.019680341705679893, 0.015918094664812088, 0.021573223173618317, 0.017834093421697617, 0.01745442859828472, 0.01816125400364399, 0.018865972757339478, 0.01947716251015663, 0.01891188696026802, 0.02051321603357792, 0.018550395965576172, 0.01932043954730034, 0.021290767937898636, 0.02107861638069153, 0.021869400516152382, 0.019690653309226036, 0.020747901871800423, 0.020594237372279167, 0.019475357607007027]",sae,Pre-4
1,bernoulli,27,0.0151,0.4669084934236637,0.51030395846393,0.4558385299976851,0.5,0.4658218125960062,0.6405529953917051,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.01944899559020996, 0.018900960683822632, 0.01834130473434925, 0.01888718642294407, 0.0184004083275795, 0.013378286734223366, 0.01842002384364605, 0.017709286883473396, 0.018963998183608055, 0.013330372981727123, 0.015661098062992096, 0.017818687483668327, 0.01696968637406826, 0.015757914632558823, 0.018438199535012245, 0.016143137589097023, 0.0171994436532259, 0.018075592815876007, 0.019051752984523773, 0.014897994697093964, 0.017242999747395515, 0.013409379869699478, 0.015327567234635353, 0.01975957117974758, 0.018364571034908295, 0.017992084845900536, 0.021515564993023872, 0.01720518246293068, 0.019147705286741257, 0.0168862733989954]",sae,Pre-4
