n_samples,model_type,seed,lambda_tau,rmse_naive,rmse_rasch,rmse_amortized,auc_naive,auc_rasch,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,beta,34,0.004,0.4614608993487633,0.4750610055145898,0.4607627990174437,0.5,0.4851334663246889,0.7043792153510021,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.7248423099517822, 2.689450740814209, 2.601196765899658, 2.642826795578003, 2.6870224475860596, 2.6933205127716064, 2.729398012161255, 2.7038393020629883, 2.6527881622314453, 2.7454922199249268, 2.615628957748413, 2.6133382320404053, 2.6595401763916016, 2.628035306930542, 2.7127645015716553, 2.6696858406066895, 2.727876901626587, 2.670585870742798, 2.680192232131958, 2.565373420715332, 2.7108728885650635, 2.5577304363250732, 2.6882317066192627, 2.6751697063446045, 2.6960058212280273, 2.6514976024627686, 2.576782703399658, 2.597060203552246, 2.7253293991088867, 2.7028117179870605]",sae,Pre-8
1,beta,18,0.006,0.4661750322570315,0.5096569895543943,0.5071464866089996,0.5,0.5719484882418813,0.6422172452407615,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6813929080963135, 2.6866066455841064, 2.6659719944000244, 2.6501331329345703, 2.7273120880126953, 2.6867616176605225, 2.660238742828369, 2.524549722671509, 2.6910815238952637, 2.5044894218444824, 2.6251630783081055, 2.676295518875122, 2.696413516998291, 2.668835163116455, 2.66110897064209, 2.66938853263855, 2.7021045684814453, 2.696044445037842, 2.645887851715088, 2.635861873626709, 2.654630422592163, 2.612682342529297, 2.625619888305664, 2.599133253097534, 2.649629831314087, 2.664248466491699, 2.6591200828552246, 2.6382081508636475, 2.71052622795105, 2.581234931945801]",sae,Pre-8
1,beta,35,0.004,0.443109500732318,0.4786583512433119,0.4456740969165946,0.5,0.5543560606060606,0.7006628787878787,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.7107856273651123, 2.768674612045288, 2.787825107574463, 2.7069666385650635, 2.6458542346954346, 2.5937211513519287, 2.7085561752319336, 2.7809009552001953, 2.8043549060821533, 2.7761447429656982, 2.7523651123046875, 2.7963359355926514, 2.7469327449798584, 2.6711509227752686, 2.796363115310669, 2.592515707015991, 2.7838709354400635, 2.784142017364502, 2.7859621047973633, 2.8093597888946533, 2.755765438079834, 2.816768169403076, 2.767944574356079, 2.759197235107422, 2.8442013263702393, 2.6463050842285156, 2.848820447921753, 2.8343846797943115, 2.7343897819519043, 2.7295963764190674]",sae,Pre-8
1,beta,19,0.006,0.4475610082479226,0.5057874355933725,0.4733676443402331,0.5,0.5324504555273786,0.6386775617544848,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.7112646102905273, 2.687096118927002, 2.633774757385254, 2.637420654296875, 2.562688112258911, 2.694718837738037, 2.5839271545410156, 2.691743850708008, 2.7045159339904785, 2.699651002883911, 2.7092678546905518, 2.7505881786346436, 2.5941638946533203, 2.617682695388794, 2.6792588233947754, 2.714662790298462, 2.692751169204712, 2.72810959815979, 2.5889856815338135, 2.7051658630371094, 2.5825512409210205, 2.6868629455566406, 2.5190930366516113, 2.7058331966400146, 2.6819751262664795, 2.6797752380371094, 2.6879677772521973, 2.6063590049743652, 2.6313562393188477, 2.720653772354126]",sae,Pre-8
1,beta,46,0.006,0.449278736255791,0.4835237591062819,0.4783053344774027,0.5,0.5421297615654983,0.6656217345872518,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6826562881469727, 2.702484369277954, 2.6878483295440674, 2.6954312324523926, 2.692265033721924, 2.6725692749023438, 2.6637911796569824, 2.602217674255371, 2.64491605758667, 2.7055394649505615, 2.6582233905792236, 2.6053390502929688, 2.6003010272979736, 2.7243056297302246, 2.7231552600860596, 2.6535544395446777, 2.651862621307373, 2.670271635055542, 2.6284539699554443, 2.6292874813079834, 2.7013909816741943, 2.7042393684387207, 2.580047130584717, 2.6376559734344482, 2.6585848331451416, 2.632826566696167, 2.6377243995666504, 2.645939826965332, 2.635150194168091, 2.7899863719940186]",sae,Pre-8
1,beta,47,0.006,0.4460132172105765,0.4626355333466457,0.4598113057560596,0.5,0.5973632812499999,0.72333984375,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6196277141571045, 2.5581722259521484, 2.6363635063171387, 2.6279873847961426, 2.744615077972412, 2.7163619995117188, 2.657928228378296, 2.6505634784698486, 2.726745367050171, 2.717146158218384, 2.7492902278900146, 2.6472063064575195, 2.6648683547973633, 2.7418384552001953, 2.6767520904541016, 2.7442572116851807, 2.617698907852173, 2.7146100997924805, 2.5777459144592285, 2.68640398979187, 2.7816357612609863, 2.6917128562927246, 2.6145548820495605, 2.744762897491455, 2.5419251918792725, 2.704119920730591, 2.7663025856018066, 2.5919406414031982, 2.6878418922424316, 2.7364156246185303]",sae,Pre-8
1,beta,42,0.014,0.4614053873066341,0.468074566272367,0.4546327007345285,0.5,0.5699767711962833,0.7085753000387146,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.447516679763794, 2.4406135082244873, 2.4961390495300293, 2.45562744140625, 2.442291498184204, 2.354051351547241, 2.428739309310913, 2.5012283325195312, 2.3885648250579834, 2.4284932613372803, 2.435347318649292, 2.4627339839935303, 2.3305070400238037, 2.4683361053466797, 2.407238245010376, 2.4783780574798584, 2.376603603363037, 2.39189076423645, 2.5018882751464844, 2.4171762466430664, 2.483990430831909, 2.4413819313049316, 2.4449164867401123, 2.394961357116699, 2.378474235534668, 2.3924341201782227, 2.4244303703308105, 2.3741772174835205, 2.4512088298797607, 2.4255106449127197]",sae,Pre-8
1,beta,43,0.014,0.4474646113164534,0.4797321348516642,0.4617820050951759,0.5,0.5788135593220339,0.6863465160075329,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.381277322769165, 2.4226326942443848, 2.533233404159546, 2.4881632328033447, 2.47373366355896, 2.425074338912964, 2.543811559677124, 2.489548683166504, 2.5165772438049316, 2.521746873855591, 2.323136568069458, 2.4736456871032715, 2.5117263793945312, 2.4999308586120605, 2.426431894302368, 2.4208357334136963, 2.538972854614258, 2.522458791732788, 2.4075281620025635, 2.5732452869415283, 2.4578120708465576, 2.3467817306518555, 2.5176825523376465, 2.514235734939575, 2.445406913757324, 2.417646884918213, 2.587364673614502, 2.3122458457946777, 2.5410728454589844, 2.4157330989837646]",sae,Pre-8
1,beta,6,0.004,0.4561535648434954,0.4914891268613083,0.4646575458623221,0.5,0.5335662354829571,0.7055990935700123,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.766218662261963, 2.796689510345459, 2.8256702423095703, 2.779572010040283, 2.684150457382202, 2.7664144039154053, 2.837022066116333, 2.7428975105285645, 2.665642261505127, 2.7028701305389404, 2.715212821960449, 2.7827651500701904, 2.8289504051208496, 2.7000508308410645, 2.801527500152588, 2.838693380355835, 2.7265491485595703, 2.80393648147583, 2.756739616394043, 2.656944751739502, 2.7377755641937256, 2.752253293991089, 2.726595163345337, 2.794266700744629, 2.654071569442749, 2.783411741256714, 2.6935160160064697, 2.801692485809326, 2.7059431076049805, 2.800401449203491]",sae,Pre-8
1,beta,20,0.015,0.4530454598694323,0.4783074685269128,0.4842200646716498,0.5,0.5355222734254992,0.6328725038402458,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.363393545150757, 2.3120524883270264, 2.4275612831115723, 2.320258378982544, 2.38456392288208, 2.390219211578369, 2.3268091678619385, 2.3869614601135254, 2.3160922527313232, 2.34928035736084, 2.3377556800842285, 2.263986825942993, 2.306723117828369, 2.360414743423462, 2.333404302597046, 2.317789316177368, 2.420783519744873, 2.403968095779419, 2.3190174102783203, 2.404618978500366, 2.349449872970581, 2.3814697265625, 2.308507204055786, 2.373440980911255, 2.393453359603882, 2.365480661392212, 2.3681230545043945, 2.3639261722564697, 2.39023494720459, 2.436138868331909]",sae,Pre-8
