seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,bernoulli,1,none,1.0,raw,1,0.5086463837813711,0.3816544474633596
1,bernoulli,1,none,1.0,raw,1,0.5202703659140775,0.383291878566496
10,bernoulli,1,none,1.0,raw,1,0.5298276886512181,0.3699813432435955
11,bernoulli,1,none,1.0,raw,1,0.5260048676156059,0.3599907948058821
12,bernoulli,1,none,1.0,raw,1,0.568664546899841,0.3353059176628179
13,bernoulli,1,none,1.0,raw,1,0.4653534294933672,0.3589926219569876
14,bernoulli,1,none,1.0,raw,1,0.5432510022849586,0.3535701224962142
15,bernoulli,1,none,1.0,raw,1,0.5159935074739544,0.3621783383241726
16,bernoulli,1,none,1.0,raw,1,0.5179155124653739,0.3767187743976067
17,bernoulli,1,none,1.0,raw,1,0.5377704342438168,0.3628214726090168
18,bernoulli,1,none,1.0,raw,1,0.5564945456920767,0.2915702884815423
19,bernoulli,1,none,1.0,raw,1,0.5893814833109872,0.361200299721548
2,bernoulli,1,none,1.0,raw,1,0.5781091691995948,0.3404608637267108
20,bernoulli,1,none,1.0,raw,1,0.5290851890691506,0.3551802250246136
21,bernoulli,1,none,1.0,raw,1,0.5152548502932135,0.3490419845050611
22,bernoulli,1,none,1.0,raw,1,0.5064120678750689,0.3859176815983103
23,bernoulli,1,none,1.0,raw,1,0.5602039060483524,0.376744721671215
24,bernoulli,1,none,1.0,raw,1,0.4993185078909612,0.3985577944004749
25,bernoulli,1,none,1.0,raw,1,0.5005027802750308,0.3840581906405137
26,bernoulli,1,none,1.0,raw,1,0.4917637092219563,0.3745671993376472
27,bernoulli,1,none,1.0,raw,1,0.4849429793300072,0.3596915426615366
28,bernoulli,1,none,1.0,raw,1,0.5429587661315707,0.3999867332761816
29,bernoulli,1,none,1.0,raw,1,0.5103102366186291,0.3740664624201094
3,bernoulli,1,none,1.0,raw,1,0.5214579349184598,0.3579110721925098
30,bernoulli,1,none,1.0,raw,1,0.4608156186431749,0.3281760743672603
31,bernoulli,1,none,1.0,raw,1,0.5198670712324808,0.3281863586639859
32,bernoulli,1,none,1.0,raw,1,0.5317628108325783,0.3498067139056205
33,bernoulli,1,none,1.0,raw,1,0.4563522936837252,0.3603372338400294
34,bernoulli,1,none,1.0,raw,1,0.5187233714901699,0.3441146736882012
35,bernoulli,1,none,1.0,raw,1,0.5637430014718172,0.3693592493859142
36,bernoulli,1,none,1.0,raw,1,0.5233202221534745,0.3665007601531031
37,bernoulli,1,none,1.0,raw,1,0.565307462988227,0.3606587369730776
38,bernoulli,1,none,1.0,raw,1,0.4863951714133236,0.3790176856964715
39,bernoulli,1,none,1.0,raw,1,0.4861555731093834,0.3622573657119557
4,bernoulli,1,none,1.0,raw,1,0.5214782649297286,0.378098600427559
40,bernoulli,1,none,1.0,raw,1,0.5337780214424952,0.3494098456241841
41,bernoulli,1,none,1.0,raw,1,0.5655955771817391,0.320069849169397
42,bernoulli,1,none,1.0,raw,1,0.5221156222963788,0.3544960967549815
43,bernoulli,1,none,1.0,raw,1,0.5002194469935762,0.3823848983141927
44,bernoulli,1,none,1.0,raw,1,0.5441155441155441,0.2678700546149925
45,bernoulli,1,none,1.0,raw,1,0.5415230608372381,0.3823422053796569
46,bernoulli,1,none,1.0,raw,1,0.5282121212121211,0.3501035617984691
47,bernoulli,1,none,1.0,raw,1,0.4992394714326457,0.3207653844805435
48,bernoulli,1,none,1.0,raw,1,0.5811849235264744,0.3348789281518587
49,bernoulli,1,none,1.0,raw,1,0.5194015151515152,0.3483137385642199
5,bernoulli,1,none,1.0,raw,1,0.550372887339482,0.3607020134234305
6,bernoulli,1,none,1.0,raw,1,0.5096158905551171,0.3644845783362102
7,bernoulli,1,none,1.0,raw,1,0.4485937300472481,0.3294118782223453
8,bernoulli,1,none,1.0,raw,1,0.5438593882436914,0.3698425078925164
9,bernoulli,1,none,1.0,raw,1,0.5894087837837838,0.3610881730378988
