seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,beta,1,32,0.9,raw,32,0.5506294768830041,0.5299599917174137
19,beta,1,32,0.9,raw,32,0.5802614807531228,0.4600959952108629
43,beta,1,32,0.9,raw,32,0.6370512647528037,0.4604035210207171
11,beta,1,32,0.9,raw,32,0.5559665532879818,0.6292274081570151
34,beta,1,32,0.9,raw,32,0.5679663440803262,0.5704902737646789
38,beta,1,32,0.9,raw,32,0.5690130189002456,0.6353400814826152
27,beta,1,32,0.9,raw,32,0.6196884859164938,0.6005609026397445
6,beta,1,32,0.9,raw,32,0.5827251583928141,0.5075636327247302
31,beta,1,32,0.9,raw,32,0.5675799418604651,0.4802198928578119
39,beta,1,32,0.9,raw,32,0.5891737891737892,0.6281084959983915
47,beta,1,32,0.9,raw,32,0.6280511930849768,0.5817002500942402
23,beta,1,32,0.9,raw,32,0.5191767939814815,0.6109209502337135
3,beta,1,32,0.9,raw,32,0.5569175862194544,0.5785434857858318
15,beta,1,32,0.9,raw,32,0.6394688583990632,0.6299638326420716
35,beta,1,32,0.9,raw,32,0.6370507938113785,0.5484757021561784
2,beta,1,32,0.9,raw,32,0.597579948141746,0.5003543134821132
7,beta,1,32,0.9,raw,32,0.5652395595361376,0.6374195898992006
10,beta,1,32,0.9,raw,32,0.5866695122310206,0.6339006604894833
14,beta,1,32,0.9,raw,32,0.589860542383749,0.6184282988586167
30,beta,1,32,0.9,raw,32,0.5619946091644205,0.5813862856169597
18,beta,1,32,0.9,raw,32,0.5290315221111069,0.5969794935861106
42,beta,1,32,0.9,raw,32,0.5667081682701377,0.5708126853308527
26,beta,1,32,0.9,raw,32,0.5681204899642229,0.6141512828446105
22,beta,1,32,0.9,raw,32,0.6430825782056206,0.6095265664607912
46,beta,1,32,0.9,raw,32,0.6258427815570673,0.4614554097992173
4,beta,1,32,0.9,raw,32,0.5457301299288051,0.6225545247262858
20,beta,1,32,0.9,raw,32,0.5853536365457825,0.6162832371877139
36,beta,1,32,0.9,raw,32,0.5547939289724323,0.5950228699929024
40,beta,1,32,0.9,raw,32,0.5937817027332774,0.5891551362311771
1,beta,1,32,0.9,raw,32,0.6266236379735535,0.4756252108108514
48,beta,1,32,0.9,raw,32,0.6231260733596814,0.6101386591565011
16,beta,1,32,0.9,raw,32,0.630670988849369,0.6493765454462073
44,beta,1,32,0.9,raw,32,0.6520491397712654,0.5921331778298403
12,beta,1,32,0.9,raw,32,0.6174725724330222,0.6636617461043992
28,beta,1,32,0.9,raw,32,0.582862404669434,0.6523892506703791
32,beta,1,32,0.9,raw,32,0.5841573498964803,0.4787062751732858
24,beta,1,32,0.9,raw,32,0.5799082819395927,0.6071101182838085
8,beta,1,32,0.9,raw,32,0.6129648899680116,0.4644282752239896
37,beta,1,32,0.9,raw,32,0.5767867822966507,0.4976343727992265
41,beta,1,32,0.9,raw,32,0.5662277245726755,0.6062736083870878
49,beta,1,32,0.9,raw,32,0.5554904895135229,0.6336297538866466
45,beta,1,32,0.9,raw,32,0.5551343924549665,0.6302178962759618
21,beta,1,32,0.9,raw,32,0.5769520744075451,0.6552647506206284
25,beta,1,32,0.9,raw,32,0.5899508318178757,0.5870386077200442
33,beta,1,32,0.9,raw,32,0.6259701864558164,0.6262139927911672
29,beta,1,32,0.9,raw,32,0.5746037965865551,0.5753612958861875
9,beta,1,32,0.9,raw,32,0.577036890905504,0.4643609079710273
17,beta,1,32,0.9,raw,32,0.5427060354092426,0.5912274935836112
5,beta,1,32,0.9,raw,32,0.588191284697835,0.590045313468988
13,beta,1,32,0.9,raw,32,0.5932990125749009,0.4859264660775418
