seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,bernoulli,1,64,1.0,pca,64,0.6512983487176212,0.4482778065477071
1,bernoulli,1,64,1.0,pca,64,0.6926308613118006,0.4313846709572015
10,bernoulli,1,64,1.0,pca,64,0.6599885177078473,0.4337777443293381
11,bernoulli,1,64,1.0,pca,64,0.6861516423186776,0.4279637527313335
12,bernoulli,1,64,1.0,pca,64,0.713661810096742,0.411622813301522
13,bernoulli,1,64,1.0,pca,64,0.6710404471925728,0.4433075962836103
14,bernoulli,1,64,1.0,pca,64,0.6427615891060154,0.4426474716387932
15,bernoulli,1,64,1.0,pca,64,0.6717202457909035,0.4394115513104068
16,bernoulli,1,64,1.0,pca,64,0.6665145435704647,0.4365900317435051
17,bernoulli,1,64,1.0,pca,64,0.6481001267408638,0.449177665490266
18,bernoulli,1,64,1.0,pca,64,0.6989179308861158,0.4296587500924316
19,bernoulli,1,64,1.0,pca,64,0.6652479819078431,0.4327484861608567
2,bernoulli,1,64,1.0,pca,64,0.6630304690035703,0.4244447257300777
20,bernoulli,1,64,1.0,pca,64,0.6306390977443609,0.4369247946787443
21,bernoulli,1,64,1.0,pca,64,0.6117714937159382,0.4528504888422609
22,bernoulli,1,64,1.0,pca,64,0.6625570594948177,0.4354810280056188
23,bernoulli,1,64,1.0,pca,64,0.6472653253879285,0.4388300399100107
24,bernoulli,1,64,1.0,pca,64,0.6552701402681231,0.4385110208611837
25,bernoulli,1,64,1.0,pca,64,0.6360736218330114,0.4440662445887641
26,bernoulli,1,64,1.0,pca,64,0.6383225581556795,0.4403048420843203
27,bernoulli,1,64,1.0,pca,64,0.6043891510374619,0.4623032073886451
28,bernoulli,1,64,1.0,pca,64,0.6717498103636277,0.4410175705251024
29,bernoulli,1,64,1.0,pca,64,0.6908140526397029,0.4380508769372828
3,bernoulli,1,64,1.0,pca,64,0.6180773355456182,0.4587370835338673
30,bernoulli,1,64,1.0,pca,64,0.6689151866231766,0.4468805746250969
31,bernoulli,1,64,1.0,pca,64,0.6624089437474706,0.4347091110254468
32,bernoulli,1,64,1.0,pca,64,0.5964155175583747,0.4626082673807658
33,bernoulli,1,64,1.0,pca,64,0.6683042721988884,0.4295162379811277
34,bernoulli,1,64,1.0,pca,64,0.6530199680950547,0.4445928145484792
35,bernoulli,1,64,1.0,pca,64,0.677438845210466,0.4362700919795682
36,bernoulli,1,64,1.0,pca,64,0.6155430091600305,0.4563455409779128
37,bernoulli,1,64,1.0,pca,64,0.6978571902801753,0.4259912340522657
38,bernoulli,1,64,1.0,pca,64,0.6251721249047981,0.443340973325141
39,bernoulli,1,64,1.0,pca,64,0.6667977258964,0.4265653931516129
4,bernoulli,1,64,1.0,pca,64,0.6057081736614495,0.4622637531964041
40,bernoulli,1,64,1.0,pca,64,0.6635748983538656,0.4329781501049709
41,bernoulli,1,64,1.0,pca,64,0.6735266135897051,0.4378057331213015
42,bernoulli,1,64,1.0,pca,64,0.669750024053495,0.4361238464171836
43,bernoulli,1,64,1.0,pca,64,0.6563773165307635,0.4393270523639415
44,bernoulli,1,64,1.0,pca,64,0.6344902865425749,0.4448641142557035
45,bernoulli,1,64,1.0,pca,64,0.6473990277588478,0.4430558766523664
46,bernoulli,1,64,1.0,pca,64,0.6721062453577177,0.4380147324211658
47,bernoulli,1,64,1.0,pca,64,0.7150364881373368,0.411150245568732
48,bernoulli,1,64,1.0,pca,64,0.5793078944090234,0.4725473136525199
49,bernoulli,1,64,1.0,pca,64,0.6513806228576795,0.4487288581893958
5,bernoulli,1,64,1.0,pca,64,0.6581855572154541,0.4286487855805726
6,bernoulli,1,64,1.0,pca,64,0.6448794311154331,0.4462097898901149
7,bernoulli,1,64,1.0,pca,64,0.7031407344500324,0.4277251778227817
8,bernoulli,1,64,1.0,pca,64,0.6534736812320057,0.4400046553961521
9,bernoulli,1,64,1.0,pca,64,0.6634946392350044,0.437445245449944
