seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,bernoulli,1,16,1.0,raw,16,0.6829022129186603,0.4345684951572779
1,bernoulli,1,16,1.0,raw,16,0.6067254174397031,0.4664589524644789
10,bernoulli,1,16,1.0,raw,16,0.6882902249034972,0.4299583621713445
11,bernoulli,1,16,1.0,raw,16,0.7290383538633819,0.4159582752224048
12,bernoulli,1,16,1.0,raw,16,0.662112405344696,0.4287951827639819
13,bernoulli,1,16,1.0,raw,16,0.6710813953488373,0.4367220637924225
14,bernoulli,1,16,1.0,raw,16,0.6920708550347223,0.4309138570528066
15,bernoulli,1,16,1.0,raw,16,0.6677923794141398,0.4310527267376891
16,bernoulli,1,16,1.0,raw,16,0.6655899148277197,0.42908188883739
17,bernoulli,1,16,1.0,raw,16,0.5881078368761974,0.4650832448812425
18,bernoulli,1,16,1.0,raw,16,0.6584821428571428,0.4391557831956845
19,bernoulli,1,16,1.0,raw,16,0.6770438417420044,0.41463562150035
2,bernoulli,1,16,1.0,raw,16,0.5864053316282616,0.4617491865372941
20,bernoulli,1,16,1.0,raw,16,0.6438590706168832,0.4374917233910372
21,bernoulli,1,16,1.0,raw,16,0.6675930486174629,0.4352172151386332
22,bernoulli,1,16,1.0,raw,16,0.6978126156122827,0.4097392369183962
23,bernoulli,1,16,1.0,raw,16,0.6084343007419931,0.4582895904676877
24,bernoulli,1,16,1.0,raw,16,0.674033799369204,0.4348088156470152
25,bernoulli,1,16,1.0,raw,16,0.6052087535296491,0.4534158595288933
26,bernoulli,1,16,1.0,raw,16,0.6810813343328336,0.4316314420111624
27,bernoulli,1,16,1.0,raw,16,0.5877637987012987,0.4586278139164777
28,bernoulli,1,16,1.0,raw,16,0.7012711367527381,0.4162581547233309
29,bernoulli,1,16,1.0,raw,16,0.6310293674524257,0.4451642040480682
3,bernoulli,1,16,1.0,raw,16,0.6281796357816629,0.446170281895148
30,bernoulli,1,16,1.0,raw,16,0.6251785532088563,0.460128203024645
31,bernoulli,1,16,1.0,raw,16,0.6103687434978615,0.4666869700505318
32,bernoulli,1,16,1.0,raw,16,0.601718554239652,0.452602545673495
33,bernoulli,1,16,1.0,raw,16,0.6603642751479288,0.4256311029397176
34,bernoulli,1,16,1.0,raw,16,0.6388990406578348,0.4424905203757545
35,bernoulli,1,16,1.0,raw,16,0.7171177851934247,0.4125263581379981
36,bernoulli,1,16,1.0,raw,16,0.6184253780407627,0.4543821390947529
37,bernoulli,1,16,1.0,raw,16,0.7202769581077628,0.4212745172344473
38,bernoulli,1,16,1.0,raw,16,0.6309877974989916,0.4445094849096953
39,bernoulli,1,16,1.0,raw,16,0.7033595836787326,0.4200870100503813
4,bernoulli,1,16,1.0,raw,16,0.5744353437577563,0.4629040647720513
40,bernoulli,1,16,1.0,raw,16,0.632731718677224,0.4455161883659307
41,bernoulli,1,16,1.0,raw,16,0.6533670315981122,0.4426309929404034
42,bernoulli,1,16,1.0,raw,16,0.6886499554650718,0.430406991090374
43,bernoulli,1,16,1.0,raw,16,0.6435967878275571,0.4507229706165183
44,bernoulli,1,16,1.0,raw,16,0.6287774725274724,0.4461053349047879
45,bernoulli,1,16,1.0,raw,16,0.6277861033801946,0.4483019221775832
46,bernoulli,1,16,1.0,raw,16,0.6360147527910686,0.4469033652419824
47,bernoulli,1,16,1.0,raw,16,0.6487571022727272,0.4544046846424065
48,bernoulli,1,16,1.0,raw,16,0.5727000903970517,0.4732371299684369
49,bernoulli,1,16,1.0,raw,16,0.6161138539276361,0.4562385890787891
5,bernoulli,1,16,1.0,raw,16,0.617491630798661,0.4438395651571891
6,bernoulli,1,16,1.0,raw,16,0.6580766740658528,0.4442655738200232
7,bernoulli,1,16,1.0,raw,16,0.5871974336541266,0.4595475495582422
8,bernoulli,1,16,1.0,raw,16,0.6665965404394577,0.4395634491507627
9,bernoulli,1,16,1.0,raw,16,0.5764981469827284,0.4799496552519857
