seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,bernoulli,1,32,0.7,raw,32,0.5846098385457296,0.4688365061728641
2,bernoulli,1,32,0.7,raw,32,0.6180685858186846,0.4584867986319845
35,bernoulli,1,32,0.7,raw,32,0.6544327355343935,0.4411455583027324
47,bernoulli,1,32,0.7,raw,32,0.688593118162197,0.4415353400590198
46,bernoulli,1,32,0.7,raw,32,0.705863659022931,0.4296645591854074
6,bernoulli,1,32,0.7,raw,32,0.6241630978949273,0.4500440231618023
30,bernoulli,1,32,0.7,raw,32,0.6931224851504119,0.4229226349971675
43,bernoulli,1,32,0.7,raw,32,0.6748541083099907,0.4354868107593088
34,bernoulli,1,32,0.7,raw,32,0.6056194871195747,0.4528845115987337
26,bernoulli,1,32,0.7,raw,32,0.5384588684484555,0.468030838835717
27,bernoulli,1,32,0.7,raw,32,0.6803586512339337,0.4440449023535001
19,bernoulli,1,32,0.7,raw,32,0.639444276653579,0.4408174486789797
22,bernoulli,1,32,0.7,raw,32,0.7433959383111926,0.4059889761785828
7,bernoulli,1,32,0.7,raw,32,0.6438216528447201,0.4468884272658882
23,bernoulli,1,32,0.7,raw,32,0.6717760706231382,0.4332089821889913
14,bernoulli,1,32,0.7,raw,32,0.6113532359991283,0.4485584049524267
10,bernoulli,1,32,0.7,raw,32,0.6341549513841579,0.4393655308209079
42,bernoulli,1,32,0.7,raw,32,0.6651294123700731,0.4299098046653506
38,bernoulli,1,32,0.7,raw,32,0.6547346538353731,0.4491887455746892
39,bernoulli,1,32,0.7,raw,32,0.6377534709535988,0.4369681565720537
18,bernoulli,1,32,0.7,raw,32,0.5619563244812776,0.4754791139795041
15,bernoulli,1,32,0.7,raw,32,0.6335232668566002,0.4490792099213677
3,bernoulli,1,32,0.7,raw,32,0.6041204418290566,0.4614275251083118
31,bernoulli,1,32,0.7,raw,32,0.6662675165493781,0.4310736233311894
11,bernoulli,1,32,0.7,raw,32,0.6623960690957278,0.4442876936324584
32,bernoulli,1,32,0.7,raw,32,0.6896321833557562,0.4336882307885095
16,bernoulli,1,32,0.7,raw,32,0.6052044109736417,0.4638121562237347
1,bernoulli,1,32,0.7,raw,32,0.5968776732249786,0.4550274341822254
4,bernoulli,1,32,0.7,raw,32,0.6482663299433485,0.4461459842437885
44,bernoulli,1,32,0.7,raw,32,0.6596670493685418,0.4426581092469568
36,bernoulli,1,32,0.7,raw,32,0.5695049945668539,0.4597633245081621
8,bernoulli,1,32,0.7,raw,32,0.6910724006532389,0.4364718549662608
40,bernoulli,1,32,0.7,raw,32,0.5878079710144928,0.4650832609011283
20,bernoulli,1,32,0.7,raw,32,0.5682050578611333,0.4578910141887745
24,bernoulli,1,32,0.7,raw,32,0.6100653353057198,0.4476522415540891
12,bernoulli,1,32,0.7,raw,32,0.6379157910922045,0.4531923934541858
28,bernoulli,1,32,0.7,raw,32,0.6944355828220858,0.4264785411496507
48,bernoulli,1,32,0.7,raw,32,0.646466064453125,0.4417041853347807
17,bernoulli,1,32,0.7,raw,32,0.6471091739109319,0.4451265281376776
25,bernoulli,1,32,0.7,raw,32,0.6398557880923713,0.4313429241685175
49,bernoulli,1,32,0.7,raw,32,0.647439552919708,0.4406852065543221
37,bernoulli,1,32,0.7,raw,32,0.5945129531102382,0.4589190984530717
9,bernoulli,1,32,0.7,raw,32,0.5861201895826047,0.4662038795374822
21,bernoulli,1,32,0.7,raw,32,0.6571376569799187,0.4414596525313268
29,bernoulli,1,32,0.7,raw,32,0.6288489382239383,0.450438014082432
45,bernoulli,1,32,0.7,raw,32,0.6299102132435466,0.4538237347343701
13,bernoulli,1,32,0.7,raw,32,0.6961244019138756,0.420040504199796
5,bernoulli,1,32,0.7,raw,32,0.6611928795186715,0.4335072233451842
33,bernoulli,1,32,0.7,raw,32,0.7389575559701492,0.4101266941139044
41,bernoulli,1,32,0.7,raw,32,0.5648196869761011,0.4578614641636665
