seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,bernoulli,1,max,1.0,raw,max,0.7099417766839751,0.4246257010289319
1,bernoulli,1,max,1.0,raw,max,0.6932931605711937,0.4299564040340022
10,bernoulli,1,max,1.0,raw,max,0.7032167799407563,0.4160957080252084
11,bernoulli,1,max,1.0,raw,max,0.7136728659037797,0.4187498726061727
12,bernoulli,1,max,1.0,raw,max,0.7312763270906832,0.4018378178554448
13,bernoulli,1,max,1.0,raw,max,0.7175118764518974,0.420948565478542
14,bernoulli,1,max,1.0,raw,max,0.6354317998385794,0.4456471641239725
15,bernoulli,1,max,1.0,raw,max,0.6985570233690669,0.429787762821877
16,bernoulli,1,max,1.0,raw,max,0.7309529663844884,0.4058915354054033
17,bernoulli,1,max,1.0,raw,max,0.6738525377229081,0.4396854210528561
18,bernoulli,1,max,1.0,raw,max,0.7558072881970374,0.4034115778117386
19,bernoulli,1,max,1.0,raw,max,0.7020934365700431,0.4120755294714013
2,bernoulli,1,max,1.0,raw,max,0.6984838071289946,0.4104424885632104
20,bernoulli,1,max,1.0,raw,max,0.6936436554878765,0.4126880614424056
21,bernoulli,1,max,1.0,raw,max,0.6728560893383903,0.4282524942335457
22,bernoulli,1,max,1.0,raw,max,0.6801498496921596,0.4301185353321828
23,bernoulli,1,max,1.0,raw,max,0.7096693927976365,0.4124655969318456
24,bernoulli,1,max,1.0,raw,max,0.7133822451970043,0.4143613960081322
25,bernoulli,1,max,1.0,raw,max,0.6507181141424321,0.4394632974083068
26,bernoulli,1,max,1.0,raw,max,0.6843352588629006,0.4261741575185209
27,bernoulli,1,max,1.0,raw,max,0.6223741897400794,0.4548877760017281
28,bernoulli,1,max,1.0,raw,max,0.7138790603902934,0.4256361617922818
29,bernoulli,1,max,1.0,raw,max,0.7262000054452883,0.4169000528291159
3,bernoulli,1,max,1.0,raw,max,0.6726857090148812,0.4398808411158621
30,bernoulli,1,max,1.0,raw,max,0.6936512212643677,0.4338455500058078
31,bernoulli,1,max,1.0,raw,max,0.7574560702634164,0.3908317019029307
32,bernoulli,1,max,1.0,raw,max,0.6350484590712593,0.4457383211299304
33,bernoulli,1,max,1.0,raw,max,0.6940120333285067,0.4186821847063766
34,bernoulli,1,max,1.0,raw,max,0.7277549770847984,0.4095885753425501
35,bernoulli,1,max,1.0,raw,max,0.7544449034426425,0.3985609162616056
36,bernoulli,1,max,1.0,raw,max,0.6757554757630162,0.4351835232034846
37,bernoulli,1,max,1.0,raw,max,0.7438876717348445,0.4034918358022934
38,bernoulli,1,max,1.0,raw,max,0.6756563882127091,0.426648979363673
39,bernoulli,1,max,1.0,raw,max,0.7314350294615807,0.4004283794187831
4,bernoulli,1,max,1.0,raw,max,0.6856905806700888,0.4295037136638969
40,bernoulli,1,max,1.0,raw,max,0.7072120041806873,0.4143718247845775
41,bernoulli,1,max,1.0,raw,max,0.694247240058244,0.4259774167394665
42,bernoulli,1,max,1.0,raw,max,0.728735569859486,0.4125450326440427
43,bernoulli,1,max,1.0,raw,max,0.6865628458870352,0.4286974511599555
44,bernoulli,1,max,1.0,raw,max,0.6746535182489003,0.4288198033055474
45,bernoulli,1,max,1.0,raw,max,0.7167895875920406,0.4123574545239086
46,bernoulli,1,max,1.0,raw,max,0.7151994892195159,0.4192002594431955
47,bernoulli,1,max,1.0,raw,max,0.761803969460868,0.3843138118826349
48,bernoulli,1,max,1.0,raw,max,0.5933664704827915,0.4629912609043887
49,bernoulli,1,max,1.0,raw,max,0.6907006881906226,0.431574095695223
5,bernoulli,1,max,1.0,raw,max,0.7587844020197541,0.3825771036225968
6,bernoulli,1,max,1.0,raw,max,0.7105478132056205,0.4208482858469061
7,bernoulli,1,max,1.0,raw,max,0.7645127336076563,0.3937235959600549
8,bernoulli,1,max,1.0,raw,max,0.7169760552262514,0.4197392266068404
9,bernoulli,1,max,1.0,raw,max,0.7359566022112902,0.4069206680650832
