seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,bernoulli,1,8,1.0,raw,8,0.5954485196641626,0.4298659734274634,12,2,30,2
39,bernoulli,1,8,1.0,raw,8,0.6268602540834846,0.4503687030257797,20,2,30,2
23,bernoulli,1,8,1.0,raw,8,0.5791487326637972,0.4530289811312176,8,2,30,2
19,bernoulli,1,8,1.0,raw,8,0.6479454685099846,0.4300567774104323,23,2,30,2
27,bernoulli,1,8,1.0,raw,8,0.6639864200839811,0.4419150331915276,21,2,30,2
43,bernoulli,1,8,1.0,raw,8,0.5126973866469664,0.4545009046635788,16,2,30,2
26,bernoulli,1,8,1.0,raw,8,0.6277191982521136,0.4461428279569147,10,2,30,2
34,bernoulli,1,8,1.0,raw,8,0.5637291280148423,0.4550420558535283,16,2,30,2
2,bernoulli,1,8,1.0,raw,8,0.5064334731223789,0.451826174355085,25,2,30,2
47,bernoulli,1,8,1.0,raw,8,0.5049258727881396,0.469482088609598,8,2,30,2
15,bernoulli,1,8,1.0,raw,8,0.6234586466165414,0.4387174085048629,2,2,30,2
3,bernoulli,1,8,1.0,raw,8,0.4741755454084221,0.4354476131350577,6,2,30,2
7,bernoulli,1,8,1.0,raw,8,0.6287719298245613,0.4328847363506393,7,2,30,2
10,bernoulli,1,8,1.0,raw,8,0.6436888681881696,0.4540442317745377,22,2,30,2
11,bernoulli,1,8,1.0,raw,8,0.5268505079825835,0.4630309427428579,14,2,30,2
42,bernoulli,1,8,1.0,raw,8,0.4940960123886953,0.4643216767635967,18,2,30,2
35,bernoulli,1,8,1.0,raw,8,0.5687146696321008,0.4402794592314153,5,2,30,2
46,bernoulli,1,8,1.0,raw,8,0.5892565359477124,0.4485876376998885,8,2,30,2
31,bernoulli,1,8,1.0,raw,8,0.5797551789077213,0.4542749873601702,14,2,30,2
22,bernoulli,1,8,1.0,raw,8,0.5514243433222346,0.4500325999107588,2,2,30,2
6,bernoulli,1,8,1.0,raw,8,0.5564493758668516,0.4603904775648076,24,2,30,2
38,bernoulli,1,8,1.0,raw,8,0.5240989779451318,0.4268581874658723,4,2,30,2
30,bernoulli,1,8,1.0,raw,8,0.5732407127755965,0.4565041265436952,5,2,30,2
14,bernoulli,1,8,1.0,raw,8,0.6169287387085982,0.4270894139329954,8,2,30,2
18,bernoulli,1,8,1.0,raw,8,0.5748413587159388,0.4627035221580831,17,2,30,2
24,bernoulli,1,8,1.0,raw,8,0.573821796759941,0.4483284129731896,6,2,30,2
1,bernoulli,1,8,1.0,raw,8,0.6320352214960059,0.4553675570218717,18,2,30,2
20,bernoulli,1,8,1.0,raw,8,0.6650418467764186,0.4427997906031367,17,2,30,2
40,bernoulli,1,8,1.0,raw,8,0.5985205732778548,0.4512230154671113,22,2,30,2
44,bernoulli,1,8,1.0,raw,8,0.5255705635770842,0.4574064198398711,10,2,30,2
16,bernoulli,1,8,1.0,raw,8,0.5268001138411915,0.4475474739732607,4,2,30,2
32,bernoulli,1,8,1.0,raw,8,0.5367458458793353,0.424066836729202,4,2,30,2
48,bernoulli,1,8,1.0,raw,8,0.5810936916759984,0.4475083837576267,8,2,30,2
28,bernoulli,1,8,1.0,raw,8,0.6630212890055409,0.4461907877493011,11,2,30,2
12,bernoulli,1,8,1.0,raw,8,0.5271663415993313,0.4550447410814033,28,2,30,2
4,bernoulli,1,8,1.0,raw,8,0.5135492399206874,0.4622993878285214,17,2,30,2
36,bernoulli,1,8,1.0,raw,8,0.5813543599257884,0.4550665170392447,17,2,30,2
8,bernoulli,1,8,1.0,raw,8,0.4586111111111111,0.4582169305489111,20,2,30,2
29,bernoulli,1,8,1.0,raw,8,0.5576923076923077,0.4382376072823875,2,2,30,2
33,bernoulli,1,8,1.0,raw,8,0.5358908624793994,0.4391845730268323,3,2,30,2
25,bernoulli,1,8,1.0,raw,8,0.5146531100478469,0.4456400753964938,9,2,30,2
13,bernoulli,1,8,1.0,raw,8,0.536094674556213,0.4361247347652977,19,2,30,2
49,bernoulli,1,8,1.0,raw,8,0.523702664796634,0.4574793062063801,12,2,30,2
37,bernoulli,1,8,1.0,raw,8,0.547422966595725,0.4604088936519258,24,2,30,2
45,bernoulli,1,8,1.0,raw,8,0.5816326530612245,0.4562969993526087,5,2,30,2
17,bernoulli,1,8,1.0,raw,8,0.5839580209895052,0.4595189329673783,27,2,30,2
5,bernoulli,1,8,1.0,raw,8,0.6461113229126954,0.4407149615335593,24,2,30,2
21,bernoulli,1,8,1.0,raw,8,0.5825892857142858,0.4461079236132194,6,2,30,2
9,bernoulli,1,8,1.0,raw,8,0.5996289424860853,0.4554375469322385,22,2,30,2
41,bernoulli,1,8,1.0,raw,8,0.5742262810755961,0.4424950497291096,20,2,30,2
