seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
0,beta,1,max,1.0,raw,max,0.635508692422754,0.4439232890837759,28,2,30,2
35,beta,1,max,1.0,raw,max,0.6569013174678591,0.4322115371926383,19,2,30,2
30,beta,1,max,1.0,raw,max,0.6069340329835082,0.4541499778615259,21,2,30,2
14,beta,1,max,1.0,raw,max,0.583793757155996,0.4414974051007214,15,2,30,2
19,beta,1,max,1.0,raw,max,0.6331278243138984,0.4322001253050641,29,2,30,2
42,beta,1,max,1.0,raw,max,0.6385541735778255,0.4390062051706004,21,2,30,2
23,beta,1,max,1.0,raw,max,0.6362243877576274,0.4305533095868641,28,2,30,2
15,beta,1,max,1.0,raw,max,0.6232304546269065,0.4404125167984397,25,2,30,2
11,beta,1,max,1.0,raw,max,0.6238116741547236,0.4439606811172556,8,2,30,2
38,beta,1,max,1.0,raw,max,0.6274071020158885,0.4276357214742471,19,2,30,2
47,beta,1,max,1.0,raw,max,0.6486646142846053,0.4228848979399361,15,2,30,2
43,beta,1,max,1.0,raw,max,0.6146001756138917,0.4408983667690788,29,2,30,2
6,beta,1,max,1.0,raw,max,0.5860339273129971,0.4458429289465531,19,2,30,2
27,beta,1,max,1.0,raw,max,0.6093951352534773,0.4528009143608232,7,2,30,2
34,beta,1,max,1.0,raw,max,0.6408139140134339,0.4348017901162213,15,2,30,2
2,beta,1,max,1.0,raw,max,0.6250219959858918,0.4248906892560335,7,2,30,2
3,beta,1,max,1.0,raw,max,0.6608636699053007,0.4313727535851439,7,2,30,2
39,beta,1,max,1.0,raw,max,0.6401467711538921,0.4212396040010008,8,2,30,2
7,beta,1,max,1.0,raw,max,0.6655620562905331,0.420344260054578,4,2,30,2
26,beta,1,max,1.0,raw,max,0.6164877809384457,0.4401177699527964,20,2,30,2
31,beta,1,max,1.0,raw,max,0.6767963567930949,0.4180092301775568,11,2,30,2
46,beta,1,max,1.0,raw,max,0.6594034830729167,0.4321517334851752,17,2,30,2
18,beta,1,max,1.0,raw,max,0.6267657347532541,0.4387793737887175,18,2,30,2
22,beta,1,max,1.0,raw,max,0.6110498288992814,0.4409139470353164,21,2,30,2
10,beta,1,max,1.0,raw,max,0.625209911422785,0.4325743023216213,20,2,30,2
8,beta,1,max,1.0,raw,max,0.6118541642453121,0.4371033812138364,18,2,30,2
16,beta,1,max,1.0,raw,max,0.6350601451658742,0.4322003494084758,20,2,30,2
48,beta,1,max,1.0,raw,max,0.5984927700764818,0.4480412350659647,24,2,30,2
24,beta,1,max,1.0,raw,max,0.6322831868012591,0.436020033895583,28,2,30,2
40,beta,1,max,1.0,raw,max,0.6421592994799633,0.4249380494293867,12,2,30,2
20,beta,1,max,1.0,raw,max,0.6491998071541121,0.4238364750615297,27,2,30,2
1,beta,1,max,1.0,raw,max,0.6261053395315388,0.4419180004990055,29,2,30,2
32,beta,1,max,1.0,raw,max,0.6159935852740204,0.4429687257796992,18,2,30,2
36,beta,1,max,1.0,raw,max,0.6106836624775583,0.4532213766272707,19,2,30,2
12,beta,1,max,1.0,raw,max,0.6162795949862612,0.4321204922821396,19,2,30,2
44,beta,1,max,1.0,raw,max,0.6168667323147808,0.4343503759800796,20,2,30,2
28,beta,1,max,1.0,raw,max,0.6206650256761337,0.4451241680567058,27,2,30,2
4,beta,1,max,1.0,raw,max,0.6187020478004085,0.4429041672441436,26,2,30,2
25,beta,1,max,1.0,raw,max,0.6083657260773587,0.4383461127334112,25,2,30,2
49,beta,1,max,1.0,raw,max,0.6200412848423295,0.4483462277346143,24,2,30,2
29,beta,1,max,1.0,raw,max,0.6419211582733595,0.4352036222632337,26,2,30,2
33,beta,1,max,1.0,raw,max,0.6110078813518788,0.436772456816223,24,2,30,2
45,beta,1,max,1.0,raw,max,0.6425360432969823,0.4273585754556649,26,2,30,2
17,beta,1,max,1.0,raw,max,0.6256934156378601,0.4477305598604799,22,2,30,2
21,beta,1,max,1.0,raw,max,0.6391245259165613,0.4337259726781535,21,2,30,2
5,beta,1,max,1.0,raw,max,0.6585157911446402,0.4179747928646023,23,2,30,2
41,beta,1,max,1.0,raw,max,0.6240213786559506,0.4401295521053018,28,2,30,2
13,beta,1,max,1.0,raw,max,0.6324005131336171,0.442212406710591,27,2,30,2
37,beta,1,max,1.0,raw,max,0.6341551058536938,0.4386812339864561,27,2,30,2
9,beta,1,max,1.0,raw,max,0.6484675612488432,0.4320411894829337,24,2,30,2
