seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
0,bernoulli,1,16,1.0,raw,2,0.4441179180799228,0.616763855661882,0.4618695098488711,0.7285383455407152
0,bernoulli,1,16,1.0,raw,3,0.4438262027805619,0.6192932615629984,0.4579863553419692,0.7540930633347693
0,bernoulli,1,16,1.0,raw,4,0.446629767720494,0.6414473684210527,0.4285817918489522,0.7806710469625162
0,bernoulli,1,16,1.0,raw,5,0.4473780861274068,0.6472288676236044,0.4359663068489489,0.7563550193881947
0,bernoulli,1,16,1.0,raw,6,0.447741392869719,0.631030701754386,0.4358019744606422,0.7542950236966826
1,bernoulli,1,16,1.0,raw,2,0.4518718986088227,0.6055426716141001,0.5540513702668939,0.6189773168015815
0,bernoulli,1,16,1.0,raw,7,0.4454966214658767,0.625847288676236,0.4555060212734979,0.7580784144765187
40,bernoulli,1,16,1.0,raw,2,0.4424850143707644,0.6351653469958082,0.4427650265763492,0.7827677301361512
32,bernoulli,1,16,1.0,raw,2,0.4480092392856403,0.5820863768527055,0.4256161710968958,0.7894831001213981
8,bernoulli,1,16,1.0,raw,2,0.4526187930214856,0.5904394576905097,0.4317589507022821,0.8660830670926517
28,bernoulli,1,16,1.0,raw,2,0.4360187864915206,0.6406576139215273,0.4057188963987875,0.8332685429948685
4,bernoulli,1,16,1.0,raw,2,0.4555052525074066,0.5158600148920327,0.5272868090370281,0.6392039648477419
36,bernoulli,1,16,1.0,raw,2,0.4497540974295178,0.6075655114116654,0.4544384434836725,0.7505062458908612
12,bernoulli,1,16,1.0,raw,2,0.434937705424606,0.6050065998193733,0.3858007652133237,0.870673811187906
48,bernoulli,1,16,1.0,raw,2,0.4447971172430597,0.6192893401015227,0.4162230713184128,0.8660143210254058
16,bernoulli,1,16,1.0,raw,2,0.441443686459089,0.5807200929152149,0.4528773716383558,0.7355103833364703
20,bernoulli,1,16,1.0,raw,2,0.439821724484173,0.6272575081168832,0.4820097579987278,0.7037009974060136
44,bernoulli,1,16,1.0,raw,2,0.4415570060728367,0.6022435897435898,0.433324833551211,0.7997995489852168
24,bernoulli,1,16,1.0,raw,2,0.4503179784384615,0.5688932824930565,0.4150273040901007,0.8222812001594896
18,bernoulli,1,16,1.0,raw,2,0.4493377859546334,0.5970382104454686,0.453497421201589,0.759466121250262
39,bernoulli,1,16,1.0,raw,2,0.4451315328069892,0.6070507506677719,0.4482515454614041,0.8005399890509132
26,bernoulli,1,16,1.0,raw,2,0.4435710821645098,0.5988451086956521,0.3800761655029722,0.8771755218700558
6,bernoulli,1,16,1.0,raw,2,0.4497278065806311,0.557413059563448,0.4186600289552588,0.8145250973057676
3,bernoulli,1,16,1.0,raw,2,0.4455292492115415,0.6237299643541308,0.4899224432563436,0.702904147678999
35,bernoulli,1,16,1.0,raw,2,0.427061431214614,0.6418489679891237,0.4715316255749861,0.7612377418499866
31,bernoulli,1,16,1.0,raw,2,0.4532591851277414,0.5932030979077564,0.3827003587228685,0.8733536616614564
14,bernoulli,1,16,1.0,raw,2,0.4334152129039552,0.5792914496527778,0.3833491009427154,0.8623580101840972
30,bernoulli,1,16,1.0,raw,2,0.4581790921021687,0.5383889399040914,0.4146934955568834,0.8278817453338453
47,bernoulli,1,16,1.0,raw,2,0.456470128740814,0.5377130681818182,0.4317274222122501,0.7942066580198877
15,bernoulli,1,16,1.0,raw,2,0.4413383904342146,0.6061963145143527,0.4314610552214573,0.7952749556523141
43,bernoulli,1,16,1.0,raw,2,0.4553459590852781,0.6008734854888701,0.3930504458012544,0.8513719512195123
29,bernoulli,1,16,1.0,raw,2,0.435449255707819,0.6228356859745499,0.4536347481664868,0.7526832610184973
22,bernoulli,1,16,1.0,raw,2,0.4439408442636996,0.5841657417684055,0.3844759475144678,0.8572887935437736
10,bernoulli,1,16,1.0,raw,2,0.4464649713526816,0.6288976723759332,0.3816984860963109,0.8724768246507377
46,bernoulli,1,16,1.0,raw,2,0.4418106420987591,0.5990081738437001,0.392788010094048,0.8558375908955749
7,bernoulli,1,16,1.0,raw,2,0.4408435779900289,0.5873189462428308,0.400820524585364,0.8389407061958695
34,bernoulli,1,16,1.0,raw,2,0.4495299049492563,0.5963910461397899,0.3929170123220455,0.862007977722586
41,bernoulli,1,16,1.0,raw,2,0.4473256233318866,0.6022087535634717,0.4309228651453861,0.7988347735009165
2,bernoulli,1,16,1.0,raw,2,0.4430381182358648,0.6021690480289207,0.3825038716799692,0.8605632721970685
37,bernoulli,1,16,1.0,raw,2,0.4463214987689127,0.6130021608308742,0.3995444124729286,0.8397222364577461
42,bernoulli,1,16,1.0,raw,2,0.4418327499111433,0.6100521694872121,0.3994674460404636,0.8355950172276703
19,bernoulli,1,16,1.0,raw,2,0.4278443425925117,0.6385000486050354,0.4595317093199322,0.7217973728703344
27,bernoulli,1,16,1.0,raw,2,0.442607325830435,0.6068272005772006,0.4285527069822116,0.7748394863563403
23,bernoulli,1,16,1.0,raw,2,0.4495812653372326,0.5722856203625435,0.439769037924362,0.8231986830441941
38,bernoulli,1,16,1.0,raw,2,0.4384877430737169,0.5888967325534489,0.3736645642681398,0.8782150205761318
