seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
0,bernoulli,1,32,0.3,raw,2,0.4468870268050291,0.5873026491838373,0.411373348956068,0.8124710603488192
0,bernoulli,1,32,0.3,raw,3,0.4563826009022845,0.5545892427080547,0.4264733699979647,0.8056798888717396
0,bernoulli,1,32,0.3,raw,4,0.4469052491253864,0.5598742306663099,0.416154453234465,0.8007408550702269
0,bernoulli,1,32,0.3,raw,5,0.4459109718542733,0.5880385335830881,0.4183899014374781,0.7939496835931471
0,bernoulli,1,32,0.3,raw,6,0.4460508015228928,0.5794755151190796,0.4156815526247468,0.8039435098008952
2,bernoulli,1,32,0.3,raw,2,0.4354816097062092,0.6150064859698232,0.4008192791659184,0.8804379562043796
1,bernoulli,1,32,0.3,raw,2,0.4516993160283161,0.6929875398435236,0.438936039506801,0.7674937783633435
0,bernoulli,1,32,0.3,raw,7,0.4457008943493561,0.5842922130050844,0.4196234773955393,0.7915187528939651
26,bernoulli,1,32,0.3,raw,2,0.473633441727997,0.5695538057742782,0.3978595281523578,0.8594505494505493
20,bernoulli,1,32,0.3,raw,2,0.4656272184075882,0.521486643437863,0.3876383280733897,0.8639607814865548
24,bernoulli,1,32,0.3,raw,2,0.4721354933954489,0.5472856791943012,0.391315003379,0.8630323924441571
12,bernoulli,1,32,0.3,raw,2,0.4453094214617408,0.61015625,0.4110794213935831,0.8332979175520612
8,bernoulli,1,32,0.3,raw,2,0.4493004600184208,0.6252365107326938,0.3905543072629152,0.8741220368744512
40,bernoulli,1,32,0.3,raw,2,0.4438510638652796,0.5980351170568562,0.4264845507876985,0.8067802755620015
44,bernoulli,1,32,0.3,raw,2,0.4353847458499123,0.6590330788804072,0.4089733322678526,0.8435550935550936
4,bernoulli,1,32,0.3,raw,2,0.450780079144258,0.5998193315266487,0.3757020815372552,0.876551043429216
16,bernoulli,1,32,0.3,raw,2,0.4383456708104933,0.5952977099236642,0.3968420998761062,0.8336559179052698
28,bernoulli,1,32,0.3,raw,2,0.4459137454853581,0.5814185814185815,0.3982104608265321,0.8479122434536448
32,bernoulli,1,32,0.3,raw,2,0.4439026952679751,0.5628258602711157,0.4063435593489959,0.8313704686118478
48,bernoulli,1,32,0.3,raw,2,0.4341368667415154,0.5889176111884404,0.3574489103838254,0.9009656494176618
36,bernoulli,1,32,0.3,raw,2,0.4623951574006811,0.5787037037037037,0.4428048888732186,0.758431031987263
3,bernoulli,1,32,0.3,raw,2,0.4533632408501845,0.5954887218045113,0.501412571872836,0.7161252560725783
15,bernoulli,1,32,0.3,raw,2,0.4466323867526514,0.5620137299771166,0.3916815773513259,0.8580491673275179
11,bernoulli,1,32,0.3,raw,2,0.4335023422804915,0.6329537412339961,0.3575932243147952,0.8976884779516358
19,bernoulli,1,32,0.3,raw,2,0.4451660952913699,0.5897085610200365,0.4125146725963907,0.8794181034482759
42,bernoulli,1,32,0.3,raw,2,0.4447179137583865,0.5758220786846742,0.3742481881112454,0.894273779157887
47,bernoulli,1,32,0.3,raw,2,0.4470194343090706,0.5991602067183462,0.384587493559191,0.8674331972204313
38,bernoulli,1,32,0.3,raw,2,0.4446245702259387,0.5652680652680653,0.3579919781385505,0.902519359473002
43,bernoulli,1,32,0.3,raw,2,0.4543111502060181,0.6062904717853839,0.3382160295688795,0.9154318215835952
23,bernoulli,1,32,0.3,raw,2,0.4444043955623733,0.5873081140350878,0.393428072191499,0.8555829517435718
14,bernoulli,1,32,0.3,raw,2,0.4584672652698891,0.6154741881226551,0.4052290375069181,0.8200155708118055
5,bernoulli,1,32,0.3,raw,2,0.4494024315845507,0.5071043606075454,0.4567702762798999,0.7554438860971524
35,bernoulli,1,32,0.3,raw,2,0.4358945237445611,0.6287640743650169,0.373226362259202,0.8797855497985032
6,bernoulli,1,32,0.3,raw,2,0.4502022467552921,0.5853818420190101,0.4093019398439425,0.8447971781305115
