seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
0,bernoulli,1,max,1.0,raw,2,0.4383292683562773,0.6536421234224767,0.3545260032309281,0.8978210678210677
0,bernoulli,1,max,1.0,raw,3,0.4384769533151359,0.6540460241450483,0.3548253493113315,0.8975472411186697
0,bernoulli,1,max,1.0,raw,4,0.4401882550266804,0.6403010771826898,0.3543381369388661,0.8980450766165052
0,bernoulli,1,max,1.0,raw,5,0.4400295461412126,0.6454757984740768,0.3547885801159022,0.8971019721019721
0,bernoulli,1,max,1.0,raw,6,0.4406844119335847,0.6402449418280272,0.3555326718716632,0.8959334845049132
1,bernoulli,1,max,1.0,raw,2,0.4326149830643609,0.6667653328539141,0.3596799427435,0.8915409539409971
28,bernoulli,1,max,1.0,raw,2,0.4379629342560284,0.6589669710787209,0.358961510163587,0.893043805498167
2,bernoulli,1,max,1.0,raw,2,0.4195794417053389,0.6671191251590723,0.3587102131595835,0.8937755636727102
4,bernoulli,1,max,1.0,raw,2,0.4348630968971984,0.6648237842909974,0.3569235741582741,0.8937801211022779
36,bernoulli,1,max,1.0,raw,2,0.4496803897086115,0.6214132854578096,0.3539210360640331,0.8975533929944
12,bernoulli,1,max,1.0,raw,2,0.4221381144012844,0.6665600180675274,0.3651039992407806,0.8850622520744962
32,bernoulli,1,max,1.0,raw,2,0.4384631046532318,0.6330009761539536,0.3554182750371845,0.897039547464571
40,bernoulli,1,max,1.0,raw,2,0.416915779349703,0.6899293871724279,0.351500092371417,0.901593615842681
48,bernoulli,1,max,1.0,raw,2,0.446073467508386,0.604949659416826,0.3518052322814834,0.9002452147292654
24,bernoulli,1,max,1.0,raw,2,0.4254299429385811,0.6712810702268533,0.366382914534129,0.8851466658412521
44,bernoulli,1,max,1.0,raw,2,0.4286796193425313,0.6488282348645186,0.3579714984030679,0.8949693411970353
20,bernoulli,1,max,1.0,raw,2,0.4115412443460803,0.6913510383104818,0.3594673286919931,0.8939491418116103
16,bernoulli,1,max,1.0,raw,2,0.4234787164314356,0.67856839496869,0.3580660408978228,0.8934635612321564
8,bernoulli,1,max,1.0,raw,2,0.4273430763253266,0.6731828340500543,0.3608965177512822,0.8920211654946739
42,bernoulli,1,max,1.0,raw,2,0.4309476407512859,0.6807354888527554,0.3568857894175055,0.8953750202774298
15,bernoulli,1,max,1.0,raw,2,0.4345054663807033,0.6486661870579431,0.3621197663002393,0.8889021878151787
34,bernoulli,1,max,1.0,raw,2,0.4268055241012327,0.6873563253231165,0.3600747303751999,0.8921251115625439
3,bernoulli,1,max,1.0,raw,2,0.4268905642675466,0.6844748493420244,0.3604282618000711,0.8926639313491854
26,bernoulli,1,max,1.0,raw,2,0.4362652759828637,0.6348847094123511,0.34879658162346,0.904124956201011
31,bernoulli,1,max,1.0,raw,2,0.4077430943735192,0.7321833267162099,0.3585682812125433,0.89398984679974
47,bernoulli,1,max,1.0,raw,2,0.4141280464258358,0.6856544626262271,0.3606156825972597,0.89207033058921
6,bernoulli,1,max,1.0,raw,2,0.438168457803636,0.6224439458658727,0.3548619887226464,0.8985338027023573
43,bernoulli,1,max,1.0,raw,2,0.43485545543908,0.6464091669105748,0.3548300948007908,0.8977950588397219
22,bernoulli,1,max,1.0,raw,2,0.4358315499739086,0.6320252615849812,0.3685310821170532,0.8824287667509477
10,bernoulli,1,max,1.0,raw,2,0.4246856522677817,0.6667105108265045,0.3518329533750801,0.9007200205142784
30,bernoulli,1,max,1.0,raw,2,0.4507776990780396,0.6204913168415792,0.3533273269184782,0.8992211172798081
25,bernoulli,1,max,1.0,raw,2,0.4330160571230965,0.6258158172569344,0.3529176871492538,0.8997090925921388
38,bernoulli,1,max,1.0,raw,2,0.4200207083853444,0.6729277991341482,0.3633548292893959,0.889067997026805
14,bernoulli,1,max,1.0,raw,2,0.4397827268722176,0.6025977438669594,0.3498092804420324,0.9033615546743828
46,bernoulli,1,max,1.0,raw,2,0.4239506170928113,0.6898516486672793,0.3614774653110534,0.8883613944718802
23,bernoulli,1,max,1.0,raw,2,0.4199095081016427,0.6796748174125457,0.3584661185987994,0.8939211386868756
11,bernoulli,1,max,1.0,raw,2,0.4401712272460262,0.6364844908086615,0.3580214053006894,0.8928691328732109
18,bernoulli,1,max,1.0,raw,2,0.4282553474361866,0.683894206190103,0.3672387107687631,0.8839302040524033
19,bernoulli,1,max,1.0,raw,2,0.4224952976540715,0.6701738675190125,0.3626881135997482,0.8881990500813126
41,bernoulli,1,max,1.0,raw,2,0.4314286069454947,0.6703546055874101,0.3659377032441471,0.8858521134578557
13,bernoulli,1,max,1.0,raw,2,0.4330895043562812,0.680696556272044,0.3566785493472636,0.8951116575556478
7,bernoulli,1,max,1.0,raw,2,0.4157894397202833,0.7102736197658934,0.3698518551839642,0.8814648902755232
37,bernoulli,1,max,1.0,raw,2,0.4301968936307457,0.6697562165175116,0.368574586461486,0.8797883665960391
35,bernoulli,1,max,1.0,raw,2,0.4186180632828963,0.7144302402055897,0.3598097369293517,0.8924368466091371
39,bernoulli,1,max,1.0,raw,2,0.4135945933253759,0.7012562918962763,0.3543902584269299,0.9003829168762928
29,bernoulli,1,max,1.0,raw,2,0.4235092053105401,0.69385136177589,0.3614881212820707,0.890523166097137
33,bernoulli,1,max,1.0,raw,2,0.4295750904433257,0.6444320466813999,0.3570602129785019,0.8953474564482062
27,bernoulli,1,max,1.0,raw,2,0.4494614484557678,0.6123867576023789,0.3513963942716758,0.9011967031879086
49,bernoulli,1,max,1.0,raw,2,0.4415554874616549,0.6529194516898098,0.3632393064178505,0.8860209481169055
17,bernoulli,1,max,1.0,raw,2,0.4424303378751272,0.6453285322359397,0.3531578635224554,0.8979837224908374
21,bernoulli,1,max,1.0,raw,2,0.4258756620392441,0.6703673268717516,0.3496535928563696,0.9030654924004976
9,bernoulli,1,max,1.0,raw,2,0.4200482377950173,0.6887779455457601,0.3572816834384995,0.8952745107316203
5,bernoulli,1,max,1.0,raw,2,0.40368646806844,0.7258076310934626,0.3629579849059026,0.8888769122979914
45,bernoulli,1,max,1.0,raw,2,0.4140874927103549,0.7023842757270946,0.3622697057570256,0.8901509859422546
0,bernoulli,1,max,1.0,raw,7,0.4411567556777307,0.6410380248570089,0.3551912796796739,0.8964526214526215
1,bernoulli,1,max,1.0,raw,3,0.4337399554120212,0.6610758680912266,0.359684541327192,0.8914015677658922
28,bernoulli,1,max,1.0,raw,3,0.4390994704622322,0.6588598327699026,0.3600664742675394,0.8922894397742338
2,bernoulli,1,max,1.0,raw,3,0.4216103430054284,0.6654617754394734,0.3614781042659442,0.8906502976097771
4,bernoulli,1,max,1.0,raw,3,0.4363164901889734,0.6674752994425126,0.3606414249388652,0.888835111422334
32,bernoulli,1,max,1.0,raw,3,0.4386124602085604,0.6352635615674243,0.3559428187333786,0.8962425210179714
36,bernoulli,1,max,1.0,raw,3,0.449608691601934,0.622008617594255,0.3530428132483874,0.8984093623037224
12,bernoulli,1,max,1.0,raw,3,0.4240019657105188,0.6652898161423776,0.3654971885625209,0.8843586076984951
40,bernoulli,1,max,1.0,raw,3,0.4183041483582422,0.6827639058835524,0.35147829106906,0.9012948345104556
24,bernoulli,1,max,1.0,raw,3,0.4280720949549929,0.6604085259958753,0.3660031759288448,0.8853476886674028
48,bernoulli,1,max,1.0,raw,3,0.4451887895843109,0.6123987960086041,0.3520012025670349,0.899826796833539
20,bernoulli,1,max,1.0,raw,3,0.4137871204389345,0.688935687660215,0.3584446058757935,0.8949080344135899
44,bernoulli,1,max,1.0,raw,3,0.4295033320307684,0.6479119805123104,0.358251141207595,0.894626279170595
16,bernoulli,1,max,1.0,raw,3,0.4250045832218548,0.6708132290625528,0.3591233284456924,0.8921229663431742
8,bernoulli,1,max,1.0,raw,3,0.429642796358431,0.6596568456531845,0.3595831102604062,0.8935406948409107
