seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,bernoulli,1,max,1.0,raw,max,0.5,0.4579540782388687
1,bernoulli,1,max,1.0,raw,max,0.5,0.4522154327918338
10,bernoulli,1,max,1.0,raw,max,0.5,0.4482077292368241
11,bernoulli,1,max,1.0,raw,max,0.5,0.4593174638852378
12,bernoulli,1,max,1.0,raw,max,0.5,0.4372626239672946
13,bernoulli,1,max,1.0,raw,max,0.5,0.4616671783510992
14,bernoulli,1,max,1.0,raw,max,0.5,0.4441779390226361
15,bernoulli,1,max,1.0,raw,max,0.5,0.4521038948018303
16,bernoulli,1,max,1.0,raw,max,0.5,0.4423210488291421
17,bernoulli,1,max,1.0,raw,max,0.5,0.466452483500705
18,bernoulli,1,max,1.0,raw,max,0.5,0.4470570506890771
19,bernoulli,1,max,1.0,raw,max,0.5,0.4396662047162978
2,bernoulli,1,max,1.0,raw,max,0.5,0.4387192765914829
20,bernoulli,1,max,1.0,raw,max,0.5,0.4311269404875589
21,bernoulli,1,max,1.0,raw,max,0.5,0.444702969387238
22,bernoulli,1,max,1.0,raw,max,0.5,0.4500725634667804
23,bernoulli,1,max,1.0,raw,max,0.5,0.439633311312685
24,bernoulli,1,max,1.0,raw,max,0.5,0.4423689176890994
25,bernoulli,1,max,1.0,raw,max,0.5,0.4441974298256395
26,bernoulli,1,max,1.0,raw,max,0.5,0.4535398885855328
27,bernoulli,1,max,1.0,raw,max,0.5,0.4673669916799804
28,bernoulli,1,max,1.0,raw,max,0.5,0.4578264605375802
29,bernoulli,1,max,1.0,raw,max,0.5,0.4470058336335974
3,bernoulli,1,max,1.0,raw,max,0.5,0.4482061832902791
30,bernoulli,1,max,1.0,raw,max,0.5,0.4641106538802802
31,bernoulli,1,max,1.0,raw,max,0.5,0.4394240645230747
32,bernoulli,1,max,1.0,raw,max,0.5,0.4563184216549677
33,bernoulli,1,max,1.0,raw,max,0.5,0.4463004647098458
34,bernoulli,1,max,1.0,raw,max,0.5,0.4522240165671076
35,bernoulli,1,max,1.0,raw,max,0.5,0.4453538406992354
36,bernoulli,1,max,1.0,raw,max,0.5,0.4741918509079971
37,bernoulli,1,max,1.0,raw,max,0.5,0.4545846318029127
38,bernoulli,1,max,1.0,raw,max,0.5,0.439786860579639
39,bernoulli,1,max,1.0,raw,max,0.5,0.4368857260712093
4,bernoulli,1,max,1.0,raw,max,0.5,0.4589562752421128
40,bernoulli,1,max,1.0,raw,max,0.5,0.4404863883523183
41,bernoulli,1,max,1.0,raw,max,0.5,0.4525523842738767
42,bernoulli,1,max,1.0,raw,max,0.5,0.452832999361051
43,bernoulli,1,max,1.0,raw,max,0.5,0.4503381630747711
44,bernoulli,1,max,1.0,raw,max,0.5,0.4464017028897459
45,bernoulli,1,max,1.0,raw,max,0.5,0.4368235092216679
46,bernoulli,1,max,1.0,raw,max,0.5,0.448801078678686
47,bernoulli,1,max,1.0,raw,max,0.5,0.4351333399825146
48,bernoulli,1,max,1.0,raw,max,0.5,0.4603292525351342
49,bernoulli,1,max,1.0,raw,max,0.5,0.4634049531873611
5,bernoulli,1,max,1.0,raw,max,0.5,0.4324780276951941
6,bernoulli,1,max,1.0,raw,max,0.5,0.4523273385979399
7,bernoulli,1,max,1.0,raw,max,0.5,0.4405665555029436
8,bernoulli,1,max,1.0,raw,max,0.5,0.4459483308820115
9,bernoulli,1,max,1.0,raw,max,0.5,0.4452803416101315
