seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,beta,1,32,0.3,raw,32,0.5,0.4501198231590867
1,beta,1,32,0.3,raw,32,0.5,0.4761609120785081
10,beta,1,32,0.3,raw,32,0.5,0.4623736137963373
11,beta,1,32,0.3,raw,32,0.5,0.4500952421170375
12,beta,1,32,0.3,raw,32,0.5,0.454960852972039
13,beta,1,32,0.3,raw,32,0.5,0.4554093428485594
14,beta,1,32,0.3,raw,32,0.5,0.4666060851857141
15,beta,1,32,0.3,raw,32,0.5,0.4506366411840303
16,beta,1,32,0.3,raw,32,0.5,0.4486669717554318
17,beta,1,32,0.3,raw,32,0.5,0.4472932765359014
18,beta,1,32,0.3,raw,32,0.5,0.4456879555530437
19,beta,1,32,0.3,raw,32,0.5,0.4537016225146801
2,beta,1,32,0.3,raw,32,0.5,0.4416400661495336
20,beta,1,32,0.3,raw,32,0.5,0.4656727235134383
21,beta,1,32,0.3,raw,32,0.5,0.4628771043565319
22,beta,1,32,0.3,raw,32,0.5,0.4487065754071772
23,beta,1,32,0.3,raw,32,0.5,0.4601628696503065
24,beta,1,32,0.3,raw,32,0.5,0.4747772233960867
25,beta,1,32,0.3,raw,32,0.5,0.4418679751009083
26,beta,1,32,0.3,raw,32,0.5,0.4775952265189391
27,beta,1,32,0.3,raw,32,0.5,0.4591169936761822
28,beta,1,32,0.3,raw,32,0.5,0.453143579825588
29,beta,1,32,0.3,raw,32,0.5,0.4576326309834911
3,beta,1,32,0.3,raw,32,0.5,0.4564288970907513
30,beta,1,32,0.3,raw,32,0.5,0.4582413523306018
31,beta,1,32,0.3,raw,32,0.5,0.4494729856800604
32,beta,1,32,0.3,raw,32,0.5,0.4448929366161326
33,beta,1,32,0.3,raw,32,0.5,0.4480401541647328
34,beta,1,32,0.3,raw,32,0.5,0.4565924469762977
35,beta,1,32,0.3,raw,32,0.5,0.4547867558479643
36,beta,1,32,0.3,raw,32,0.5,0.4606355389252493
37,beta,1,32,0.3,raw,32,0.5,0.4495689685472311
38,beta,1,32,0.3,raw,32,0.5,0.4493465573484273
39,beta,1,32,0.3,raw,32,0.5,0.4647280444868432
4,beta,1,32,0.3,raw,32,0.5,0.4583920979396671
40,beta,1,32,0.3,raw,32,0.5,0.4509668090611481
41,beta,1,32,0.3,raw,32,0.5,0.454320776746052
42,beta,1,32,0.3,raw,32,0.5,0.4511478962656948
43,beta,1,32,0.3,raw,32,0.5,0.4564892415954765
44,beta,1,32,0.3,raw,32,0.5,0.449647731785423
45,beta,1,32,0.3,raw,32,0.5,0.4628993971110151
46,beta,1,32,0.3,raw,32,0.5,0.4378575158512106
47,beta,1,32,0.3,raw,32,0.5,0.4605849420994357
48,beta,1,32,0.3,raw,32,0.5,0.4368208484351294
49,beta,1,32,0.3,raw,32,0.5,0.4530348852590247
5,beta,1,32,0.3,raw,32,0.5,0.4460907042444476
6,beta,1,32,0.3,raw,32,0.5,0.4575209154496887
7,beta,1,32,0.3,raw,32,0.5,0.4568522665262126
8,beta,1,32,0.3,raw,32,0.5,0.4613029518333179
9,beta,1,32,0.3,raw,32,0.5,0.4642778526285069
