seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,beta,1,8,1.0,raw,8,0.5,0.4298589191096711
1,beta,1,8,1.0,raw,8,0.5,0.4627530179123693
10,beta,1,8,1.0,raw,8,0.5,0.4606710245594074
11,beta,1,8,1.0,raw,8,0.5,0.4642676622423529
12,beta,1,8,1.0,raw,8,0.5,0.4553193856728625
13,beta,1,8,1.0,raw,8,0.5,0.4387373117095718
14,beta,1,8,1.0,raw,8,0.5,0.4231294067130801
15,beta,1,8,1.0,raw,8,0.5,0.4484917438410593
16,beta,1,8,1.0,raw,8,0.5,0.4506319621919939
17,beta,1,8,1.0,raw,8,0.5,0.4626147417839535
18,beta,1,8,1.0,raw,8,0.5,0.4661750322570315
19,beta,1,8,1.0,raw,8,0.5,0.4328067958194243
2,beta,1,8,1.0,raw,8,0.5,0.4516395852842902
20,beta,1,8,1.0,raw,8,0.5,0.4651379015208921
21,beta,1,8,1.0,raw,8,0.5,0.4538465214364753
22,beta,1,8,1.0,raw,8,0.5,0.4540173031969277
23,beta,1,8,1.0,raw,8,0.5,0.455207184267085
24,beta,1,8,1.0,raw,8,0.5,0.4549580689905855
25,beta,1,8,1.0,raw,8,0.5,0.4464768696952643
26,beta,1,8,1.0,raw,8,0.5,0.4511898747276106
27,beta,1,8,1.0,raw,8,0.5,0.4595279315775489
28,beta,1,8,1.0,raw,8,0.5,0.4401819416222212
29,beta,1,8,1.0,raw,8,0.5,0.4435298272728703
3,beta,1,8,1.0,raw,8,0.5,0.4363296727329763
30,beta,1,8,1.0,raw,8,0.5,0.4558038123623745
31,beta,1,8,1.0,raw,8,0.5,0.4581990605244773
32,beta,1,8,1.0,raw,8,0.5,0.4271506415416227
33,beta,1,8,1.0,raw,8,0.5,0.4407898472782868
34,beta,1,8,1.0,raw,8,0.5,0.4560318477555856
35,beta,1,8,1.0,raw,8,0.5,0.448485530713431
36,beta,1,8,1.0,raw,8,0.5,0.4605464569685238
37,beta,1,8,1.0,raw,8,0.5,0.4643009767538917
38,beta,1,8,1.0,raw,8,0.5,0.4254491017960555
39,beta,1,8,1.0,raw,8,0.5,0.4573180773964377
4,beta,1,8,1.0,raw,8,0.5,0.4632960286605673
40,beta,1,8,1.0,raw,8,0.5,0.4582030118273817
41,beta,1,8,1.0,raw,8,0.5,0.4415367406200908
42,beta,1,8,1.0,raw,8,0.5,0.4614053873066341
43,beta,1,8,1.0,raw,8,0.5,0.4563615897639474
44,beta,1,8,1.0,raw,8,0.5,0.4590446270293251
45,beta,1,8,1.0,raw,8,0.5,0.4577773923725035
46,beta,1,8,1.0,raw,8,0.5,0.4515948934056845
47,beta,1,8,1.0,raw,8,0.5,0.4642605047665449
48,beta,1,8,1.0,raw,8,0.5,0.4538561906638844
49,beta,1,8,1.0,raw,8,0.5,0.4573405270842497
5,beta,1,8,1.0,raw,8,0.5,0.4511042457524943
6,beta,1,8,1.0,raw,8,0.5,0.4645352822701996
7,beta,1,8,1.0,raw,8,0.5,0.4411585121029233
8,beta,1,8,1.0,raw,8,0.5,0.4593878899926188
9,beta,1,8,1.0,raw,8,0.5,0.4624825139219792
