seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
35,beta,54,none,1.0,raw,54,0.5,0.2641395659539723
19,beta,54,none,1.0,raw,54,0.5,0.2603054890140719
18,beta,54,none,1.0,raw,54,0.5,0.252771114290939
31,beta,54,none,1.0,raw,54,0.5,0.2531002750801421
2,beta,54,none,1.0,raw,54,0.5,0.2495620960358432
15,beta,54,none,1.0,raw,54,0.5,0.2717116111576571
11,beta,54,none,1.0,raw,54,0.5,0.2601588292036993
27,beta,54,none,1.0,raw,54,0.5,0.2628555518187883
47,beta,54,none,1.0,raw,54,0.5,0.244301186216428
3,beta,54,none,1.0,raw,54,0.5,0.2600613681646652
30,beta,54,none,1.0,raw,54,0.5,0.2555378502535331
14,beta,54,none,1.0,raw,54,0.5,0.2685810422970259
7,beta,54,none,1.0,raw,54,0.5,0.2606414142992545
6,beta,54,none,1.0,raw,54,0.5,0.2747260658349709
42,beta,54,none,1.0,raw,54,0.5,0.2542277574731195
39,beta,54,none,1.0,raw,54,0.5,0.2836646824132109
23,beta,54,none,1.0,raw,54,0.5,0.2748753888481758
43,beta,54,none,1.0,raw,54,0.5,0.2788020331952037
26,beta,54,none,1.0,raw,54,0.5,0.270311608064977
10,beta,54,none,1.0,raw,54,0.5,0.2711055500199741
38,beta,54,none,1.0,raw,54,0.5,0.2764934480530646
34,beta,54,none,1.0,raw,54,0.5,0.2561244901463063
22,beta,54,none,1.0,raw,54,0.5,0.2837419185874003
46,beta,54,none,1.0,raw,54,0.5,0.2624517538374725
0,beta,54,none,1.0,raw,54,0.5,0.281572739545136
8,beta,54,none,1.0,raw,54,0.5,0.2638855809846538
4,beta,54,none,1.0,raw,54,0.5,0.2610414052572765
44,beta,54,none,1.0,raw,54,0.5,0.2454320928907148
16,beta,54,none,1.0,raw,54,0.5,0.2756864568525844
48,beta,54,none,1.0,raw,54,0.5,0.2498031228428828
20,beta,54,none,1.0,raw,54,0.5,0.2628800830739616
1,beta,54,none,1.0,raw,54,0.5,0.2785951027486996
32,beta,54,none,1.0,raw,54,0.5,0.2565291715759179
12,beta,54,none,1.0,raw,54,0.5,0.2597641048530327
28,beta,54,none,1.0,raw,54,0.5,0.2926307635963882
25,beta,54,none,1.0,raw,54,0.5,0.2845510566600645
17,beta,54,none,1.0,raw,54,0.5,0.2637836925627149
40,beta,54,none,1.0,raw,54,0.5,0.2685871728842996
36,beta,54,none,1.0,raw,54,0.5,0.2630909489506219
24,beta,54,none,1.0,raw,54,0.5,0.2900763593641032
5,beta,54,none,1.0,raw,54,0.5,0.2616193070017826
45,beta,54,none,1.0,raw,54,0.5,0.2788619810388606
49,beta,54,none,1.0,raw,54,0.5,0.2582229900942229
21,beta,54,none,1.0,raw,54,0.5,0.257452525628104
9,beta,54,none,1.0,raw,54,0.5,0.2573521289492059
13,beta,54,none,1.0,raw,54,0.5,0.2576909067500987
41,beta,54,none,1.0,raw,54,0.5,0.2522182548186293
29,beta,54,none,1.0,raw,54,0.5,0.2810209321620384
33,beta,54,none,1.0,raw,54,0.5,0.2870289956026625
37,beta,54,none,1.0,raw,54,0.5,0.2671380845044079
