seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
0,bernoulli,1,8,1.0,pca,8,0.6178588125292193,0.5538503212394998
1,bernoulli,1,8,1.0,pca,8,0.5405405405405406,0.5329053277734888
10,bernoulli,1,8,1.0,pca,8,0.5544435177462701,0.6129340871811395
11,bernoulli,1,8,1.0,pca,8,0.5732877362971407,0.4962278169915519
12,bernoulli,1,8,1.0,pca,8,0.4938031816500184,0.5685930066838952
13,bernoulli,1,8,1.0,pca,8,0.5385044642857143,0.543584433374613
14,bernoulli,1,8,1.0,pca,8,0.5028919330289193,0.4620288762640198
15,bernoulli,1,8,1.0,pca,8,0.5690207156308851,0.5356263094143792
16,bernoulli,1,8,1.0,pca,8,0.5516765285996055,0.4797284695901355
17,bernoulli,1,8,1.0,pca,8,0.5896721463731773,0.5643347381729031
18,bernoulli,1,8,1.0,pca,8,0.5721351250466592,0.5492011869180861
19,bernoulli,1,8,1.0,pca,8,0.5383676152906922,0.5263622616340999
2,bernoulli,1,8,1.0,pca,8,0.4943614457831324,0.4847707516063324
20,bernoulli,1,8,1.0,pca,8,0.5391705069124424,0.5159123227072073
21,bernoulli,1,8,1.0,pca,8,0.595337605646884,0.5628000095131555
22,bernoulli,1,8,1.0,pca,8,0.5995190529041805,0.5853951041797233
23,bernoulli,1,8,1.0,pca,8,0.5709209911173445,0.5204768645800062
24,bernoulli,1,8,1.0,pca,8,0.5343618513323983,0.5607115075126736
25,bernoulli,1,8,1.0,pca,8,0.51953125,0.4679512689347237
26,bernoulli,1,8,1.0,pca,8,0.5237068965517241,0.5455654541330706
27,bernoulli,1,8,1.0,pca,8,0.5100028176951255,0.52866086014561
28,bernoulli,1,8,1.0,pca,8,0.5386896487813919,0.57895852906932
29,bernoulli,1,8,1.0,pca,8,0.5340689121176927,0.482055014916314
3,bernoulli,1,8,1.0,pca,8,0.4768922305764411,0.473423201593707
30,bernoulli,1,8,1.0,pca,8,0.5933339627986026,0.5341807196291588
31,bernoulli,1,8,1.0,pca,8,0.5543599257884972,0.5527641638826445
32,bernoulli,1,8,1.0,pca,8,0.5294117647058824,0.5121070611524648
33,bernoulli,1,8,1.0,pca,8,0.5867861142217246,0.5440046733469638
34,bernoulli,1,8,1.0,pca,8,0.4937779044362116,0.5046915249029231
35,bernoulli,1,8,1.0,pca,8,0.546590909090909,0.4688111424306303
36,bernoulli,1,8,1.0,pca,8,0.5618701007838746,0.6251622466257625
37,bernoulli,1,8,1.0,pca,8,0.5329246772545742,0.5779940740436643
38,bernoulli,1,8,1.0,pca,8,0.6008986928104575,0.4527898897590335
39,bernoulli,1,8,1.0,pca,8,0.603023516237402,0.5290975441679758
4,bernoulli,1,8,1.0,pca,8,0.6304578313253012,0.5050630524430135
40,bernoulli,1,8,1.0,pca,8,0.5040128410914928,0.531887681498336
41,bernoulli,1,8,1.0,pca,8,0.6012155212716223,0.5362687624692313
42,bernoulli,1,8,1.0,pca,8,0.5764614789005034,0.4774307408958614
43,bernoulli,1,8,1.0,pca,8,0.5775894538606402,0.4980016650455476
44,bernoulli,1,8,1.0,pca,8,0.5801987554564874,0.5651239546960429
45,bernoulli,1,8,1.0,pca,8,0.4994444444444444,0.5455480006923477
46,bernoulli,1,8,1.0,pca,8,0.5471644343117698,0.5022456582082528
47,bernoulli,1,8,1.0,pca,8,0.59130859375,0.4947577682394141
48,bernoulli,1,8,1.0,pca,8,0.5100546751922899,0.5612500926911888
49,bernoulli,1,8,1.0,pca,8,0.5856109702263548,0.5399330683571694
5,bernoulli,1,8,1.0,pca,8,0.5841924398625429,0.5385091955060394
6,bernoulli,1,8,1.0,pca,8,0.5394202624870172,0.5306263516771693
7,bernoulli,1,8,1.0,pca,8,0.5169775227164035,0.5109768505283719
8,bernoulli,1,8,1.0,pca,8,0.4891518737672584,0.5397992282731885
9,bernoulli,1,8,1.0,pca,8,0.540226574500768,0.485060007497633
