seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_rasch,rmse_rasch
0,bernoulli,1,64,1.0,raw,64,0.6108701273465316,0.4683669909700338
1,bernoulli,1,64,1.0,raw,64,0.5997085393509053,0.5248599580906494
10,bernoulli,1,64,1.0,raw,64,0.6120900372189618,0.5009486616370152
11,bernoulli,1,64,1.0,raw,64,0.6132284125547723,0.4671845681599255
12,bernoulli,1,64,1.0,raw,64,0.5940488285593438,0.4912144412452311
13,bernoulli,1,64,1.0,raw,64,0.5753895972475207,0.6304028397418098
14,bernoulli,1,64,1.0,raw,64,0.5822285822285822,0.4474557530782564
15,bernoulli,1,64,1.0,raw,64,0.6224860843666797,0.525790236284343
16,bernoulli,1,64,1.0,raw,64,0.634749239136474,0.4330070237499688
17,bernoulli,1,64,1.0,raw,64,0.601688200384858,0.5454891355972842
18,bernoulli,1,64,1.0,raw,64,0.6123784050051331,0.4572080286596802
19,bernoulli,1,64,1.0,raw,64,0.5944434592973515,0.4485342200576975
2,bernoulli,1,64,1.0,raw,64,0.5837930824503714,0.4591029561850183
20,bernoulli,1,64,1.0,raw,64,0.6207009618187117,0.4466980743960637
21,bernoulli,1,64,1.0,raw,64,0.6562177139100216,0.5829060783633433
22,bernoulli,1,64,1.0,raw,64,0.6301022182045755,0.4939343470468329
23,bernoulli,1,64,1.0,raw,64,0.6228908402203858,0.4634889044004555
24,bernoulli,1,64,1.0,raw,64,0.6286887163173652,0.4561689017346426
25,bernoulli,1,64,1.0,raw,64,0.6319780236231082,0.4584716855378264
26,bernoulli,1,64,1.0,raw,64,0.5761788170726659,0.6061568503245329
27,bernoulli,1,64,1.0,raw,64,0.594296470067194,0.5842279289934502
28,bernoulli,1,64,1.0,raw,64,0.6135631903446963,0.4946875881019075
29,bernoulli,1,64,1.0,raw,64,0.6205406704674343,0.4933105402295806
3,bernoulli,1,64,1.0,raw,64,0.6017479488128303,0.4441354487913486
30,bernoulli,1,64,1.0,raw,64,0.6139251301790002,0.5142167251347677
31,bernoulli,1,64,1.0,raw,64,0.5941519805888362,0.5747233917578222
32,bernoulli,1,64,1.0,raw,64,0.5879991261786256,0.5361582987969035
33,bernoulli,1,64,1.0,raw,64,0.6111014927807674,0.460819261547603
34,bernoulli,1,64,1.0,raw,64,0.5935619107260898,0.458094249125242
35,bernoulli,1,64,1.0,raw,64,0.6246151092015754,0.4810047106660891
36,bernoulli,1,64,1.0,raw,64,0.6073694147903232,0.4835648529589115
37,bernoulli,1,64,1.0,raw,64,0.5925087260034905,0.4990857677016053
38,bernoulli,1,64,1.0,raw,64,0.625783170811048,0.5156395361036245
39,bernoulli,1,64,1.0,raw,64,0.6326340795496477,0.4388018041170252
4,bernoulli,1,64,1.0,raw,64,0.6070359212407199,0.4925624539380487
40,bernoulli,1,64,1.0,raw,64,0.6077027446749383,0.4727740022879237
41,bernoulli,1,64,1.0,raw,64,0.6436482435513112,0.5223627015925579
42,bernoulli,1,64,1.0,raw,64,0.6320416606532928,0.4449114080710035
43,bernoulli,1,64,1.0,raw,64,0.611702056150152,0.5968830867039774
44,bernoulli,1,64,1.0,raw,64,0.611297860733926,0.482209765179183
45,bernoulli,1,64,1.0,raw,64,0.6342149104539776,0.4377911824843661
46,bernoulli,1,64,1.0,raw,64,0.6105305379871502,0.5683107912463093
47,bernoulli,1,64,1.0,raw,64,0.6088499106929932,0.4779426258052237
48,bernoulli,1,64,1.0,raw,64,0.6064337161767568,0.5044711591153461
49,bernoulli,1,64,1.0,raw,64,0.6053270712367105,0.4842202646995603
5,bernoulli,1,64,1.0,raw,64,0.6335408053499916,0.4346647181461157
6,bernoulli,1,64,1.0,raw,64,0.6088955780374276,0.4492131937761429
7,bernoulli,1,64,1.0,raw,64,0.6278127873337669,0.4456772565230223
8,bernoulli,1,64,1.0,raw,64,0.623116083836751,0.4697087338052003
9,bernoulli,1,64,1.0,raw,64,0.6205190428041794,0.4871096172806322
