n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,bernoulli,0,0.002,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,6976,0.474447513184697,0.6062501594645392,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5070935487747192, 0.5073124766349792, 0.5073122978210449, 0.505379855632782, 0.5073944330215454, 0.5098234415054321, 0.5075713396072388, 0.5079464316368103, 0.5119105577468872, 0.5094069242477417, 0.5086040496826172, 0.5107927322387695, 0.5066256523132324, 0.5105289816856384, 0.5105264782905579, 0.5102428197860718, 0.5088657736778259, 0.509770393371582, 0.5104626417160034, 0.5105817317962646, 0.5065865516662598, 0.5067039728164673, 0.5099098086357117, 0.5073142051696777, 0.5115190744400024, 0.5073902606964111, 0.5071696043014526, 0.5085253715515137, 0.5109207630157471, 0.5092412829399109]",pca,286,Pre-32
1,bernoulli,28,0.002,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,6792,0.4519587009517881,0.701519495412844,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4931873083114624, 0.4967862367630005, 0.4933393895626068, 0.4970152676105499, 0.49581220746040344, 0.49577486515045166, 0.49708446860313416, 0.4960130453109741, 0.49576812982559204, 0.49702152609825134, 0.4902627766132355, 0.49213436245918274, 0.4954288899898529, 0.49742573499679565, 0.49915221333503723, 0.493946373462677, 0.49476760625839233, 0.49435511231422424, 0.49982279539108276, 0.49587133526802063, 0.4975147247314453, 0.4975898861885071, 0.4953189194202423, 0.4923263490200043, 0.4967668652534485, 0.4983626902103424, 0.49385079741477966, 0.49622419476509094, 0.49689117074012756, 0.4973459839820862]",pca,286,Pre-32
1,bernoulli,6,0.004,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,6834,0.4171726095563957,0.759889455782313,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4252631366252899, 0.4270966947078705, 0.42481160163879395, 0.4270015060901642, 0.42398160696029663, 0.4234933853149414, 0.4280588924884796, 0.4241155982017517, 0.4238160252571106, 0.4308598041534424, 0.42964285612106323, 0.4237118661403656, 0.4298514425754547, 0.4256384074687958, 0.42385923862457275, 0.43031612038612366, 0.42385151982307434, 0.4250811040401459, 0.4301840662956238, 0.42119157314300537, 0.42730700969696045, 0.43133148550987244, 0.43374016880989075, 0.4252965450286865, 0.42292216420173645, 0.42519548535346985, 0.4254225492477417, 0.42477667331695557, 0.4240509271621704, 0.4297376573085785]",pca,286,Pre-32
1,bernoulli,42,0.002,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,7060,0.4718400354884045,0.6192665250763842,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5067659020423889, 0.5051822066307068, 0.507759690284729, 0.5097801685333252, 0.5061296224594116, 0.5073915123939514, 0.5073305368423462, 0.5086078643798828, 0.5082160234451294, 0.51115483045578, 0.5102601051330566, 0.5099882483482361, 0.5083096623420715, 0.510678231716156, 0.5083430409431458, 0.5071166753768921, 0.5080801844596863, 0.5073123574256897, 0.5102138519287109, 0.5061416625976562, 0.5068947672843933, 0.5096983909606934, 0.5065174698829651, 0.5102372169494629, 0.5074745416641235, 0.5084553956985474, 0.5087460279464722, 0.5068104863166809, 0.5087026953697205, 0.5096768736839294]",pca,286,Pre-32
1,bernoulli,14,0.002,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,6810,0.4926224406528464,0.6095364513266737,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4920264184474945, 0.48964792490005493, 0.49646472930908203, 0.4965633749961853, 0.4906628727912903, 0.49423378705978394, 0.4923972487449646, 0.4936419725418091, 0.4930207431316376, 0.4943082928657532, 0.4944225251674652, 0.4933229982852936, 0.4911797046661377, 0.49129244685173035, 0.49266648292541504, 0.4916762411594391, 0.4937315881252289, 0.4932614862918854, 0.4990183115005493, 0.49531176686286926, 0.49143850803375244, 0.5004147887229919, 0.49364957213401794, 0.5002005696296692, 0.4920242726802826, 0.4933462142944336, 0.49368616938591003, 0.4926159977912903, 0.4953017830848694, 0.491725355386734]",pca,286,Pre-32
1,bernoulli,34,0.004,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,7498,0.4507983259011301,0.7047649670800796,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.43271422386169434, 0.4342831075191498, 0.43819954991340637, 0.4332146644592285, 0.4369986951351166, 0.436846524477005, 0.4354100823402405, 0.4315173029899597, 0.43745097517967224, 0.4401204288005829, 0.4365285336971283, 0.44167694449424744, 0.4393261671066284, 0.4316062331199646, 0.43241164088249207, 0.440078467130661, 0.43067577481269836, 0.43413591384887695, 0.4342297613620758, 0.4326920807361603, 0.43289387226104736, 0.4381908178329468, 0.4353407919406891, 0.4369365870952606, 0.4337015450000763, 0.43193483352661133, 0.4355418086051941, 0.4424807131290436, 0.43717098236083984, 0.4361805021762848]",pca,286,Pre-32
1,bernoulli,20,0.004,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,6938,0.4606848525417727,0.7209518970189702,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4261021316051483, 0.4278658330440521, 0.42541101574897766, 0.42174848914146423, 0.4242098927497864, 0.4273883104324341, 0.42221933603286743, 0.4262799024581909, 0.4215320646762848, 0.4222911298274994, 0.4194149672985077, 0.42301416397094727, 0.4247383177280426, 0.42360830307006836, 0.4243328273296356, 0.42367562651634216, 0.4214751422405243, 0.41819480061531067, 0.42526379227638245, 0.4204652011394501, 0.4263104200363159, 0.4211423695087433, 0.4233109652996063, 0.4228084683418274, 0.42495301365852356, 0.4270983338356018, 0.4245089888572693, 0.42728951573371887, 0.42606720328330994, 0.42334237694740295]",pca,286,Pre-32
1,bernoulli,48,0.004,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,6702,0.4260784127105286,0.7763532763532763,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.45133456587791443, 0.45049482583999634, 0.45082077383995056, 0.45312803983688354, 0.4504653513431549, 0.45332831144332886, 0.4559187889099121, 0.4544371962547302, 0.45014718174934387, 0.4499301612377167, 0.45197054743766785, 0.45841577649116516, 0.4491201937198639, 0.453474760055542, 0.4531778395175934, 0.45481979846954346, 0.45037028193473816, 0.45230355858802795, 0.4519445598125458, 0.4511437714099884, 0.4507944881916046, 0.4502565264701843, 0.45068222284317017, 0.45064398646354675, 0.4514431953430176, 0.4539549648761749, 0.451741099357605, 0.449068546295166, 0.45453572273254395, 0.4517223536968231]",pca,286,Pre-32
1,bernoulli,29,0.002,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,6952,0.3994633427370126,0.7562899755027885,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5042716860771179, 0.5043612718582153, 0.5062912702560425, 0.5096243619918823, 0.5071243643760681, 0.5081614255905151, 0.5068406462669373, 0.5096939206123352, 0.5035898089408875, 0.508253812789917, 0.5068088173866272, 0.5075992941856384, 0.5061437487602234, 0.5034046173095703, 0.5057137608528137, 0.505801260471344, 0.5063394904136658, 0.5045145750045776, 0.505304217338562, 0.5107842087745667, 0.5059683322906494, 0.5061027407646179, 0.502842366695404, 0.5102936029434204, 0.5093350410461426, 0.5082305073738098, 0.5109609365463257, 0.5101523399353027, 0.5087024569511414, 0.504147469997406]",pca,286,Pre-32
1,bernoulli,15,0.002,train_items_only_refit_v1,train_items_only,290,transport_binary_strength,1,32.0,7008,0.441487060171483,0.6292892561983472,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5152187943458557, 0.5150642991065979, 0.5182607769966125, 0.5121873617172241, 0.5141099691390991, 0.5136852860450745, 0.5142227411270142, 0.512938916683197, 0.5139713287353516, 0.5093637108802795, 0.5121356844902039, 0.5115519165992737, 0.5107335448265076, 0.5157356262207031, 0.510911226272583, 0.5108308792114258, 0.5125556588172913, 0.5124686360359192, 0.5130040049552917, 0.5126133561134338, 0.5109403133392334, 0.5106657147407532, 0.514464259147644, 0.5122665166854858, 0.5093100666999817, 0.5128055810928345, 0.5080376863479614, 0.5139161944389343, 0.5140168070793152, 0.5115844011306763]",pca,286,Pre-32
