n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,34,0.004,0.437776937708167,0.6202239203838635,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5113881230354309, 0.5113567113876343, 0.5128806829452515, 0.5090243220329285, 0.509152889251709, 0.5128116607666016, 0.5128387808799744, 0.5121232271194458, 0.5124865770339966, 0.5090723633766174, 0.50930255651474, 0.5129768252372742, 0.5125508308410645, 0.5124650597572327, 0.5123897194862366, 0.5118728876113892, 0.5123005509376526, 0.5121667981147766, 0.5109900832176208, 0.5119357109069824, 0.5124586224555969, 0.5102776288986206, 0.5112394094467163, 0.5120705366134644, 0.5124224424362183, 0.5115720629692078, 0.5103744864463806, 0.5119853019714355, 0.5104037523269653, 0.5130419731140137]",pca,Pre-32
1,bernoulli,6,0.004,0.4252002321518527,0.6070126227208976,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5097629427909851, 0.5088977813720703, 0.5100466012954712, 0.5092979669570923, 0.5096827745437622, 0.5089940428733826, 0.5094818472862244, 0.5097055435180664, 0.5093367695808411, 0.5098748207092285, 0.5084607601165771, 0.5100682377815247, 0.5100873112678528, 0.5097180604934692, 0.5090439915657043, 0.509498119354248, 0.5094044208526611, 0.5099626183509827, 0.5098597407341003, 0.5098351240158081, 0.5088503360748291, 0.510019838809967, 0.509850263595581, 0.5086255669593811, 0.5086191296577454, 0.5093944668769836, 0.5095033645629883, 0.5095988512039185, 0.5086287260055542, 0.5100018978118896]",pca,Pre-32
1,bernoulli,40,0.005,0.452838478264605,0.646793546201208,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5083367824554443, 0.5080760717391968, 0.5090473294258118, 0.5088355541229248, 0.508685290813446, 0.5074125528335571, 0.5094094276428223, 0.509387195110321, 0.5089143514633179, 0.5084782242774963, 0.5071795582771301, 0.5095513463020325, 0.5095270276069641, 0.5091149806976318, 0.5092369318008423, 0.508735179901123, 0.5101353526115417, 0.509009599685669, 0.5091557502746582, 0.5083280801773071, 0.5069512128829956, 0.5085489153862, 0.5084248185157776, 0.5093255639076233, 0.5086044669151306, 0.5084882378578186, 0.5096514821052551, 0.5093458890914917, 0.5092989802360535, 0.5097700357437134]",pca,Pre-32
1,bernoulli,24,0.008,0.4120273779700525,0.6900842934809716,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5102070569992065, 0.5074164867401123, 0.5098921656608582, 0.5100950002670288, 0.5092570781707764, 0.5077488422393799, 0.5072908997535706, 0.5084040760993958, 0.5095298886299133, 0.5102862119674683, 0.5088127255439758, 0.5093972682952881, 0.5074677467346191, 0.5088135600090027, 0.5099784731864929, 0.5091907382011414, 0.5108550190925598, 0.5079590082168579, 0.5098965167999268, 0.5095653533935547, 0.5089987516403198, 0.5068495273590088, 0.5079910755157471, 0.5074897408485413, 0.5078922510147095, 0.5087134838104248, 0.50921630859375, 0.5099188685417175, 0.510660707950592, 0.507453978061676]",pca,Pre-32
1,bernoulli,30,0.01,0.4150059047244435,0.729621138996139,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5096837878227234, 0.5076692700386047, 0.5083067417144775, 0.5088422298431396, 0.5102425217628479, 0.509709358215332, 0.5084682106971741, 0.5100311636924744, 0.5099136233329773, 0.508875846862793, 0.5072978138923645, 0.5092923641204834, 0.5089857578277588, 0.5097782611846924, 0.5094835758209229, 0.5099421739578247, 0.5084027051925659, 0.5090227127075195, 0.510050892829895, 0.5077840089797974, 0.5107812285423279, 0.5083168745040894, 0.5102035403251648, 0.5085504651069641, 0.5082822442054749, 0.5102015137672424, 0.5091642737388611, 0.5102236866950989, 0.5074213147163391, 0.5092119574546814]",pca,Pre-32
1,bernoulli,7,0.004,0.4303431104301125,0.6822672064777329,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5092989206314087, 0.5091304183006287, 0.5095765590667725, 0.5099486708641052, 0.5084774494171143, 0.5068351626396179, 0.5098345279693604, 0.5094443559646606, 0.5081118941307068, 0.5075095295906067, 0.50775146484375, 0.5080721378326416, 0.5098708271980286, 0.5084111094474792, 0.5095070600509644, 0.5095569491386414, 0.5069383978843689, 0.5095899105072021, 0.5084791779518127, 0.5083895921707153, 0.5096842050552368, 0.5094757676124573, 0.5082418918609619, 0.5096406936645508, 0.5088022351264954, 0.5090831518173218, 0.5081636905670166, 0.5073922276496887, 0.5097574591636658, 0.509595513343811]",pca,Pre-32
1,bernoulli,41,0.005,0.3963214934320806,0.7654178607208593,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5063320398330688, 0.5085020661354065, 0.5072992444038391, 0.5086084008216858, 0.5087994337081909, 0.5080330967903137, 0.5065522193908691, 0.5084654092788696, 0.5072718262672424, 0.5083597302436829, 0.5081713199615479, 0.50904780626297, 0.507989764213562, 0.5086441040039062, 0.5081682205200195, 0.5082257390022278, 0.5072901844978333, 0.5083879232406616, 0.5062696933746338, 0.5082452893257141, 0.5084473490715027, 0.5087392330169678, 0.5085682272911072, 0.5083960890769958, 0.5068960785865784, 0.5071945190429688, 0.508514404296875, 0.5067111849784851, 0.5081678628921509, 0.5090547800064087]",pca,Pre-32
1,bernoulli,35,0.004,0.4173600764992589,0.6483292792216107,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5077471137046814, 0.5094043612480164, 0.5103755593299866, 0.5073631405830383, 0.5101479291915894, 0.5080528855323792, 0.5110412836074829, 0.5108761191368103, 0.5106809139251709, 0.5096033811569214, 0.5106949210166931, 0.5110323429107666, 0.5094966888427734, 0.5106717348098755, 0.5101501941680908, 0.510618269443512, 0.5079710483551025, 0.5102094411849976, 0.506988525390625, 0.5099628567695618, 0.5105124711990356, 0.5106846690177917, 0.5099750757217407, 0.5109927654266357, 0.5108708143234253, 0.5095638036727905, 0.5112096071243286, 0.5102425813674927, 0.5075628161430359, 0.5104402899742126]",pca,Pre-32
1,bernoulli,25,0.008,0.4093738541332253,0.724668370451503,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5091926455497742, 0.5071273446083069, 0.5074798464775085, 0.5086469054222107, 0.5070838332176208, 0.5095330476760864, 0.5094758868217468, 0.509284257888794, 0.5085210204124451, 0.5074624419212341, 0.508385181427002, 0.5092931389808655, 0.5089762210845947, 0.5088022351264954, 0.5096868276596069, 0.5095660090446472, 0.5092895030975342, 0.5081449151039124, 0.5092625021934509, 0.5079985857009888, 0.5086821913719177, 0.5077615976333618, 0.5097651481628418, 0.5076617002487183, 0.5085026621818542, 0.5092769861221313, 0.5079429149627686, 0.5088759660720825, 0.5083025097846985, 0.5093048810958862]",pca,Pre-32
1,bernoulli,36,0.012,0.4309789323979309,0.6627858627858628,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5094848871231079, 0.5089514255523682, 0.5100685954093933, 0.5092855095863342, 0.5088809728622437, 0.5084050297737122, 0.5091478824615479, 0.5079231262207031, 0.5086290240287781, 0.5086220502853394, 0.5085846781730652, 0.5080658197402954, 0.5095078945159912, 0.5091625452041626, 0.5089611411094666, 0.5093032121658325, 0.5097344517707825, 0.5091213583946228, 0.5096517205238342, 0.5094962120056152, 0.5093545317649841, 0.5087223649024963, 0.5098757743835449, 0.509357213973999, 0.5099936723709106, 0.5088814496994019, 0.5092010498046875, 0.509236752986908, 0.5099133849143982, 0.5093071460723877]",pca,Pre-32
