n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,bernoulli,28,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23472,0.4488669137154653,0.7091467815045588,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.46968671679496765, 0.4707234799861908, 0.4699510931968689, 0.46984371542930603, 0.4683910012245178, 0.47004401683807373, 0.4703311622142792, 0.4749514162540436, 0.47103339433670044, 0.47200703620910645, 0.47124412655830383, 0.4695277512073517, 0.47170522809028625, 0.46992769837379456, 0.4704078435897827, 0.46954065561294556, 0.47400474548339844, 0.4718216061592102, 0.47211146354675293, 0.4698858857154846, 0.47045454382896423, 0.4733804166316986, 0.4719104766845703, 0.4695054888725281, 0.47292596101760864, 0.4716412425041199, 0.46935635805130005, 0.46996453404426575, 0.4702991247177124, 0.4709155559539795]",pca,286,Pre-4
1,bernoulli,14,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23590,0.4499170763382822,0.6412260450100418,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4815792739391327, 0.4825417995452881, 0.4831162691116333, 0.4824865460395813, 0.48115602135658264, 0.48099467158317566, 0.479423850774765, 0.48498833179473877, 0.4829012155532837, 0.4825318157672882, 0.487806499004364, 0.4806070625782013, 0.484013170003891, 0.4835164546966553, 0.4823242723941803, 0.48257288336753845, 0.4820740818977356, 0.4812438189983368, 0.4820590019226074, 0.4835543930530548, 0.48300600051879883, 0.4832341969013214, 0.4823816418647766, 0.48458603024482727, 0.4819332957267761, 0.4817766845226288, 0.486068993806839, 0.481321781873703, 0.48321905732154846, 0.4812276363372803]",pca,286,Pre-4
1,bernoulli,0,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23500,0.4662199884885703,0.6747322446269223,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47935160994529724, 0.48386940360069275, 0.47910335659980774, 0.48049551248550415, 0.4812675714492798, 0.4793263077735901, 0.4816100001335144, 0.48065751791000366, 0.4810274541378021, 0.4813087582588196, 0.4788249433040619, 0.48201826214790344, 0.47870364785194397, 0.4816577732563019, 0.481677770614624, 0.48312270641326904, 0.4802097976207733, 0.4792681336402893, 0.4818263649940491, 0.47944319248199463, 0.47973930835723877, 0.47852006554603577, 0.48003625869750977, 0.48059749603271484, 0.4822787642478943, 0.480636864900589, 0.48002713918685913, 0.47984591126441956, 0.4802376329898834, 0.48259660601615906]",pca,286,Pre-4
1,bernoulli,42,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23406,0.4459256752440625,0.6855681282937567,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47452402114868164, 0.47557705640792847, 0.4756496548652649, 0.475927472114563, 0.4760984480381012, 0.4750484526157379, 0.4739747941493988, 0.48004963994026184, 0.4743662178516388, 0.4748739004135132, 0.4763060212135315, 0.47577735781669617, 0.47537317872047424, 0.47353672981262207, 0.4766572117805481, 0.47711238265037537, 0.47590240836143494, 0.4753633737564087, 0.47566133737564087, 0.4747483432292938, 0.4737822711467743, 0.47681280970573425, 0.4748285710811615, 0.4742235243320465, 0.476048082113266, 0.47518137097358704, 0.4749910235404968, 0.4749394953250885, 0.47421205043792725, 0.4774918854236603]",pca,286,Pre-4
1,bernoulli,34,0.004,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23326,0.4487488320529371,0.7182627488542399,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.40351831912994385, 0.403695285320282, 0.40050557255744934, 0.4011635184288025, 0.4016501307487488, 0.4030948877334595, 0.4066082537174225, 0.40301313996315, 0.4029424488544464, 0.4024598300457001, 0.401363730430603, 0.40176206827163696, 0.40031638741493225, 0.4023970365524292, 0.40303346514701843, 0.40109267830848694, 0.40115973353385925, 0.4023010730743408, 0.4006946384906769, 0.4021243453025818, 0.40192481875419617, 0.4016124904155731, 0.4033665657043457, 0.4016939699649811, 0.40127530694007874, 0.40342816710472107, 0.40091627836227417, 0.4025324583053589, 0.40333452820777893, 0.4002937972545624]",pca,286,Pre-4
1,bernoulli,1,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23406,0.4535707550317378,0.68603477501541,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4837915599346161, 0.4806748032569885, 0.4856884777545929, 0.4795454442501068, 0.4808419644832611, 0.4813523590564728, 0.4824597239494324, 0.482990026473999, 0.4828340709209442, 0.48011475801467896, 0.4802267253398895, 0.48194506764411926, 0.4825485944747925, 0.4796018898487091, 0.48105913400650024, 0.47942349314689636, 0.4831564426422119, 0.4834849238395691, 0.48228928446769714, 0.4816005229949951, 0.4825994074344635, 0.48055535554885864, 0.4819551706314087, 0.4822242558002472, 0.4822179079055786, 0.4820002615451813, 0.48203417658805847, 0.4795650243759155, 0.4815092980861664, 0.4806252419948578]",pca,286,Pre-4
1,bernoulli,29,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23274,0.4384050204698736,0.7057459893937881,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.476374089717865, 0.47829774022102356, 0.47761622071266174, 0.474882572889328, 0.47526583075523376, 0.4745860993862152, 0.47597941756248474, 0.4752633571624756, 0.47398853302001953, 0.4762924015522003, 0.47843682765960693, 0.4768868386745453, 0.4770837426185608, 0.4745689332485199, 0.47616228461265564, 0.476732462644577, 0.4740132689476013, 0.47642865777015686, 0.4744063913822174, 0.4741392731666565, 0.474902480840683, 0.47530657052993774, 0.4750538170337677, 0.476815402507782, 0.47625496983528137, 0.47558268904685974, 0.47432026267051697, 0.47444820404052734, 0.47603070735931396, 0.47514456510543823]",pca,286,Pre-4
1,bernoulli,15,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23458,0.4515744679590882,0.707169557495072,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4789876639842987, 0.4770832657814026, 0.4763754904270172, 0.47699806094169617, 0.47736606001853943, 0.48053357005119324, 0.4765094220638275, 0.47941771149635315, 0.47973504662513733, 0.47779199481010437, 0.4770165979862213, 0.47609731554985046, 0.479207307100296, 0.4774121940135956, 0.4804372489452362, 0.47640180587768555, 0.4800044596195221, 0.47750940918922424, 0.4811936318874359, 0.47968780994415283, 0.47741085290908813, 0.4799150824546814, 0.4792926609516144, 0.4766274094581604, 0.47995126247406006, 0.48123449087142944, 0.4774804413318634, 0.47502627968788147, 0.477245956659317, 0.4759630262851715]",pca,286,Pre-4
1,bernoulli,48,0.004,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23642,0.4905189812669065,0.6029879451481835,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4112992286682129, 0.41583627462387085, 0.4120303988456726, 0.4127606749534607, 0.4140412211418152, 0.4127233922481537, 0.4116359055042267, 0.41235020756721497, 0.41205212473869324, 0.4111921787261963, 0.409824013710022, 0.41126692295074463, 0.41248297691345215, 0.4132162034511566, 0.4102441966533661, 0.41218259930610657, 0.4103236496448517, 0.4127372205257416, 0.4095298945903778, 0.40983834862709045, 0.41186803579330444, 0.41244247555732727, 0.41074103116989136, 0.4126085340976715, 0.41313421726226807, 0.4127954840660095, 0.4117457866668701, 0.41091811656951904, 0.4106324315071106, 0.4130173921585083]",pca,286,Pre-4
1,bernoulli,43,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23472,0.444895716593995,0.7137500294371945,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47628721594810486, 0.4756852686405182, 0.47337695956230164, 0.4776318073272705, 0.47614219784736633, 0.4741266071796417, 0.4741085171699524, 0.47503840923309326, 0.47520166635513306, 0.47476068139076233, 0.47456470131874084, 0.4745011031627655, 0.4755030870437622, 0.476005494594574, 0.4752523601055145, 0.4741895794868469, 0.4748622477054596, 0.47564059495925903, 0.47396451234817505, 0.4752568304538727, 0.47373998165130615, 0.4739818274974823, 0.472644180059433, 0.47424474358558655, 0.4725075662136078, 0.4747392237186432, 0.4749716520309448, 0.477052241563797, 0.47445499897003174, 0.47540977597236633]",pca,286,Pre-4
