n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,beta,0,0.002,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,11380,0.5094424864171953,0.691063143220401,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.9349825382232666, 2.7156357765197754, 2.8899002075195312, 2.8583412170410156, 2.7521815299987793, 2.931142807006836, 3.0279486179351807, 2.9185967445373535, 2.7401282787323, 2.9176506996154785, 2.7102935314178467, 2.967508554458618, 2.8380253314971924, 2.899362087249756, 2.8145482540130615, 2.811821699142456, 2.898193597793579, 2.9476499557495117, 2.819735527038574, 2.753206968307495, 2.8777384757995605, 2.881361246109009, 2.9555792808532715, 2.822582721710205, 2.998593807220459, 2.9414024353027344, 2.862809181213379, 2.841907024383545, 2.8649790287017822, 2.7706832885742188]",pca,286,Pre-32
1,beta,28,0.002,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,11422,0.5272654157313978,0.6667206631513094,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8944623470306396, 2.9422430992126465, 2.9463865756988525, 2.9572713375091553, 3.0161938667297363, 3.066047430038452, 3.0355074405670166, 2.9619483947753906, 2.7577452659606934, 2.932738780975342, 2.778480291366577, 2.947528839111328, 2.9257121086120605, 2.913165807723999, 3.0819270610809326, 2.8767733573913574, 3.027399778366089, 2.845008134841919, 2.960829973220825, 2.9059243202209473, 2.9125826358795166, 2.8324689865112305, 2.8393256664276123, 2.899134397506714, 2.839115858078003, 2.8943350315093994, 2.9119138717651367, 2.983555316925049, 2.8493733406066895, 2.9745798110961914]",pca,286,Pre-32
1,beta,14,0.002,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,11572,0.4893799284860994,0.6785522749344117,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4785585403442383, 2.445019245147705, 2.7719507217407227, 2.489922046661377, 2.467341661453247, 2.4948723316192627, 2.484321117401123, 2.4607136249542236, 2.7186496257781982, 2.4213802814483643, 2.407306671142578, 2.545801877975464, 2.4538824558258057, 2.519737958908081, 2.492776870727539, 2.4736390113830566, 2.4867918491363525, 2.5327417850494385, 2.4803783893585205, 2.4186079502105713, 2.491381883621216, 2.4843809604644775, 2.4912214279174805, 2.7148189544677734, 2.4245221614837646, 2.4712252616882324, 2.7128233909606934, 2.7374651432037354, 2.747938394546509, 2.395158529281616]",pca,286,Pre-32
1,beta,6,0.004,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,11888,0.5132849508816916,0.6043424716213321,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.7318263053894043, 2.718350887298584, 2.8184666633605957, 2.6615915298461914, 2.944894790649414, 2.9012746810913086, 2.7320826053619385, 2.783414840698242, 2.6771435737609863, 2.711700916290283, 2.721210479736328, 2.799896001815796, 2.6973726749420166, 2.6985056400299072, 2.6984148025512695, 2.674901008605957, 2.6875104904174805, 2.779968023300171, 2.771911382675171, 2.6368494033813477, 2.742295980453491, 2.638256311416626, 2.7813327312469482, 2.6594347953796387, 2.8124895095825195, 2.700531244277954, 2.6871988773345947, 2.931872844696045, 2.6535375118255615, 2.794980049133301]",pca,286,Pre-32
1,beta,42,0.002,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,11516,0.479801955842265,0.6045476612068168,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6086294651031494, 2.556837320327759, 2.4594204425811768, 2.662062644958496, 2.4597411155700684, 2.635470390319824, 2.5470376014709473, 2.5229084491729736, 2.719618797302246, 2.57438063621521, 2.5782599449157715, 2.5532612800598145, 2.620790719985962, 2.552711009979248, 2.54601788520813, 2.603492259979248, 2.5228588581085205, 2.5619144439697266, 2.567365884780884, 2.486311674118042, 2.5285253524780273, 2.422271490097046, 2.6126489639282227, 2.6093270778656006, 2.759129285812378, 2.5166754722595215, 2.475754499435425, 2.534062147140503, 2.548109531402588, 2.5700995922088623]",pca,286,Pre-32
1,beta,20,0.004,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,12058,0.4973362059744607,0.6435857031173654,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8800411224365234, 3.176705837249756, 3.048898220062256, 3.1324408054351807, 3.031294107437134, 3.0405237674713135, 3.1343281269073486, 3.184831380844116, 3.1155803203582764, 3.172405481338501, 3.1938765048980713, 3.196925640106201, 3.21651554107666, 3.1431193351745605, 3.0579700469970703, 3.178934097290039, 3.186270236968994, 3.0789096355438232, 3.1347877979278564, 3.190585136413574, 2.9651615619659424, 3.1604228019714355, 3.181627035140991, 3.147928237915039, 3.1249070167541504, 3.186063289642334, 3.1430718898773193, 3.150371551513672, 3.0445568561553955, 3.1359550952911377]",pca,286,Pre-32
1,beta,34,0.004,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,12468,0.5594080345159868,0.6050151551626035,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.458296775817871, 2.631549596786499, 2.8704824447631836, 2.8200125694274902, 2.442675828933716, 2.8292462825775146, 2.8876144886016846, 2.8627336025238037, 2.8449761867523193, 2.8437042236328125, 2.720900774002075, 2.7830066680908203, 2.8656246662139893, 2.8877112865448, 2.6793675422668457, 2.458048105239868, 2.684103012084961, 2.833512544631958, 2.716456651687622, 2.866415023803711, 2.812156915664673, 2.592913866043091, 2.5814576148986816, 2.62221097946167, 2.590085506439209, 2.679358959197998, 2.831698179244995, 2.907388687133789, 2.634761095046997, 2.776198387145996]",pca,286,Pre-32
1,beta,12,0.005,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,11474,0.478744343183877,0.6455267110553455,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.195098876953125, 3.035212516784668, 3.001673460006714, 3.1922852993011475, 3.083777904510498, 3.102414608001709, 3.090912342071533, 3.203626871109009, 3.1324868202209473, 3.1452534198760986, 3.164447784423828, 3.106382131576538, 3.0243983268737793, 3.0057551860809326, 3.04378080368042, 3.045337677001953, 3.1601450443267822, 3.129364490509033, 3.057530164718628, 3.151261806488037, 3.036724328994751, 3.1326403617858887, 3.0183942317962646, 3.0198545455932617, 2.9964113235473633, 2.895599126815796, 3.0049610137939453, 3.0469319820404053, 3.16322660446167, 3.1986467838287354]",pca,286,Pre-32
1,beta,18,0.006,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,11554,0.5361915097649748,0.6525811078407895,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.1090376377105713, 2.852266550064087, 2.8849570751190186, 3.0208892822265625, 2.9387166500091553, 3.019498109817505, 3.1201300621032715, 3.0830023288726807, 3.0804781913757324, 2.9046177864074707, 2.842176675796509, 2.9697160720825195, 3.1271023750305176, 3.0758047103881836, 3.1183955669403076, 2.810232162475586, 3.1548242568969727, 2.889514446258545, 2.8652288913726807, 3.0319535732269287, 2.8625025749206543, 3.163727283477783, 3.0230679512023926, 2.861551523208618, 3.1174135208129883, 2.8848655223846436, 3.1143670082092285, 2.877129316329956, 2.9917714595794678, 2.9272398948669434]",pca,286,Pre-32
1,beta,29,0.002,train_items_only_refit_v1,train_items_only,485,transport_binary_strength,1,32.0,11488,0.5418965848167833,0.7071726222900098,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.787593126296997, 3.0303456783294678, 2.9323394298553467, 2.7793657779693604, 2.8555946350097656, 3.0040392875671387, 2.783738613128662, 2.7864155769348145, 2.782876491546631, 2.8361263275146484, 2.90691876411438, 2.884141206741333, 2.7989022731781006, 2.8745296001434326, 2.803180456161499, 2.775485038757324, 2.8051962852478027, 2.864445447921753, 2.811528444290161, 2.777672529220581, 2.924968957901001, 2.7546231746673584, 2.8046562671661377, 2.8567938804626465, 2.8206734657287598, 2.843919515609741, 2.8566298484802246, 2.7997264862060547, 2.9335148334503174, 2.7735178470611572]",pca,286,Pre-32
