n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,beta,28,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23472,0.498888643278457,0.6698047859154228,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6517395973205566, 2.596984386444092, 2.5837361812591553, 2.5800650119781494, 2.3272757530212402, 2.480055809020996, 2.5643234252929688, 2.6130425930023193, 2.566767454147339, 2.562941551208496, 2.455401659011841, 2.55545973777771, 2.484560966491699, 2.5256500244140625, 2.5704569816589355, 2.519727945327759, 2.509187936782837, 2.4524550437927246, 2.454421043395996, 2.570887804031372, 2.5177512168884277, 2.430384397506714, 2.323284387588501, 2.5348103046417236, 2.5345282554626465, 2.449040174484253, 2.5395307540893555, 2.629077196121216, 2.3553402423858643, 2.562835454940796]",pca,286,Pre-64
1,beta,0,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23500,0.5258885686441858,0.6687986691813479,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4862210750579834, 2.5038342475891113, 2.4613187313079834, 2.3312201499938965, 2.505096912384033, 2.4748690128326416, 2.4655938148498535, 2.4000298976898193, 2.3789188861846924, 2.3634285926818848, 2.376725912094116, 2.476306200027466, 2.4811582565307617, 2.5369932651519775, 2.3997669219970703, 2.5172371864318848, 2.4505982398986816, 2.4622673988342285, 2.334238290786743, 2.4759302139282227, 2.3953697681427, 2.4582247734069824, 2.3296709060668945, 2.4931845664978027, 2.3993282318115234, 2.4814093112945557, 2.492692232131958, 2.4878365993499756, 2.4965713024139404, 2.3655450344085693]",pca,286,Pre-64
1,beta,14,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23590,0.5057384979874816,0.6044882407042439,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4536032676696777, 2.7040939331054688, 2.553823232650757, 2.69629168510437, 2.5965538024902344, 2.465792179107666, 2.392444372177124, 2.6194324493408203, 2.5888729095458984, 2.718684196472168, 2.6389472484588623, 2.359532356262207, 2.5586044788360596, 2.691216230392456, 2.634971857070923, 2.558419704437256, 2.5971992015838623, 2.701040744781494, 2.684231996536255, 2.5757882595062256, 2.6432676315307617, 2.6788902282714844, 2.712501049041748, 2.560009717941284, 2.5899558067321777, 2.5487537384033203, 2.625727891921997, 2.6226704120635986, 2.6727497577667236, 2.5968425273895264]",pca,286,Pre-64
1,beta,20,0.004,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23476,0.4717973834744256,0.648976388137626,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5293824672698975, 2.53049635887146, 2.5572032928466797, 2.545332670211792, 2.5619289875030518, 2.5115838050842285, 2.5946297645568848, 2.5779035091400146, 2.3644609451293945, 2.3901684284210205, 2.5252110958099365, 2.4323878288269043, 2.5835254192352295, 2.583982467651367, 2.4044389724731445, 2.54952073097229, 2.4111328125, 2.534130096435547, 2.5109434127807617, 2.54109263420105, 2.570204496383667, 2.542773485183716, 2.454618453979492, 2.4936234951019287, 2.428591251373291, 2.5828044414520264, 2.419638156890869, 2.460272789001465, 2.433091402053833, 2.455974817276001]",pca,286,Pre-64
1,beta,42,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23406,0.506782484819082,0.6690646401047338,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.39951229095459, 2.305006742477417, 2.262598752975464, 2.34877347946167, 2.2631592750549316, 2.365384340286255, 2.363980770111084, 2.3751416206359863, 2.398282527923584, 2.350813865661621, 2.38375186920166, 2.2995991706848145, 2.3891398906707764, 2.332834005355835, 2.40763258934021, 2.3304076194763184, 2.3103766441345215, 2.3655447959899902, 2.4220223426818848, 2.229827404022217, 2.4023959636688232, 2.3890764713287354, 2.3923866748809814, 2.3512706756591797, 2.3340537548065186, 2.343573808670044, 2.2918899059295654, 2.3332343101501465, 2.3847317695617676, 2.2708380222320557]",pca,286,Pre-64
1,beta,6,0.004,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23552,0.5067034127322437,0.6393723662826652,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.3749382495880127, 2.3591482639312744, 2.3633313179016113, 2.173386335372925, 2.2995080947875977, 2.3215420246124268, 2.326267719268799, 2.1611061096191406, 2.3847923278808594, 2.1999142169952393, 2.289095878601074, 2.3422396183013916, 2.3116486072540283, 2.2991855144500732, 2.2025299072265625, 2.3064866065979004, 2.33785343170166, 2.3043384552001953, 2.30185866355896, 2.3515472412109375, 2.357872247695923, 2.2117092609405518, 2.3214941024780273, 2.3668320178985596, 2.3768675327301025, 2.3466291427612305, 2.3083384037017822, 2.351978063583374, 2.326465129852295, 2.2288641929626465]",pca,286,Pre-64
1,beta,40,0.005,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23354,0.5009451813564009,0.6549377995309473,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.2509398460388184, 2.3394596576690674, 2.3409197330474854, 2.307696580886841, 2.38295841217041, 2.293487071990967, 2.37990140914917, 2.3332087993621826, 2.154099702835083, 2.4097952842712402, 2.339907646179199, 2.4288079738616943, 2.3887386322021484, 2.271214246749878, 2.1771156787872314, 2.4001588821411133, 2.304412364959717, 2.390505313873291, 2.3918063640594482, 2.4035873413085938, 2.2833642959594727, 2.326961040496826, 2.3528361320495605, 2.417757749557495, 2.445939779281616, 2.2756519317626953, 2.445735216140747, 2.319681406021118, 2.3611080646514893, 2.3119397163391113]",pca,286,Pre-64
1,beta,18,0.006,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23274,0.4768638283557135,0.7399369773285701,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.292757749557495, 2.292861223220825, 2.2990353107452393, 2.245518445968628, 2.2748732566833496, 2.2828128337860107, 2.305675983428955, 2.309168577194214, 2.3043642044067383, 2.2701122760772705, 2.278994083404541, 2.258625030517578, 2.249938488006592, 2.2804503440856934, 2.303833246231079, 2.3060975074768066, 2.2508504390716553, 2.2582685947418213, 2.3037092685699463, 2.2833287715911865, 2.2422173023223877, 2.3029966354370117, 2.2753145694732666, 2.296053647994995, 2.2745673656463623, 2.27815580368042, 2.2619714736938477, 2.3164870738983154, 2.303618907928467, 2.287623643875122]",pca,286,Pre-64
1,beta,26,0.005,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23538,0.5277818625972458,0.6120555441759081,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5038657188415527, 2.4744575023651123, 2.4665589332580566, 2.4663338661193848, 2.5332791805267334, 2.4786431789398193, 2.544569253921509, 2.4947052001953125, 2.5158584117889404, 2.422656536102295, 2.385589599609375, 2.526089906692505, 2.5113463401794434, 2.5338895320892334, 2.4429550170898438, 2.5019469261169434, 2.4651992321014404, 2.4329073429107666, 2.483527660369873, 2.3981752395629883, 2.4787795543670654, 2.4900565147399902, 2.491333484649658, 2.282975912094116, 2.3367679119110107, 2.40976619720459, 2.3988027572631836, 2.4446651935577393, 2.524247407913208, 2.5164947509765625]",pca,286,Pre-64
1,beta,4,0.006,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23514,0.5324931465746642,0.6511367086162168,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.333225965499878, 2.2999558448791504, 2.241450309753418, 2.3120839595794678, 2.3683831691741943, 2.370800733566284, 2.2933554649353027, 2.317145586013794, 2.24743914604187, 2.352536201477051, 2.209365129470825, 2.3278913497924805, 2.3710453510284424, 2.2890512943267822, 2.243182420730591, 2.268129587173462, 2.302572727203369, 2.3289883136749268, 2.2507967948913574, 2.3310563564300537, 2.3954412937164307, 2.3505454063415527, 2.2824645042419434, 2.315385103225708, 2.275656223297119, 2.3002705574035645, 2.3122239112854004, 2.3256633281707764, 2.26517653465271, 2.2513840198516846]",pca,286,Pre-64
1,beta,21,0.004,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23486,0.5100829791835549,0.6251425762045231,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.2990188598632812, 2.4498400688171387, 2.4233336448669434, 2.3355472087860107, 2.32253098487854, 2.4224050045013428, 2.425229787826538, 2.4302237033843994, 2.487941026687622, 2.4044504165649414, 2.4601097106933594, 2.4090514183044434, 2.4384706020355225, 2.4289889335632324, 2.4134411811828613, 2.386258363723755, 2.4006199836730957, 2.440134048461914, 2.4303910732269287, 2.453580617904663, 2.357442855834961, 2.461533784866333, 2.3889620304107666, 2.401916980743408, 2.318760395050049, 2.4006259441375732, 2.391162872314453, 2.464170217514038, 2.3997936248779297, 2.441033124923706]",pca,286,Pre-64
1,beta,15,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23458,0.5212224524008725,0.6556567477258113,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.25608229637146, 2.438417911529541, 2.4535863399505615, 2.435889482498169, 2.45039439201355, 2.407135248184204, 2.4334967136383057, 2.250318765640259, 2.3748369216918945, 2.448805809020996, 2.2589662075042725, 2.318720579147339, 2.356980562210083, 2.447172164916992, 2.458803176879883, 2.3387975692749023, 2.318263053894043, 2.4486255645751953, 2.2918715476989746, 2.48901104927063, 2.4499123096466064, 2.4817802906036377, 2.369699478149414, 2.277615785598755, 2.3576431274414062, 2.450798273086548, 2.4277005195617676, 2.448660373687744, 2.460317850112915, 2.3204798698425293]",pca,286,Pre-64
1,beta,43,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23472,0.5108012936528672,0.660975363591405,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.3659021854400635, 2.4771974086761475, 2.424386978149414, 2.4243741035461426, 2.433826208114624, 2.487938165664673, 2.404865264892578, 2.434500217437744, 2.4599640369415283, 2.5237209796905518, 2.458120346069336, 2.498593330383301, 2.4338061809539795, 2.4079294204711914, 2.4604294300079346, 2.475477933883667, 2.4696662425994873, 2.448054313659668, 2.4945201873779297, 2.513636589050293, 2.4539237022399902, 2.50671648979187, 2.3625853061676025, 2.4264135360717773, 2.463721990585327, 2.3367247581481934, 2.4861690998077393, 2.4420111179351807, 2.4317803382873535, 2.505197286605835]",pca,286,Pre-64
1,beta,29,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23274,0.4945519134157803,0.6557403928473111,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.464035749435425, 2.4645566940307617, 2.4520654678344727, 2.2673425674438477, 2.365530014038086, 2.4006693363189697, 2.438983917236328, 2.3416895866394043, 2.402198314666748, 2.3964133262634277, 2.4158973693847656, 2.378753423690796, 2.3857250213623047, 2.5253894329071045, 2.4381346702575684, 2.3860526084899902, 2.427375555038452, 2.39945650100708, 2.3318567276000977, 2.4277291297912598, 2.2774789333343506, 2.3460536003112793, 2.4147303104400635, 2.4288480281829834, 2.427255153656006, 2.425436019897461, 2.416283369064331, 2.4319708347320557, 2.2759807109832764, 2.2916946411132812]",pca,286,Pre-64
1,beta,41,0.005,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23378,0.5231222370489481,0.6324940703339292,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4107706546783447, 2.177098512649536, 2.4283761978149414, 2.389336109161377, 2.4590721130371094, 2.47861647605896, 2.2917628288269043, 2.286952257156372, 2.3606536388397217, 2.4593334197998047, 2.306530237197876, 2.4285526275634766, 2.319202184677124, 2.46828293800354, 2.239288330078125, 2.447126865386963, 2.347963571548462, 2.493915319442749, 2.42063045501709, 2.499178647994995, 2.4306631088256836, 2.50300931930542, 2.394646644592285, 2.498079538345337, 2.335648536682129, 2.488837242126465, 2.373063564300537, 2.3085036277770996, 2.3924198150634766, 2.3662967681884766]",pca,286,Pre-64
1,beta,7,0.004,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23114,0.4699015459973283,0.6802821902159651,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.354208469390869, 2.1527278423309326, 2.3310728073120117, 2.3764991760253906, 2.34767484664917, 2.4028048515319824, 2.3045594692230225, 2.349440097808838, 2.2872018814086914, 2.349623203277588, 2.324035406112671, 2.2318763732910156, 2.347602605819702, 2.3729681968688965, 2.368490219116211, 2.339123249053955, 2.2668874263763428, 2.3411192893981934, 2.3517494201660156, 2.407742738723755, 2.3580501079559326, 2.3282618522644043, 2.396458625793457, 2.280513048171997, 2.3692147731781006, 2.33699107170105, 2.395679235458374, 2.28593373298645, 2.29535174369812, 2.3916053771972656]",pca,286,Pre-64
1,beta,1,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23406,0.5213871840299683,0.622701356071502,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.3712334632873535, 2.3696470260620117, 2.3912932872772217, 2.3211073875427246, 2.346484899520874, 2.4213550090789795, 2.395751476287842, 2.278630256652832, 2.361551523208618, 2.3560516834259033, 2.370741128921509, 2.3789732456207275, 2.2821788787841797, 2.3756844997406006, 2.2879340648651123, 2.409222364425659, 2.349708080291748, 2.361955404281616, 2.28092885017395, 2.3872902393341064, 2.300600290298462, 2.3164868354797363, 2.3694491386413574, 2.296006679534912, 2.3259055614471436, 2.343748092651367, 2.2880375385284424, 2.3368194103240967, 2.2785775661468506, 2.3893535137176514]",pca,286,Pre-64
1,beta,19,0.006,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23420,0.4868980040887933,0.6702468863661413,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.263392210006714, 2.222114324569702, 2.204435110092163, 2.243356943130493, 2.1541850566864014, 2.248627185821533, 2.116894006729126, 2.0936625003814697, 2.2317168712615967, 2.0974104404449463, 2.2991421222686768, 2.276930570602417, 2.2374329566955566, 2.1552021503448486, 2.323725938796997, 2.326406955718994, 2.228513479232788, 2.2354085445404053, 2.2417819499969482, 2.1168980598449707, 2.330439329147339, 2.2914838790893555, 2.2256011962890625, 2.162045955657959, 2.1981277465820312, 2.2532734870910645, 2.232072114944458, 2.27099871635437, 2.1312344074249268, 2.2794477939605713]",pca,286,Pre-64
1,beta,27,0.005,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23548,0.553484565977994,0.6355437713563592,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.3577206134796143, 2.389381170272827, 2.449737071990967, 2.4573943614959717, 2.446425437927246, 2.4532151222229004, 2.4738540649414062, 2.4891197681427, 2.4803199768066406, 2.4895970821380615, 2.4699056148529053, 2.4837899208068848, 2.449157238006592, 2.4094767570495605, 2.392568349838257, 2.492875099182129, 2.3845980167388916, 2.4830374717712402, 2.489569902420044, 2.4952595233917236, 2.516371965408325, 2.4876325130462646, 2.4255971908569336, 2.505587339401245, 2.330585479736328, 2.4874513149261475, 2.507955551147461, 2.3837010860443115, 2.426290988922119, 2.388692855834961]",pca,286,Pre-64
1,beta,5,0.006,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,64.0,23156,0.4572069042465879,0.6740408814099039,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.141223669052124, 2.152949333190918, 2.194530963897705, 2.122603178024292, 2.0997893810272217, 2.2370359897613525, 2.260157585144043, 2.2302825450897217, 2.2247297763824463, 2.1830124855041504, 2.243515729904175, 2.227116823196411, 2.1349973678588867, 2.1941123008728027, 2.2251529693603516, 2.161017894744873, 2.232980728149414, 2.2198948860168457, 2.1397509574890137, 2.2441108226776123, 2.206181049346924, 2.249098777770996, 2.22294282913208, 2.197751760482788, 2.232196807861328, 2.1997296810150146, 2.2344865798950195, 2.1847259998321533, 2.0993988513946533, 2.263746500015259]",pca,286,Pre-64
