n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type
54,beta,3,1.0,0.3175568792877662,0.474054721498592,0,[],[],rasch_2pl
54,beta,2,1.0,0.2810674445760938,0.6069133105369807,0,[],[],rasch_2pl
54,beta,20,1.0,0.308864619489352,0.5573607427055703,0,[],[],rasch_2pl
54,beta,28,1.0,0.3467467874413913,0.5755114888259365,0,[],[],rasch_2pl
54,beta,8,1.0,0.3233892331067364,0.5334532853525257,0,[],[],rasch_2pl
54,beta,22,1.0,0.334371409441485,0.5195793468168424,0,[],[],rasch_2pl
54,beta,12,1.0,0.294350189997944,0.5472098569157393,0,[],[],rasch_2pl
54,beta,26,1.0,0.3394744335198488,0.4666447032245918,0,[],[],rasch_2pl
54,beta,48,1.0,0.3090147816083815,0.5419171089863328,0,[],[],rasch_2pl
54,beta,7,1.0,0.2961775718952101,0.5094176988890308,0,[],[],rasch_2pl
54,beta,43,1.0,0.324625736471493,0.5207876152096715,0,[],[],rasch_2pl
54,beta,18,1.0,0.2887859568150903,0.5911800248220002,0,[],[],rasch_2pl
54,beta,36,1.0,0.3237703853986424,0.5582047995757281,0,[],[],rasch_2pl
54,beta,5,1.0,0.3066705944213159,0.5799611667622788,0,[],[],rasch_2pl
54,beta,24,1.0,0.3354455206388164,0.5611131037780968,0,[],[],rasch_2pl
54,beta,42,1.0,0.3012094793332641,0.5563434680509207,0,[],[],rasch_2pl
54,beta,19,1.0,0.2962451577897438,0.6325065274151436,0,[],[],rasch_2pl
54,beta,31,1.0,0.2697022766184802,0.5110171940471031,0,[],[],rasch_2pl
54,beta,23,1.0,0.3407474756972975,0.6117826722877054,0,[],[],rasch_2pl
54,beta,4,1.0,0.3274034673258142,0.645110581936468,0,[],[],rasch_2pl
54,beta,35,1.0,0.310622188144752,0.5443764006301449,0,[],[],rasch_2pl
54,beta,34,1.0,0.3170663165218634,0.5737014103887168,0,[],[],rasch_2pl
54,beta,32,1.0,0.2889761666944383,0.5978220745662606,0,[],[],rasch_2pl
54,beta,13,1.0,0.3161605186864243,0.5686174467028875,0,[],[],rasch_2pl
54,beta,27,1.0,0.2995699482307602,0.5347618199097173,0,[],[],rasch_2pl
54,beta,11,1.0,0.3073766100664077,0.555188318937658,0,[],[],rasch_2pl
54,beta,6,1.0,0.3201274569937345,0.5828663509602736,0,[],[],rasch_2pl
54,beta,40,1.0,0.2952683415776202,0.4533991228070175,0,[],[],rasch_2pl
54,beta,46,1.0,0.3062063774842861,0.5098247757839076,0,[],[],rasch_2pl
54,beta,44,1.0,0.2678680658951599,0.5399327899327899,0,[],[],rasch_2pl
54,beta,16,1.0,0.3358031492161434,0.5274713818052921,0,[],[],rasch_2pl
54,beta,17,1.0,0.314293613611302,0.5768209449821142,0,[],[],rasch_2pl
54,beta,30,1.0,0.2910751435521699,0.5662487539609858,0,[],[],rasch_2pl
54,beta,45,1.0,0.329302955381249,0.6077627647135249,0,[],[],rasch_2pl
54,beta,25,1.0,0.3290439181682923,0.5821463057303633,0,[],[],rasch_2pl
54,beta,37,1.0,0.3079506051124329,0.619228076253997,0,[],[],rasch_2pl
54,beta,33,1.0,0.3452182429684517,0.4788208852005532,0,[],[],rasch_2pl
54,beta,10,1.0,0.3347092731278542,0.5507427213309566,0,[],[],rasch_2pl
54,beta,0,1.0,0.3742770139695448,0.5198877183855725,0,[],[],rasch_2pl
54,beta,21,1.0,0.3005314446046335,0.5864097066143101,0,[],[],rasch_2pl
54,beta,49,1.0,0.3277127650960204,0.5686022727272727,0,[],[],rasch_2pl
54,beta,1,1.0,0.3699461811140788,0.4952225918324014,0,[],[],rasch_2pl
54,beta,15,1.0,0.35610912616201,0.5184282047410539,0,[],[],rasch_2pl
54,beta,38,1.0,0.3688878197854768,0.5274614592494044,0,[],[],rasch_2pl
54,beta,14,1.0,0.3451019706890331,0.5054110833047365,0,[],[],rasch_2pl
54,beta,47,1.0,0.3211376679914965,0.4287860062743607,0,[],[],rasch_2pl
54,beta,39,1.0,0.3664576602161176,0.5606867172072856,0,[],[],rasch_2pl
54,beta,9,1.0,0.3476978877132591,0.5760388513513514,0,[],[],rasch_2pl
54,beta,41,1.0,0.319979960253687,0.5620598939789541,0,[],[],rasch_2pl
54,beta,29,1.0,0.3769482824775477,0.4883177917577596,0,[],[],rasch_2pl
