n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,bernoulli,0,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,16216,0.4969943425069517,0.5797739544934705,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47365912795066833, 0.4793546795845032, 0.47397080063819885, 0.47995877265930176, 0.4792410135269165, 0.477719247341156, 0.475399911403656, 0.4774589240550995, 0.4761577248573303, 0.47581443190574646, 0.48193907737731934, 0.47713616490364075, 0.4755544364452362, 0.4801301062107086, 0.47623753547668457, 0.4751516282558441, 0.47437405586242676, 0.47546109557151794, 0.476746529340744, 0.4814704954624176, 0.4759502112865448, 0.4798267185688019, 0.47427424788475037, 0.4749068319797516, 0.47548219561576843, 0.47375601530075073, 0.47784000635147095, 0.48036766052246094, 0.4720896780490875, 0.4749772250652313]",raw,286,Pre-32
1,bernoulli,14,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,16206,0.4465340874497889,0.6982575799036778,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47963258624076843, 0.48154541850090027, 0.4791954755783081, 0.48086708784103394, 0.47855058312416077, 0.4791356325149536, 0.47881239652633667, 0.4767864942550659, 0.4827077388763428, 0.4773014187812805, 0.476875901222229, 0.47976282238960266, 0.4787208139896393, 0.4800172746181488, 0.47752195596694946, 0.48418331146240234, 0.4802609980106354, 0.4796922504901886, 0.4794117510318756, 0.4784334599971771, 0.4790407717227936, 0.47863584756851196, 0.47826382517814636, 0.4769632816314697, 0.4789402186870575, 0.4813137352466583, 0.4825271666049957, 0.4796658456325531, 0.48507988452911377, 0.47712501883506775]",raw,286,Pre-32
1,bernoulli,28,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,15966,0.4599957787019429,0.6961261485812832,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4782073199748993, 0.4833618104457855, 0.47837093472480774, 0.4787735342979431, 0.48018941283226013, 0.4794975221157074, 0.4802384376525879, 0.47751012444496155, 0.48229628801345825, 0.48023754358291626, 0.4837403893470764, 0.48050910234451294, 0.48119479417800903, 0.48192650079727173, 0.478363960981369, 0.47763949632644653, 0.48368576169013977, 0.4808569848537445, 0.4787050783634186, 0.47975048422813416, 0.47788846492767334, 0.4765437841415405, 0.47932979464530945, 0.4792913496494293, 0.4784511923789978, 0.4791579842567444, 0.47941187024116516, 0.4799976050853729, 0.48310035467147827, 0.4794166386127472]",raw,286,Pre-32
1,bernoulli,6,0.004,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,16244,0.4821169271636397,0.6308531401393371,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.40682563185691833, 0.4121337831020355, 0.4052998125553131, 0.41232162714004517, 0.40729984641075134, 0.409932941198349, 0.41181981563568115, 0.4028802216053009, 0.4062069356441498, 0.40577295422554016, 0.4081942141056061, 0.4062560200691223, 0.4070788323879242, 0.4055224657058716, 0.4068671464920044, 0.4084246754646301, 0.40853774547576904, 0.40763232111930847, 0.4101937711238861, 0.4077303409576416, 0.4116061329841614, 0.4075019657611847, 0.4071810245513916, 0.405970960855484, 0.40548232197761536, 0.4050297439098358, 0.40783044695854187, 0.40598803758621216, 0.4098954498767853, 0.4066281318664551]",raw,286,Pre-32
1,bernoulli,42,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,16074,0.4714888982547953,0.5894721536917349,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4803552031517029, 0.4842415452003479, 0.4786292612552643, 0.4796077311038971, 0.4829634130001068, 0.48036155104637146, 0.4776543974876404, 0.4789913296699524, 0.4818331301212311, 0.47725483775138855, 0.47747084498405457, 0.4804671108722687, 0.48420679569244385, 0.4801369905471802, 0.4778135418891907, 0.47835248708724976, 0.4802747070789337, 0.48028719425201416, 0.47923582792282104, 0.48041704297065735, 0.4820300042629242, 0.48041200637817383, 0.47850242257118225, 0.47825437784194946, 0.4834133982658386, 0.4824814200401306, 0.4793158769607544, 0.48230406641960144, 0.48153212666511536, 0.4784231185913086]",raw,286,Pre-32
1,bernoulli,20,0.004,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,16550,0.4521638608077484,0.6943891022809783,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.406890869140625, 0.40983471274375916, 0.4070506691932678, 0.4086247980594635, 0.40587666630744934, 0.4069347381591797, 0.3998463451862335, 0.41068461537361145, 0.4066830575466156, 0.41011813282966614, 0.40609994530677795, 0.4114958643913269, 0.4065661132335663, 0.4103100001811981, 0.41185036301612854, 0.4057360291481018, 0.40600961446762085, 0.4100581407546997, 0.411758154630661, 0.40603533387184143, 0.40653011202812195, 0.4071654975414276, 0.40151798725128174, 0.40599241852760315, 0.40192195773124695, 0.40899893641471863, 0.4072265923023224, 0.4051114618778229, 0.4059750735759735, 0.40967902541160583]",raw,286,Pre-32
1,bernoulli,34,0.004,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,16960,0.4892726751266724,0.6495762142703632,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4102964699268341, 0.4124617874622345, 0.40852847695350647, 0.40542009472846985, 0.4080471396446228, 0.40633824467658997, 0.40804585814476013, 0.41282346844673157, 0.4080425202846527, 0.40646010637283325, 0.4056810736656189, 0.40892910957336426, 0.4139602482318878, 0.40790271759033203, 0.4077753722667694, 0.4073931872844696, 0.413118451833725, 0.40531131625175476, 0.40806281566619873, 0.4091947376728058, 0.4067844748497009, 0.4062170386314392, 0.40845823287963867, 0.4121100902557373, 0.4076939821243286, 0.4068956971168518, 0.4081594944000244, 0.4114319384098053, 0.4114702045917511, 0.4096655249595642]",raw,286,Pre-32
1,bernoulli,12,0.005,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,16324,0.4507622779278427,0.6600013409531021,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.37158215045928955, 0.3766603171825409, 0.37267932295799255, 0.37011826038360596, 0.37160712480545044, 0.37057071924209595, 0.3705581724643707, 0.3714584410190582, 0.3702356219291687, 0.37558960914611816, 0.37016546726226807, 0.371054470539093, 0.3707997798919678, 0.37058010697364807, 0.37147021293640137, 0.3727613091468811, 0.37460991740226746, 0.37585294246673584, 0.3704293966293335, 0.36937570571899414, 0.37073397636413574, 0.37135598063468933, 0.37707972526550293, 0.3728257119655609, 0.37317395210266113, 0.36952003836631775, 0.37213951349258423, 0.3747914731502533, 0.3716149628162384, 0.370585560798645]",raw,286,Pre-32
1,bernoulli,40,0.005,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,16220,0.4957815073747805,0.6135210597195133,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3726806938648224, 0.37517470121383667, 0.3740282654762268, 0.37273624539375305, 0.3787229359149933, 0.3741944134235382, 0.3734300136566162, 0.37386554479599, 0.37567272782325745, 0.37445393204689026, 0.37394919991493225, 0.37337547540664673, 0.3737138509750366, 0.37355247139930725, 0.3772335350513458, 0.37028375267982483, 0.37549713253974915, 0.3694843649864197, 0.3796348571777344, 0.36921581625938416, 0.37414178252220154, 0.37398362159729004, 0.3729308545589447, 0.3731061816215515, 0.377473384141922, 0.3741263151168823, 0.3755187690258026, 0.377088338136673, 0.3755451738834381, 0.3746758997440338]",raw,286,Pre-32
1,bernoulli,48,0.004,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,32.0,16046,0.4471931065568473,0.7078275892320878,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4141162931919098, 0.41395533084869385, 0.41069409251213074, 0.4092824161052704, 0.41158604621887207, 0.4068242311477661, 0.4099136292934418, 0.40971049666404724, 0.4132077395915985, 0.41054388880729675, 0.4092501401901245, 0.4078238606452942, 0.4110768735408783, 0.41183990240097046, 0.41048043966293335, 0.4099738299846649, 0.4109330475330353, 0.4109068810939789, 0.40942317247390747, 0.41441401839256287, 0.40753984451293945, 0.41090643405914307, 0.4092662036418915, 0.41102513670921326, 0.4087062478065491, 0.40873825550079346, 0.40947380661964417, 0.4091721773147583, 0.4108920693397522, 0.41067248582839966]",raw,286,Pre-32
