n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count
54,beta,14,0.002,external_raw_frozen_v1,external_frozen,0,none,,32.0,11030,0.2964182778765009,0.6354052538498037,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.837935745716095, 0.863686740398407, 0.9049336910247803, 0.8780399560928345, 0.8524496555328369, 0.9857112765312195, 0.8574082851409912, 0.8374967575073242, 0.8767449855804443, 0.8548322916030884, 0.8357362151145935, 0.9299659729003906, 0.9259934425354004, 0.8798165917396545, 0.8407284021377563, 0.9587440490722656, 0.9503796696662903, 0.9437506794929504, 0.9239023327827454, 0.8338062763214111, 0.869717001914978, 0.9646120667457581, 0.8910270929336548, 0.8887220621109009, 0.8898076415061951, 0.8529815673828125, 0.8417754769325256, 0.843730092048645, 0.8450425267219543, 0.9251463413238525]",raw,35
54,beta,0,0.002,external_raw_frozen_v1,external_frozen,0,none,,32.0,11069,0.3134303430251687,0.6667305603475816,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9808540344238281, 0.9433037638664246, 0.9134489297866821, 0.9169629812240601, 0.9059851169586182, 0.9641026258468628, 1.0031485557556152, 1.0449813604354858, 1.0096690654754639, 0.9415760636329651, 0.9186069965362549, 0.9300171136856079, 0.9505860805511475, 1.0018255710601807, 0.9080881476402283, 0.9280058145523071, 1.033716082572937, 0.8898684978485107, 0.8867040872573853, 0.9065179228782654, 0.9232531189918518, 0.9095196723937988, 0.904899537563324, 0.916830837726593, 0.9175434708595276, 0.9727389812469482, 0.9259685277938843, 1.0005474090576172, 1.030025839805603, 0.9074917435646057]",raw,35
54,beta,28,0.002,external_raw_frozen_v1,external_frozen,0,none,,32.0,11017,0.3114805162093675,0.6682723834437485,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8281115889549255, 0.8129342198371887, 0.8347225785255432, 0.8374496698379517, 0.9288802146911621, 0.8175804615020752, 0.870807409286499, 0.8277192711830139, 0.8210088610649109, 0.8887434601783752, 0.8231402039527893, 0.8303424715995789, 0.9511770009994507, 0.8765655755996704, 0.8719620704650879, 0.8566433191299438, 0.8288359642028809, 0.821125328540802, 0.911154568195343, 0.9185417294502258, 0.8787093758583069, 0.8722445368766785, 0.8150048851966858, 0.9140593409538269, 0.8267438411712646, 0.8281283974647522, 0.8447717428207397, 0.8203121423721313, 0.8250613212585449, 0.8283774256706238]",raw,35
54,beta,12,0.005,external_raw_frozen_v1,external_frozen,0,none,,32.0,11026,0.3140991184844977,0.6068107634742457,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9175586700439453, 0.8204323053359985, 0.7570813894271851, 0.7742112278938293, 0.7980861067771912, 0.8091354966163635, 0.967731773853302, 0.84320068359375, 0.7813202738761902, 0.9164264798164368, 0.8390424847602844, 0.8000500798225403, 0.7653332352638245, 0.7962876558303833, 0.7819080352783203, 0.8385581374168396, 0.7857658863067627, 0.7888488173484802, 0.8133405447006226, 0.8461108207702637, 0.7856767177581787, 0.8639129400253296, 0.8219249844551086, 0.8645739555358887, 0.7833156585693359, 0.7968500852584839, 0.7764235734939575, 0.7959641814231873, 0.7831188440322876, 0.854705274105072]",raw,35
54,beta,34,0.004,external_raw_frozen_v1,external_frozen,0,none,,32.0,11026,0.2994618894596678,0.6545041533599887,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8392084836959839, 0.860122799873352, 0.929214596748352, 0.8701015710830688, 0.8808106780052185, 0.9617102742195129, 0.9719648361206055, 0.8947950601577759, 0.8961471319198608, 0.8817232251167297, 0.8903108835220337, 0.8078798651695251, 0.9548311233520508, 0.8884086012840271, 0.8398587107658386, 0.9187636971473694, 0.8269063234329224, 0.8425273299217224, 0.8268615007400513, 0.8867655396461487, 0.9594714641571045, 0.8505883812904358, 0.8599810600280762, 0.8667119145393372, 0.8569353818893433, 0.8625648617744446, 0.9728937745094299, 0.896130383014679, 0.8170785903930664, 0.9920158386230469]",raw,35
54,beta,15,0.002,external_raw_frozen_v1,external_frozen,0,none,,32.0,11032,0.2926933010942988,0.6656298348359294,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9104334712028503, 0.9338217377662659, 0.9837139844894409, 0.9530130624771118, 0.8875157833099365, 0.8918213844299316, 0.9729917049407959, 0.9008405208587646, 0.9357027411460876, 0.9417659044265747, 0.8934114575386047, 1.0135517120361328, 0.9902652502059937, 0.9406212568283081, 0.8726000785827637, 0.9115868806838989, 0.8651580810546875, 0.8962603807449341, 0.9041317105293274, 1.0187504291534424, 0.8831725716590881, 0.8962993621826172, 0.9186480045318604, 0.883683443069458, 1.0167655944824219, 0.9908894896507263, 0.9040138125419617, 0.8859747648239136, 0.8626405596733093, 0.8852669596672058]",raw,35
54,beta,1,0.002,external_raw_frozen_v1,external_frozen,0,none,,32.0,11021,0.3176470199685057,0.6320051830255913,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.9969431161880493, 0.8522624969482422, 0.8568381667137146, 0.9321785569190979, 0.9732361435890198, 0.9932799339294434, 0.9079428315162659, 0.9488635063171387, 0.8747770190238953, 0.9575446844100952, 0.8852518796920776, 0.9603660702705383, 0.8914769887924194, 0.8796261548995972, 0.8787365555763245, 0.978256344795227, 0.8766865134239197, 0.8566340804100037, 0.9027680158615112, 0.9564071893692017, 0.9081287384033203, 1.087223768234253, 0.9036247730255127, 0.8904120922088623, 0.9262363910675049, 0.9311558604240417, 1.0051689147949219, 0.9148472547531128, 0.895889401435852, 1.0381392240524292]",raw,35
54,beta,29,0.002,external_raw_frozen_v1,external_frozen,0,none,,32.0,11048,0.310660059713763,0.6032921122994652,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.8429864048957825, 0.8315924406051636, 0.969650387763977, 0.841823160648346, 0.9622796177864075, 0.8697252869606018, 0.88817298412323, 0.8561285138130188, 0.8617808818817139, 0.8190426230430603, 0.8797624707221985, 0.8303330540657043, 0.8175880908966064, 0.8486517667770386, 0.870042622089386, 0.8554999828338623, 0.8513903021812439, 0.8602665066719055, 0.8298811316490173, 0.8688824772834778, 0.8526638746261597, 0.839712381362915, 0.833134114742279, 0.9039599299430847, 0.8386354446411133, 0.8733075261116028, 0.8325489163398743, 0.8627305626869202, 0.8368013501167297, 0.8230478763580322]",raw,35
54,beta,13,0.005,external_raw_frozen_v1,external_frozen,0,none,,32.0,11016,0.2816771998048953,0.7094577589864169,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.7863285541534424, 0.8242472410202026, 0.8225583434104919, 0.7991965413093567, 0.802376925945282, 0.7552782297134399, 0.8334407806396484, 0.926627516746521, 0.893987238407135, 0.8955398201942444, 0.7779352068901062, 0.9170801043510437, 0.7466108798980713, 0.9242008924484253, 0.7837572693824768, 0.7723293304443359, 0.8280271291732788, 0.833499550819397, 0.8313592672348022, 0.8040976524353027, 0.79521644115448, 0.73822420835495, 0.8120989203453064, 0.7996357679367065, 0.7689658403396606, 0.8006951808929443, 0.8174905776977539, 0.8166933059692383, 0.7685421109199524, 0.8018550276756287]",raw,35
54,beta,35,0.004,external_raw_frozen_v1,external_frozen,0,none,,32.0,10990,0.3072902334578545,0.6194981902676616,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.813714325428009, 0.7891693711280823, 0.7896232008934021, 0.8875057697296143, 0.871042788028717, 0.7973864078521729, 0.932685136795044, 0.7808972597122192, 0.798652172088623, 0.7845258116722107, 0.7926003336906433, 0.7836965322494507, 0.8336538076400757, 0.7779055237770081, 0.7990747690200806, 0.8499743938446045, 0.7771589756011963, 0.7899665832519531, 0.7993602156639099, 0.7772368788719177, 0.9304319620132446, 0.7879992723464966, 0.8946185111999512, 0.7850872874259949, 0.896263599395752, 0.9149776697158813, 0.8745225071907043, 0.8630774617195129, 0.8941749930381775, 0.7726624608039856]",raw,35
