n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,beta,0,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23500,0.484643861538876,0.7070022009166493,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.771442413330078, 2.780137062072754, 2.573961019515991, 2.8788833618164062, 2.8561182022094727, 2.7565410137176514, 2.767374277114868, 2.8188743591308594, 2.5426485538482666, 2.6172025203704834, 2.8655638694763184, 2.6513864994049072, 2.7773962020874023, 2.923434019088745, 2.7653002738952637, 2.636664390563965, 2.6115243434906006, 2.791503667831421, 2.755375623703003, 2.8865811824798584, 2.7956676483154297, 2.6520142555236816, 2.7765300273895264, 2.5299901962280273, 2.63346266746521, 2.7464487552642822, 2.7120895385742188, 2.955193281173706, 2.660801887512207, 2.7639405727386475]",raw,286,Pre-16
1,beta,14,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23590,0.4927584953930558,0.5962437824952607,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.6572470664978027, 2.898062229156494, 2.4358837604522705, 2.8783817291259766, 2.748565912246704, 2.863816261291504, 2.7311577796936035, 2.817487955093384, 2.783031940460205, 2.6425812244415283, 2.703871726989746, 2.7298567295074463, 2.6118083000183105, 2.7652502059936523, 2.779222249984741, 2.6330223083496094, 2.8035004138946533, 3.0252556800842285, 2.7748899459838867, 2.562251329421997, 2.7172043323516846, 2.7923007011413574, 3.0009233951568604, 2.8009302616119385, 2.604809045791626, 2.776695966720581, 2.602717876434326, 2.792076826095581, 3.1256601810455322, 2.711052417755127]",raw,286,Pre-16
1,beta,28,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23472,0.4520524913914542,0.7255342259728867,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.745958089828491, 3.0351643562316895, 2.5649960041046143, 2.746948003768921, 2.561708927154541, 2.672214984893799, 2.7438085079193115, 2.7097420692443848, 3.0327093601226807, 2.6006476879119873, 3.051908016204834, 2.7040092945098877, 2.810272455215454, 2.9362545013427734, 2.4619157314300537, 2.6711068153381348, 2.7040441036224365, 2.7231082916259766, 2.751425266265869, 2.6248345375061035, 2.592578649520874, 2.5923407077789307, 2.5266857147216797, 2.6969399452209473, 2.7475602626800537, 2.708569288253784, 2.8783488273620605, 2.7058844566345215, 2.768242597579956, 2.62101149559021]",raw,286,Pre-16
1,beta,42,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23406,0.4649155344952992,0.689250014862122,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.8475162982940674, 2.864823818206787, 2.729130744934082, 2.6476123332977295, 2.904507637023926, 2.7082302570343018, 2.683582067489624, 2.762012004852295, 2.89737606048584, 2.703687906265259, 2.4697232246398926, 2.6568541526794434, 2.697794198989868, 2.7448039054870605, 2.7135543823242188, 2.572995901107788, 2.8000526428222656, 2.691876173019409, 2.5798990726470947, 2.7646713256835938, 2.9098713397979736, 2.703889846801758, 2.57492733001709, 2.46134614944458, 2.685347557067871, 2.936049222946167, 2.628453016281128, 3.1232364177703857, 2.936352014541626, 2.736956834793091]",raw,286,Pre-16
1,beta,6,0.004,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23552,0.4509876420025935,0.6938545397017158,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.4999966621398926, 3.126002788543701, 2.3568015098571777, 2.930222511291504, 2.4858715534210205, 2.5767879486083984, 2.6241276264190674, 2.544182777404785, 2.6541333198547363, 2.6256203651428223, 2.629788637161255, 2.496868133544922, 2.4325480461120605, 2.6243417263031006, 2.262505292892456, 2.8077759742736816, 2.630652666091919, 2.659123659133911, 2.89204740524292, 2.6716182231903076, 2.7326598167419434, 2.706662893295288, 2.7135746479034424, 2.2500245571136475, 2.3852732181549072, 2.4632914066314697, 2.6728150844573975, 2.4887216091156006, 2.6136889457702637, 2.0555832386016846]",raw,286,Pre-16
1,beta,40,0.005,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23354,0.467728742084829,0.6705070357907617,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.394624948501587, 2.539606809616089, 2.647277355194092, 2.6726677417755127, 2.8118879795074463, 2.6025595664978027, 2.37052321434021, 2.6267149448394775, 2.6187551021575928, 2.6367592811584473, 2.689016819000244, 2.6803622245788574, 2.688486337661743, 2.6220951080322266, 2.341552972793579, 2.6428380012512207, 2.5277812480926514, 2.7052361965179443, 3.0447046756744385, 2.6945273876190186, 2.683371067047119, 2.6531624794006348, 2.384019374847412, 2.5639774799346924, 2.594485282897949, 2.523778200149536, 2.7755866050720215, 2.5867059230804443, 2.9212610721588135, 2.5360920429229736]",raw,286,Pre-16
1,beta,12,0.005,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23406,0.4297314014549004,0.7248390860842399,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.702328681945801, 3.0256476402282715, 2.8247246742248535, 2.6424400806427, 2.781981945037842, 2.718628406524658, 2.5181329250335693, 2.728311538696289, 2.6414361000061035, 2.7655842304229736, 2.5085113048553467, 2.6696794033050537, 2.753307580947876, 2.6862573623657227, 2.7021584510803223, 2.7470624446868896, 2.8990049362182617, 2.798550844192505, 2.726238965988159, 2.634328842163086, 2.886693239212036, 2.6981658935546875, 3.1206157207489014, 2.636019229888916, 2.7287890911102295, 2.473342180252075, 2.495684862136841, 2.410706043243408, 2.6379685401916504, 2.7190239429473877]",raw,286,Pre-16
1,beta,18,0.006,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23274,0.4397634639608959,0.7300606368574182,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.5435760021209717, 2.5641086101531982, 2.630608558654785, 2.6966164112091064, 2.635852575302124, 2.6415536403656006, 2.498746871948242, 2.8570430278778076, 2.4742822647094727, 2.3253114223480225, 2.7453267574310303, 2.4234492778778076, 2.7136354446411133, 2.6021509170532227, 2.495737075805664, 2.8396353721618652, 2.5900685787200928, 2.5848894119262695, 2.3370256423950195, 2.592661142349243, 2.827988862991333, 3.156944513320923, 2.599147081375122, 2.5338873863220215, 2.7397589683532715, 2.387057304382324, 2.4321513175964355, 2.57845139503479, 2.197904586791992, 2.579460859298706]",raw,286,Pre-16
1,beta,15,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23458,0.4722310194741887,0.6925184333133059,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.0059542655944824, 2.762603282928467, 2.7125399112701416, 2.580660104751587, 2.6770756244659424, 2.5474939346313477, 2.5478556156158447, 2.407238483428955, 2.7675042152404785, 2.3800265789031982, 2.8578271865844727, 2.480288505554199, 2.671797513961792, 2.699436664581299, 2.9718406200408936, 2.7427289485931396, 2.795691728591919, 3.1979057788848877, 2.488274574279785, 2.779184579849243, 2.696864604949951, 2.481060743331909, 3.0611588954925537, 2.7271876335144043, 2.6778132915496826, 2.548246145248413, 2.7275424003601074, 2.8189332485198975, 2.8875443935394287, 2.4756429195404053]",raw,286,Pre-16
1,beta,1,0.002,external_raw_frozen_v1,external_frozen,0,transport_binary_strength,1,16.0,23406,0.477198239263714,0.6503374126772138,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.564439296722412, 2.8331446647644043, 2.567075490951538, 2.9632983207702637, 2.5281100273132324, 2.5727427005767822, 2.8074264526367188, 2.567596435546875, 2.5440170764923096, 2.718776226043701, 2.7699155807495117, 3.009413957595825, 2.7733287811279297, 2.7931251525878906, 2.9176371097564697, 2.507633924484253, 2.6458938121795654, 2.7587084770202637, 2.7250924110412598, 2.584648370742798, 2.8479843139648438, 2.6348888874053955, 2.8585174083709717, 2.7754244804382324, 2.793154001235962, 2.785066843032837, 2.7618775367736816, 2.7184362411499023, 2.848034620285034, 2.7888619899749756]",raw,286,Pre-16
