n_samples,model_type,seed,lambda_tau,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,scenario
1,bernoulli,18,0.006,0.4229220360225591,0.6744852369852371,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5063574910163879, 0.5070315003395081, 0.50809246301651, 0.5062475204467773, 0.5058078765869141, 0.508320152759552, 0.5079273581504822, 0.5057186484336853, 0.5074372291564941, 0.5083255171775818, 0.506843090057373, 0.5077846646308899, 0.5066245794296265, 0.507653534412384, 0.5059090256690979, 0.5061926245689392, 0.5079399943351746, 0.5076546669006348, 0.5061320066452026, 0.5078418850898743, 0.5058926939964294, 0.5067073702812195, 0.5081767439842224, 0.5069658160209656, 0.5062479376792908, 0.5063300132751465, 0.507861852645874, 0.5056530833244324, 0.5068939328193665, 0.507881760597229]",sae,Pre-32
1,bernoulli,40,0.005,0.4197459362417221,0.7376996489146022,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5101429224014282, 0.5083415508270264, 0.5101580023765564, 0.508611261844635, 0.5090292096138, 0.5075217485427856, 0.5094462037086487, 0.5070949196815491, 0.5103861093521118, 0.5098041296005249, 0.5092390775680542, 0.5096319913864136, 0.5092153549194336, 0.5084037184715271, 0.507216215133667, 0.5092272162437439, 0.5094520449638367, 0.5093762874603271, 0.5099432468414307, 0.5085930228233337, 0.5099376440048218, 0.5098249316215515, 0.5082395076751709, 0.5068249702453613, 0.51032555103302, 0.5099576115608215, 0.5098093748092651, 0.5095505118370056, 0.508314311504364, 0.510995090007782]",sae,Pre-32
1,bernoulli,30,0.01,0.4071048216124979,0.6712056303549572,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5079720616340637, 0.507213830947876, 0.5093078017234802, 0.508246660232544, 0.5088632106781006, 0.50686115026474, 0.5086884498596191, 0.5093861222267151, 0.5082947611808777, 0.5064000487327576, 0.5075640678405762, 0.5083924531936646, 0.5089844465255737, 0.5071893930435181, 0.508734405040741, 0.5085455179214478, 0.5090577006340027, 0.5095081925392151, 0.5064873695373535, 0.5058128237724304, 0.506056010723114, 0.5096219182014465, 0.5097375512123108, 0.5069867372512817, 0.5087250471115112, 0.5092874765396118, 0.5056758522987366, 0.5077399611473083, 0.5071486234664917, 0.5080031156539917]",sae,Pre-32
1,bernoulli,12,0.005,0.4080024664105403,0.7318324860808522,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5067343711853027, 0.5074317455291748, 0.5079405307769775, 0.5088672637939453, 0.5055031776428223, 0.5082905292510986, 0.508097231388092, 0.5064979195594788, 0.5065172910690308, 0.5081130862236023, 0.5085283517837524, 0.5068517923355103, 0.5085078477859497, 0.5089151859283447, 0.5062870979309082, 0.5059727430343628, 0.5090250968933105, 0.5096357464790344, 0.5091084837913513, 0.5098832845687866, 0.5083060264587402, 0.5093802809715271, 0.5058929920196533, 0.5072020292282104, 0.5057420134544373, 0.5065776109695435, 0.5055830478668213, 0.5083147287368774, 0.5068680644035339, 0.5065932869911194]",sae,Pre-32
1,bernoulli,8,0.012,0.4218673528755254,0.6922450309547085,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5087565183639526, 0.5097524523735046, 0.5098772048950195, 0.5105752348899841, 0.5099329352378845, 0.5090593099594116, 0.5102453231811523, 0.5098385810852051, 0.5077815055847168, 0.5080099701881409, 0.510165274143219, 0.5093932747840881, 0.5100162029266357, 0.5102857947349548, 0.509207546710968, 0.510117769241333, 0.5086961388587952, 0.5108395218849182, 0.5079529285430908, 0.5075335502624512, 0.5092468857765198, 0.5091114640235901, 0.5097537040710449, 0.5076242089271545, 0.5099228024482727, 0.510627806186676, 0.5093779563903809, 0.5078235864639282, 0.5110579133033752, 0.5099626183509827]",sae,Pre-32
1,bernoulli,20,0.015,0.4307172919700315,0.6707712418300654,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.03714659437537193, 0.04213519021868706, 0.04148607328534126, 0.038502126932144165, 0.04176460951566696, 0.03833752125501633, 0.043398626148700714, 0.03618929535150528, 0.03903565928339958, 0.03826211765408516, 0.04049021005630493, 0.0392906591296196, 0.03889532387256622, 0.04002821817994118, 0.04066360369324684, 0.04066653922200203, 0.039897169917821884, 0.03077072463929653, 0.03242987021803856, 0.042745787650346756, 0.03765377774834633, 0.03959515690803528, 0.039488207548856735, 0.04167876020073891, 0.038993895053863525, 0.04115436226129532, 0.04125775396823883, 0.03224312886595726, 0.03839981183409691, 0.03983725607395172]",sae,Pre-32
1,bernoulli,19,0.006,0.4069895248845892,0.7054617909048289,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.506589949131012, 0.5096627473831177, 0.5084572434425354, 0.5083237290382385, 0.5090001225471497, 0.5077981948852539, 0.5094531178474426, 0.5085611343383789, 0.5075549483299255, 0.5071403980255127, 0.5080727338790894, 0.5094088912010193, 0.5085313320159912, 0.5084494948387146, 0.5074106454849243, 0.5081397891044617, 0.5075247287750244, 0.5087132453918457, 0.508583664894104, 0.5090605020523071, 0.5092687606811523, 0.508663535118103, 0.5092814564704895, 0.508698582649231, 0.5075463652610779, 0.5065142512321472, 0.5087020993232727, 0.5087319016456604, 0.5093831419944763, 0.5085839033126831]",sae,Pre-32
1,bernoulli,41,0.005,0.4169026263003527,0.6777693546858714,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.50942063331604, 0.5102384090423584, 0.5110733509063721, 0.5098257064819336, 0.5103033185005188, 0.5080916285514832, 0.5100226402282715, 0.5096138715744019, 0.5100069642066956, 0.5082703828811646, 0.5098864436149597, 0.5083686709403992, 0.5105013847351074, 0.5097699165344238, 0.5089187622070312, 0.5104808807373047, 0.5105726718902588, 0.5080850124359131, 0.5078756809234619, 0.5098696947097778, 0.5079796314239502, 0.5089564919471741, 0.5100216269493103, 0.5079448819160461, 0.5092227458953857, 0.5107241868972778, 0.5083681344985962, 0.5098329186439514, 0.5092885494232178, 0.5107480883598328]",sae,Pre-32
1,bernoulli,13,0.005,0.4406158493660984,0.6041736883496236,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5103684663772583, 0.5115995407104492, 0.5119684338569641, 0.5103834271430969, 0.5119687914848328, 0.5084424018859863, 0.5117172002792358, 0.5115373730659485, 0.5113554000854492, 0.5101820230484009, 0.5086838603019714, 0.5113545656204224, 0.5099018216133118, 0.5103338360786438, 0.509210467338562, 0.5113922953605652, 0.5116140842437744, 0.5108794569969177, 0.5112518072128296, 0.509779691696167, 0.5114490389823914, 0.5086219906806946, 0.5112901329994202, 0.5114502906799316, 0.5099117755889893, 0.510748565196991, 0.510259211063385, 0.5085043907165527, 0.509053111076355, 0.5086358785629272]",sae,Pre-32
1,bernoulli,9,0.012,0.4308769063417711,0.6226563243551917,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5094830393791199, 0.5061258673667908, 0.5085524916648865, 0.5089350342750549, 0.509659469127655, 0.507918119430542, 0.5086436867713928, 0.5088115930557251, 0.5058563351631165, 0.5092582106590271, 0.5064592361450195, 0.5094473361968994, 0.5083282589912415, 0.5065622329711914, 0.5087007284164429, 0.508857250213623, 0.5059142112731934, 0.508482038974762, 0.5077109336853027, 0.5090473890304565, 0.5081639885902405, 0.5087703466415405, 0.5097665190696716, 0.5069936513900757, 0.5087685585021973, 0.5079019069671631, 0.5073164105415344, 0.5058983564376831, 0.5067622065544128, 0.5068429708480835]",sae,Pre-32
1,bernoulli,31,0.01,0.4167887171167703,0.6546316964285714,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5084025263786316, 0.5073142051696777, 0.5086898803710938, 0.5096138715744019, 0.509009599685669, 0.5066055655479431, 0.5079069137573242, 0.5067247152328491, 0.5086899399757385, 0.5083579421043396, 0.5076183676719666, 0.5091893672943115, 0.508573591709137, 0.5076210498809814, 0.5075141787528992, 0.5075334906578064, 0.5077826380729675, 0.506642758846283, 0.5083930492401123, 0.5067931413650513, 0.5094509124755859, 0.5087569355964661, 0.5069311261177063, 0.5078837871551514, 0.5089949369430542, 0.5098085999488831, 0.5092966556549072, 0.5083600878715515, 0.5079237818717957, 0.5097548365592957]",sae,Pre-32
1,bernoulli,21,0.015,0.4302252265840025,0.6634439634439634,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.5060681700706482, 0.5072684288024902, 0.5083166360855103, 0.508741021156311, 0.5061467885971069, 0.5090306401252747, 0.5082176327705383, 0.5089738965034485, 0.5084289908409119, 0.5057265162467957, 0.5074782371520996, 0.5092667937278748, 0.507978081703186, 0.5089940428733826, 0.5092899203300476, 0.5084446668624878, 0.5072368383407593, 0.506284773349762, 0.5091216564178467, 0.508222758769989, 0.5086584687232971, 0.5091739892959595, 0.5079721212387085, 0.5089061260223389, 0.5062393546104431, 0.5087445378303528, 0.5094062685966492, 0.5089129209518433, 0.5058019161224365, 0.5082018375396729]",sae,Pre-32
