n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,bernoulli,0,0.002,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,21078,0.4521315800138164,0.6697698430280398,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47543078660964966, 0.4805683493614197, 0.48030924797058105, 0.4782221019268036, 0.47899460792541504, 0.4815548062324524, 0.477715402841568, 0.4832816421985626, 0.47612839937210083, 0.4780736565589905, 0.4756762385368347, 0.4782479405403137, 0.4822891056537628, 0.47827696800231934, 0.4754580557346344, 0.47636812925338745, 0.4775715470314026, 0.47772714495658875, 0.48169219493865967, 0.48279839754104614, 0.4775989353656769, 0.481719434261322, 0.47716131806373596, 0.4806670546531677, 0.4763135015964508, 0.47875839471817017, 0.47792643308639526, 0.4799899160861969, 0.47975432872772217, 0.4813409745693207]",sae,286,Pre-32
1,bernoulli,28,0.002,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,21008,0.4488950475296765,0.6701139990880073,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.48806002736091614, 0.48808151483535767, 0.4919097125530243, 0.4904690384864807, 0.4867645800113678, 0.4910799264907837, 0.48660552501678467, 0.48629626631736755, 0.4874439537525177, 0.4889701306819916, 0.48888036608695984, 0.491498202085495, 0.4872857332229614, 0.4895719289779663, 0.4879912734031677, 0.4894828796386719, 0.48988714814186096, 0.49046120047569275, 0.48542243242263794, 0.4898320138454437, 0.488263875246048, 0.4857883155345917, 0.489428848028183, 0.48903730511665344, 0.4924694001674652, 0.4883121848106384, 0.4864547848701477, 0.490153431892395, 0.4909830391407013, 0.48862117528915405]",sae,286,Pre-32
1,bernoulli,42,0.002,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,20744,0.4121075309242102,0.7634784911516831,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.46831902861595154, 0.4748201072216034, 0.4728531837463379, 0.4718514680862427, 0.47180381417274475, 0.47581979632377625, 0.47263744473457336, 0.46935439109802246, 0.47537046670913696, 0.4694545865058899, 0.4705654978752136, 0.46874985098838806, 0.4749155342578888, 0.4702228307723999, 0.4696255624294281, 0.47158610820770264, 0.4720580577850342, 0.4706653952598572, 0.4696415364742279, 0.47841981053352356, 0.4742145836353302, 0.47419118881225586, 0.47230538725852966, 0.47054433822631836, 0.4711025059223175, 0.47491222620010376, 0.4709031581878662, 0.4727381765842438, 0.46815356612205505, 0.4714627265930176]",sae,286,Pre-32
1,bernoulli,6,0.004,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,20772,0.4177521474156412,0.7424016744239766,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.40263888239860535, 0.40559765696525574, 0.40552669763565063, 0.40650299191474915, 0.4028427302837372, 0.40544992685317993, 0.40311652421951294, 0.40385520458221436, 0.4047945439815521, 0.4060153663158417, 0.40438514947891235, 0.4071110188961029, 0.4031606614589691, 0.40585172176361084, 0.40333646535873413, 0.4040605425834656, 0.40463143587112427, 0.4063381552696228, 0.40503692626953125, 0.4059852063655853, 0.40447473526000977, 0.4024272859096527, 0.4066389203071594, 0.4032391607761383, 0.40866807103157043, 0.4030211269855499, 0.4016997516155243, 0.4043601155281067, 0.4028593599796295, 0.40467312932014465]",sae,286,Pre-32
1,bernoulli,14,0.002,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,21130,0.4459654388016122,0.6712105757449481,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.484343558549881, 0.4888826310634613, 0.4879259467124939, 0.48893216252326965, 0.4834822416305542, 0.4838683307170868, 0.48281142115592957, 0.48218661546707153, 0.4853597581386566, 0.4837878942489624, 0.4857490062713623, 0.48778846859931946, 0.4852922856807709, 0.48515185713768005, 0.48411208391189575, 0.48941516876220703, 0.4837014377117157, 0.4863602817058563, 0.4832873046398163, 0.486974835395813, 0.4851919412612915, 0.4864043891429901, 0.4840135872364044, 0.48293501138687134, 0.48314598202705383, 0.48463618755340576, 0.483001708984375, 0.48678332567214966, 0.48807385563850403, 0.4840443730354309]",sae,286,Pre-32
1,bernoulli,20,0.004,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,21196,0.4130043688743925,0.7782924054669156,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4135512709617615, 0.4124118387699127, 0.4107953906059265, 0.41237226128578186, 0.40925294160842896, 0.4113612174987793, 0.40991565585136414, 0.40807977318763733, 0.41227176785469055, 0.4111692011356354, 0.41119346022605896, 0.41002705693244934, 0.412648469209671, 0.41245341300964355, 0.4102509021759033, 0.40977147221565247, 0.4151928126811981, 0.4079055190086365, 0.4093955457210541, 0.40810835361480713, 0.4085320830345154, 0.41141483187675476, 0.4095340967178345, 0.40985092520713806, 0.4117390215396881, 0.41246503591537476, 0.40820202231407166, 0.41015610098838806, 0.4121047556400299, 0.41304370760917664]",sae,286,Pre-32
1,bernoulli,34,0.004,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,21300,0.4462760572813187,0.614301531110237,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4080211818218231, 0.4121662974357605, 0.40778037905693054, 0.41358837485313416, 0.4086664021015167, 0.40930795669555664, 0.41462740302085876, 0.40773698687553406, 0.4076235592365265, 0.4072895348072052, 0.41335687041282654, 0.4121148884296417, 0.4118991196155548, 0.40848520398139954, 0.40939775109291077, 0.4108794033527374, 0.40954697132110596, 0.4124901294708252, 0.4093860685825348, 0.4068881571292877, 0.4136259853839874, 0.4083407521247864, 0.41169726848602295, 0.40816542506217957, 0.4093753397464752, 0.4074045717716217, 0.4113976061344147, 0.4132029712200165, 0.41296491026878357, 0.4137214720249176]",sae,286,Pre-32
1,bernoulli,12,0.005,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,20984,0.4608637540628289,0.6409624329159211,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.370416522026062, 0.3660007417201996, 0.36854997277259827, 0.36632657051086426, 0.36836814880371094, 0.3698042929172516, 0.3691062331199646, 0.36871063709259033, 0.36551421880722046, 0.36791670322418213, 0.3673270642757416, 0.36896276473999023, 0.36727944016456604, 0.37024959921836853, 0.36445915699005127, 0.3654741048812866, 0.3678118586540222, 0.3673223853111267, 0.3654760718345642, 0.368686705827713, 0.36662033200263977, 0.3709604740142822, 0.3689506947994232, 0.3657018542289734, 0.370330274105072, 0.36947116255760193, 0.3670347034931183, 0.36996370553970337, 0.36658358573913574, 0.36745452880859375]",sae,286,Pre-32
1,bernoulli,40,0.005,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,20932,0.4364897439741508,0.6395859685845585,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.37530145049095154, 0.3767240345478058, 0.3754045367240906, 0.37562406063079834, 0.37340542674064636, 0.37384530901908875, 0.37254300713539124, 0.373160183429718, 0.37505266070365906, 0.37415754795074463, 0.374339759349823, 0.37475478649139404, 0.3748251497745514, 0.3725479245185852, 0.37518540024757385, 0.3793242871761322, 0.3735116720199585, 0.3748757243156433, 0.37589117884635925, 0.37449198961257935, 0.37633630633354187, 0.3746795356273651, 0.37445932626724243, 0.3759806156158447, 0.3778877556324005, 0.3758549988269806, 0.37444785237312317, 0.37335658073425293, 0.37175601720809937, 0.3738339841365814]",sae,286,Pre-32
1,bernoulli,29,0.002,train_items_only_refit_v1,train_items_only,872,transport_binary_strength,1,32.0,21008,0.4366463097833441,0.6607592070526234,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.476365864276886, 0.47335606813430786, 0.4777728319168091, 0.4738682806491852, 0.48164448142051697, 0.47785481810569763, 0.4768655598163605, 0.48022809624671936, 0.4796070456504822, 0.4824821352958679, 0.47465789318084717, 0.47972118854522705, 0.4775165617465973, 0.47356730699539185, 0.4766756296157837, 0.48064208030700684, 0.47629326581954956, 0.4735639691352844, 0.4790925681591034, 0.47587376832962036, 0.4792514443397522, 0.4766297936439514, 0.47978726029396057, 0.4772438108921051, 0.48169440031051636, 0.47635212540626526, 0.4762009382247925, 0.47513657808303833, 0.47861436009407043, 0.476967990398407]",sae,286,Pre-32
