n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,bernoulli,0,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23500,0.4514270572745822,0.6952873685183346,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4749962091445923, 0.47366178035736084, 0.4741402566432953, 0.47489285469055176, 0.4754805266857147, 0.4752095639705658, 0.47726067900657654, 0.47770532965660095, 0.47339415550231934, 0.47508764266967773, 0.4724780023097992, 0.47525864839553833, 0.4750792682170868, 0.4742959439754486, 0.4741487503051758, 0.47518113255500793, 0.4744512438774109, 0.4748833477497101, 0.47341135144233704, 0.47381630539894104, 0.4755226969718933, 0.4733836054801941, 0.4738065004348755, 0.47436195611953735, 0.4733162224292755, 0.4745482802391052, 0.474055677652359, 0.47505590319633484, 0.4752330482006073, 0.47601890563964844]",sae,286,Pre-4
1,bernoulli,14,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23590,0.4410367448748672,0.6422756536591774,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4906308948993683, 0.48885148763656616, 0.48739418387413025, 0.4909687340259552, 0.4867763817310333, 0.4876718521118164, 0.4866858422756195, 0.485321044921875, 0.48949748277664185, 0.48717400431632996, 0.4867376685142517, 0.4882577955722809, 0.49099135398864746, 0.4889296591281891, 0.48757204413414, 0.48794910311698914, 0.48609548807144165, 0.4884452819824219, 0.4859645664691925, 0.48620715737342834, 0.4902441203594208, 0.4861137866973877, 0.48767387866973877, 0.48651161789894104, 0.488518089056015, 0.4880920350551605, 0.48696327209472656, 0.486575722694397, 0.4884636402130127, 0.4866131842136383]",sae,286,Pre-4
1,bernoulli,28,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23472,0.4545131171980639,0.6858182570416486,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47727683186531067, 0.4793557822704315, 0.47994327545166016, 0.4791817367076874, 0.47752732038497925, 0.479496568441391, 0.47789159417152405, 0.4787174165248871, 0.47723737359046936, 0.47803622484207153, 0.4792053997516632, 0.4783572256565094, 0.4779965281486511, 0.4806782007217407, 0.4773091971874237, 0.47998374700546265, 0.47994646430015564, 0.4781076908111572, 0.47898176312446594, 0.4772464632987976, 0.47769895195961, 0.47701534628868103, 0.4780876934528351, 0.4774765968322754, 0.47884300351142883, 0.4798363149166107, 0.47679847478866577, 0.48103806376457214, 0.47957685589790344, 0.4772028625011444]",sae,286,Pre-4
1,bernoulli,42,0.002,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23406,0.4609242938461311,0.6437895601922473,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.47341370582580566, 0.47306573390960693, 0.47582173347473145, 0.4738961458206177, 0.4750974178314209, 0.47392770648002625, 0.47237110137939453, 0.4716847538948059, 0.47482946515083313, 0.4733178913593292, 0.47315487265586853, 0.47226741909980774, 0.4761895537376404, 0.4733079969882965, 0.4740212559700012, 0.4733460247516632, 0.4740254580974579, 0.47097814083099365, 0.47409841418266296, 0.474286824464798, 0.47507232427597046, 0.47299647331237793, 0.47397276759147644, 0.47420012950897217, 0.47420984506607056, 0.4715821146965027, 0.4751552939414978, 0.472748339176178, 0.471835196018219, 0.47523337602615356]",sae,286,Pre-4
1,bernoulli,6,0.004,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23552,0.4444336668419741,0.6809620888524542,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4063444137573242, 0.4088354706764221, 0.40647757053375244, 0.4068150520324707, 0.4055861532688141, 0.40724846720695496, 0.4100898504257202, 0.4074479341506958, 0.40682464838027954, 0.407461941242218, 0.40737539529800415, 0.40719226002693176, 0.40736857056617737, 0.41008588671684265, 0.4042559862136841, 0.409464567899704, 0.40637314319610596, 0.40560290217399597, 0.40691977739334106, 0.4066120386123657, 0.4065572917461395, 0.4019683301448822, 0.4065758287906647, 0.4072665274143219, 0.4117937386035919, 0.4088459014892578, 0.4058299958705902, 0.40735524892807007, 0.4076610207557678, 0.4069874584674835]",sae,286,Pre-4
1,bernoulli,34,0.004,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23326,0.4463990991945646,0.7024197361720701,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.4070621132850647, 0.4083386957645416, 0.4071291387081146, 0.4091782867908478, 0.4062816798686981, 0.4069369435310364, 0.41071659326553345, 0.40676090121269226, 0.40638840198516846, 0.407371461391449, 0.4086028039455414, 0.4082060158252716, 0.4076586365699768, 0.4076063632965088, 0.40805527567863464, 0.40883955359458923, 0.40698015689849854, 0.4104931950569153, 0.4072268605232239, 0.4059711992740631, 0.40737178921699524, 0.4099768102169037, 0.40729036927223206, 0.4091978967189789, 0.4086860716342926, 0.4065992832183838, 0.4093315005302429, 0.4096018970012665, 0.4096923768520355, 0.4102807939052582]",sae,286,Pre-4
1,bernoulli,12,0.005,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23406,0.4104758334556058,0.7212700650499424,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3664843738079071, 0.3668383061885834, 0.36649441719055176, 0.36145880818367004, 0.36241263151168823, 0.36585813760757446, 0.36524698138237, 0.3634200990200043, 0.36917808651924133, 0.3633069097995758, 0.36338087916374207, 0.3655334413051605, 0.3644524812698364, 0.3634170889854431, 0.36371326446533203, 0.36464545130729675, 0.3660125136375427, 0.363175630569458, 0.3628230392932892, 0.3643074333667755, 0.3633592426776886, 0.36773476004600525, 0.36661478877067566, 0.3631352186203003, 0.3653303384780884, 0.36818382143974304, 0.3645559847354889, 0.3655230700969696, 0.3670543432235718, 0.36390504240989685]",sae,286,Pre-4
1,bernoulli,40,0.005,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23354,0.435353445713904,0.6866284924033853,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.3757569193840027, 0.37774303555488586, 0.37555667757987976, 0.37766313552856445, 0.37271595001220703, 0.3751176595687866, 0.3764589726924896, 0.37634414434432983, 0.37534594535827637, 0.37400418519973755, 0.374362975358963, 0.3765862286090851, 0.37317726016044617, 0.37311676144599915, 0.3767552673816681, 0.3785962462425232, 0.3743576407432556, 0.3752065598964691, 0.3761679530143738, 0.37534064054489136, 0.3767196536064148, 0.3762465715408325, 0.3736102283000946, 0.37751269340515137, 0.37923145294189453, 0.3742768466472626, 0.3777486979961395, 0.375706285238266, 0.37355926632881165, 0.37540364265441895]",sae,286,Pre-4
1,bernoulli,48,0.004,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23642,0.4883575684985891,0.5702531220124283,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.41239967942237854, 0.415913850069046, 0.41427117586135864, 0.4153604209423065, 0.4123810827732086, 0.41172632575035095, 0.4154384136199951, 0.4116179347038269, 0.4118179380893707, 0.41395822167396545, 0.4115182161331177, 0.41208648681640625, 0.4160049557685852, 0.4135796129703522, 0.4110383689403534, 0.41191190481185913, 0.4105788469314575, 0.41414886713027954, 0.4139668345451355, 0.4129205644130707, 0.41212159395217896, 0.4115161895751953, 0.41143912076950073, 0.4131559133529663, 0.41458451747894287, 0.4150501787662506, 0.4114018678665161, 0.4132493734359741, 0.41299378871917725, 0.4140297770500183]",sae,286,Pre-4
1,bernoulli,24,0.008,train_items_only_refit_v1,train_items_only,969,transport_binary_strength,1,4.0,23420,0.4474977116020126,0.6378541191794205,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[0.2655956745147705, 0.26899537444114685, 0.26488497853279114, 0.2691422402858734, 0.26644575595855713, 0.2651258409023285, 0.2662026286125183, 0.2660118043422699, 0.2681051194667816, 0.26463714241981506, 0.2666224241256714, 0.26535436511039734, 0.26793572306632996, 0.2666921615600586, 0.26721659302711487, 0.2669990360736847, 0.2654038369655609, 0.26620766520500183, 0.2670624852180481, 0.2689782381057739, 0.2677623927593231, 0.2655527889728546, 0.26882973313331604, 0.2677081227302551, 0.26495978236198425, 0.26592665910720825, 0.26828518509864807, 0.26723843812942505, 0.26499906182289124, 0.26852932572364807]",sae,286,Pre-4
