n_samples,model_type,seed,lambda_tau,embedding_protocol,embedding_fit_scope,embedding_fit_item_count,pre_population_match,pre_population_match_version,effective_pre_weight_sum,observed_train_pairs,rmse_amortized,auc_amortized,active_dims,active_indices,tau_values,embedding_type,user_count,scenario
1,beta,0,0.002,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16216,0.5104801826142602,0.5891903238415102,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.1812684535980225, 3.0400679111480713, 3.1611618995666504, 3.0615155696868896, 3.050269603729248, 3.223851442337036, 3.0300986766815186, 3.1833019256591797, 3.0703887939453125, 2.948887825012207, 2.9920034408569336, 2.983038902282715, 3.1622793674468994, 3.140021324157715, 3.1416711807250977, 3.161141872406006, 2.9855217933654785, 3.0302891731262207, 3.2050974369049072, 3.0863254070281982, 3.072197437286377, 3.167693853378296, 3.1387319564819336, 3.0064857006073, 3.1445324420928955, 3.093726634979248, 3.066664457321167, 3.164626359939575, 3.0938947200775146, 3.0435826778411865]",sae,286,Pre-32
1,beta,42,0.002,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16074,0.4781337849427026,0.7062619518882475,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.0203821659088135, 3.0363025665283203, 2.946129083633423, 2.946201801300049, 2.989234209060669, 3.0183703899383545, 2.955256223678589, 2.991361141204834, 2.9054818153381348, 2.9713785648345947, 3.038072347640991, 3.0327200889587402, 2.921917676925659, 3.025569200515747, 3.0155255794525146, 2.9617104530334473, 3.0257582664489746, 2.9791338443756104, 2.9694855213165283, 2.9577577114105225, 3.0983519554138184, 2.946439027786255, 2.8624274730682373, 2.9573094844818115, 3.02994441986084, 3.056633710861206, 3.0252327919006348, 3.0230953693389893, 3.036834716796875, 2.970977306365967]",sae,286,Pre-32
1,beta,14,0.002,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16206,0.4792135481774415,0.5873200799036777,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.122845411300659, 3.0986921787261963, 3.1664113998413086, 3.1580898761749268, 3.132025718688965, 3.157844305038452, 3.090181589126587, 3.1466217041015625, 3.153419256210327, 3.1209933757781982, 3.143521547317505, 3.201831817626953, 3.1250720024108887, 3.1258983612060547, 3.1196155548095703, 3.1529040336608887, 3.1004910469055176, 3.0691652297973633, 3.184877634048462, 3.16182541847229, 3.114896297454834, 3.061750888824463, 3.2103278636932373, 3.097750663757324, 3.1790239810943604, 3.1368353366851807, 3.1166160106658936, 3.156919479370117, 3.098677635192871, 3.126312732696533]",sae,286,Pre-32
1,beta,6,0.004,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16244,0.4870753082868461,0.5882068708509927,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.019754648208618, 3.0070693492889404, 3.152085542678833, 3.128286361694336, 3.1033825874328613, 3.1875882148742676, 3.142615795135498, 3.1303043365478516, 3.0430328845977783, 3.1477363109588623, 3.1188979148864746, 3.132340431213379, 3.0503854751586914, 3.008897542953491, 3.1589925289154053, 3.043464183807373, 3.173698902130127, 3.059751510620117, 3.173935890197754, 3.121913194656372, 3.0719046592712402, 3.1719963550567627, 3.1070141792297363, 3.176037073135376, 3.002697229385376, 3.098853588104248, 3.109896183013916, 3.2097835540771484, 3.202234983444214, 3.018272876739502]",sae,286,Pre-32
1,beta,28,0.002,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,15966,0.4812907344125582,0.6246165781933479,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.090667486190796, 3.126284599304199, 3.029238700866699, 3.10770845413208, 3.1390175819396973, 3.060159921646118, 3.108823537826538, 3.1022770404815674, 3.103585958480835, 3.084699869155884, 3.164057970046997, 3.0773708820343018, 3.146235466003418, 3.025357484817505, 3.1051485538482666, 3.1516151428222656, 3.100559949874878, 3.01078724861145, 3.0820322036743164, 3.0854299068450928, 3.0849878787994385, 3.038341999053955, 3.151226043701172, 3.0479798316955566, 3.0972959995269775, 3.008922815322876, 3.0417375564575195, 3.0913755893707275, 3.072530746459961, 3.0944480895996094]",sae,286,Pre-32
1,beta,20,0.004,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16550,0.4814974619262763,0.627844044036105,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.013572931289673, 3.1114704608917236, 3.1087357997894287, 3.090569019317627, 3.063566207885742, 3.186847686767578, 3.254674196243286, 3.094689130783081, 3.1275973320007324, 3.1095004081726074, 2.9770262241363525, 3.1694717407226562, 3.187077045440674, 3.0880026817321777, 3.136176347732544, 3.1261024475097656, 3.1484220027923584, 3.1421494483947754, 3.1524136066436768, 3.157893657684326, 3.1263375282287598, 3.1194281578063965, 3.1317594051361084, 3.104861259460449, 3.0914969444274902, 3.084111452102661, 3.1507160663604736, 3.1231069564819336, 3.044574499130249, 3.1390748023986816]",sae,286,Pre-32
1,beta,34,0.004,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16960,0.5058738382400132,0.6110056683859875,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.016331195831299, 2.979090929031372, 3.043163537979126, 3.040236473083496, 3.038114547729492, 2.934246301651001, 3.003725528717041, 3.0282249450683594, 2.934993267059326, 2.90326189994812, 2.9835803508758545, 2.9852113723754883, 3.0261642932891846, 3.0061638355255127, 2.9515342712402344, 2.9782299995422363, 2.990129232406616, 3.039294958114624, 3.006624221801758, 2.9260666370391846, 3.0218379497528076, 2.99967098236084, 2.936251163482666, 3.0246288776397705, 3.010725975036621, 3.0224781036376953, 3.0271856784820557, 2.9824161529541016, 2.9537599086761475, 2.9884588718414307]",sae,286,Pre-32
1,beta,40,0.005,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16220,0.5134229745975281,0.6237490712361846,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.026949405670166, 3.04664945602417, 2.9137094020843506, 3.0237600803375244, 2.976663827896118, 3.0585522651672363, 2.96311354637146, 3.0497915744781494, 3.0549120903015137, 3.0954489707946777, 3.0266640186309814, 3.0570409297943115, 2.9990017414093018, 3.0187876224517822, 2.9248409271240234, 3.115910530090332, 2.989957094192505, 3.011709690093994, 2.9041638374328613, 3.042733907699585, 2.8948311805725098, 2.9315121173858643, 2.9990005493164062, 2.926434278488159, 2.998680591583252, 2.9460740089416504, 2.993373394012451, 2.9967057704925537, 2.9939348697662354, 2.994781494140625]",sae,286,Pre-32
1,beta,48,0.004,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16046,0.4745460750611652,0.6615625485048691,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[3.022010564804077, 3.0298404693603516, 2.9880638122558594, 3.1120712757110596, 3.1234195232391357, 3.164755344390869, 3.0472002029418945, 3.0223231315612793, 3.1071488857269287, 3.133124828338623, 3.078124523162842, 3.068183183670044, 3.054091691970825, 3.0995399951934814, 3.127122163772583, 3.0182085037231445, 3.0116660594940186, 3.0955066680908203, 3.0986735820770264, 3.1402878761291504, 2.9901270866394043, 3.0834851264953613, 3.1198513507843018, 3.05759334564209, 3.1742141246795654, 3.00685977935791, 3.0363149642944336, 3.1395492553710938, 3.035027503967285, 3.0790343284606934]",sae,286,Pre-32
1,beta,24,0.008,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16414,0.4787888039084588,0.6706153010137723,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.960116386413574, 3.0819809436798096, 3.0123403072357178, 2.994150161743164, 3.0502991676330566, 3.057199716567993, 3.0448524951934814, 2.905212879180908, 3.059630870819092, 3.056983470916748, 2.944488525390625, 2.93479585647583, 3.008391857147217, 3.007643461227417, 3.0392813682556152, 3.044163703918457, 3.0279064178466797, 2.9767796993255615, 3.0127224922180176, 3.057565689086914, 2.9754834175109863, 2.8960161209106445, 3.03176212310791, 3.042834758758545, 3.0160629749298096, 3.083696126937866, 2.9573447704315186, 3.019632339477539, 3.0822818279266357, 3.055356979370117]",sae,286,Pre-32
1,beta,32,0.006,train_items_only_refit_v1,train_items_only,678,transport_binary_strength,1,32.0,16262,0.4867387746056295,0.6037110632739048,30,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[2.95430588722229, 2.8646974563598633, 2.858912706375122, 2.8369743824005127, 2.8996617794036865, 2.9064621925354004, 2.9858591556549072, 2.9221713542938232, 2.904996871948242, 2.9817018508911133, 2.9142796993255615, 2.9451119899749756, 2.9245028495788574, 2.938197135925293, 2.887158155441284, 3.0403833389282227, 2.9895806312561035, 2.8959383964538574, 2.8900811672210693, 2.992399215698242, 2.849853038787842, 2.976271390914917, 3.044064521789551, 2.834843397140503, 3.003366231918335, 2.9486167430877686, 2.867554187774658, 2.8500566482543945, 2.864531993865967, 2.906128406524658]",sae,286,Pre-32
