seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_2pl,rmse_2pl
0,bernoulli,1,64,1.0,pca,64,0.6195343192053403,0.5300105727238813
1,bernoulli,1,64,1.0,pca,64,0.6279668095103178,0.5156614695280745
10,bernoulli,1,64,1.0,pca,64,0.5831856184290789,0.518038620414891
11,bernoulli,1,64,1.0,pca,64,0.5543644940768835,0.5522846238838298
12,bernoulli,1,64,1.0,pca,64,0.5600901199885948,0.5011661758158269
13,bernoulli,1,64,1.0,pca,64,0.5685524733859249,0.5920947744600535
14,bernoulli,1,64,1.0,pca,64,0.556449556831986,0.4857653383414101
15,bernoulli,1,64,1.0,pca,64,0.5707251703249611,0.5195880084476235
16,bernoulli,1,64,1.0,pca,64,0.59148923992674,0.536239279926627
17,bernoulli,1,64,1.0,pca,64,0.5696002776922953,0.530752931186957
18,bernoulli,1,64,1.0,pca,64,0.5823490908758017,0.5353507085415509
19,bernoulli,1,64,1.0,pca,64,0.5974495084335836,0.469303567177241
2,bernoulli,1,64,1.0,pca,64,0.5700889959196922,0.5616984219115835
20,bernoulli,1,64,1.0,pca,64,0.5862415472643874,0.500149644869444
21,bernoulli,1,64,1.0,pca,64,0.6274337609214152,0.5217887190346866
22,bernoulli,1,64,1.0,pca,64,0.6040924010870716,0.5344618587284937
23,bernoulli,1,64,1.0,pca,64,0.5870038471371883,0.5576961481470585
24,bernoulli,1,64,1.0,pca,64,0.573415777060576,0.4927828231081001
25,bernoulli,1,64,1.0,pca,64,0.6168795931425017,0.599482047512933
26,bernoulli,1,64,1.0,pca,64,0.5670889590986369,0.564695339306796
27,bernoulli,1,64,1.0,pca,64,0.5815150644124487,0.4864868456580365
28,bernoulli,1,64,1.0,pca,64,0.6032525600910255,0.5110437440214405
29,bernoulli,1,64,1.0,pca,64,0.6198869758471193,0.4814300225172534
3,bernoulli,1,64,1.0,pca,64,0.6144850222721978,0.4806080127883904
30,bernoulli,1,64,1.0,pca,64,0.5537941485949337,0.5808830199979871
31,bernoulli,1,64,1.0,pca,64,0.5935740301786439,0.525791029817904
32,bernoulli,1,64,1.0,pca,64,0.5709946681375252,0.5507609857389084
33,bernoulli,1,64,1.0,pca,64,0.5817897699150085,0.4985644773702537
34,bernoulli,1,64,1.0,pca,64,0.575004849435873,0.5772983724185606
35,bernoulli,1,64,1.0,pca,64,0.5902164330820574,0.5490234136157335
36,bernoulli,1,64,1.0,pca,64,0.554186197803219,0.5337148313974288
37,bernoulli,1,64,1.0,pca,64,0.6365462150384472,0.5692034349624723
38,bernoulli,1,64,1.0,pca,64,0.5774150799695354,0.4817108134093216
39,bernoulli,1,64,1.0,pca,64,0.6001307579441477,0.5068286755579977
4,bernoulli,1,64,1.0,pca,64,0.5842805915939486,0.5930788111414025
40,bernoulli,1,64,1.0,pca,64,0.6059815133472415,0.4940432878603699
41,bernoulli,1,64,1.0,pca,64,0.5972231163758879,0.5945341052514388
42,bernoulli,1,64,1.0,pca,64,0.5828079148025208,0.5027441478807867
43,bernoulli,1,64,1.0,pca,64,0.55622090437361,0.5405859773256695
44,bernoulli,1,64,1.0,pca,64,0.61201631578017,0.4921691527807112
45,bernoulli,1,64,1.0,pca,64,0.6133819453909408,0.5750287370135011
46,bernoulli,1,64,1.0,pca,64,0.6079739618751898,0.4882726134490104
47,bernoulli,1,64,1.0,pca,64,0.6069705201568829,0.4933293735929469
48,bernoulli,1,64,1.0,pca,64,0.5717189676454932,0.5452736160274748
49,bernoulli,1,64,1.0,pca,64,0.5929745093205616,0.5147911612203173
5,bernoulli,1,64,1.0,pca,64,0.586138058418707,0.5961508397353117
6,bernoulli,1,64,1.0,pca,64,0.5588166471669731,0.5777906791482524
7,bernoulli,1,64,1.0,pca,64,0.5902168672567154,0.5062082626657135
8,bernoulli,1,64,1.0,pca,64,0.5618457446432235,0.5209122852248379
9,bernoulli,1,64,1.0,pca,64,0.6118545349174151,0.488571584215215
