seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
2,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.6010413861208368,0.4433922104292805
3,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.5049572649572649,0.4579122968360492
1,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5880161770966369,0.4332570839548743
0,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6659147869674186,0.4889522214875144
5,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4651595969858606,0.4838293447653142
4,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.4721487603305785,0.4790983427789412
8,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.3741427482854966,0.4759181309626665
6,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5274276859504132,0.4647041078997504
7,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.3658264462809918,0.5071346747622888
10,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5015127803860198,0.5027208505751294
16,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.5674603174603176,0.4682391402894145
23,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.5845081834386647,0.4591648639734724
14,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6054651162790697,0.4624205185924602
26,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5545912885362426,0.4673218906995237
46,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4660449545671927,0.4928198188910734
30,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5524511049022098,0.4581548458853486
42,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.609000337723742,0.459836631224654
15,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4104818373884005,0.4873100540385471
39,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4261373035566584,0.5000011920914744
22,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6175807663410969,0.4476631263883829
34,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.3853558780986583,0.4898764683019345
38,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5323094755143436,0.4407017241971171
31,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6165525114155251,0.4244286988881771
11,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.3911362617660242,0.4894312324712054
27,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.3676602189027328,0.477629280539377
40,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5882155728773782,0.4642162896614012
35,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.3830213116684328,0.5112554768126728
24,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.4973031283710895,0.4681374202909002
18,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6189648033126294,0.4675672072535798
36,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.561897640412097,0.4376530039134747
32,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.4326530612244897,0.4740943311843996
19,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4919666145018257,0.4732544006711325
33,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.4028245192307692,0.4698629359751334
47,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.589074518236705,0.470409111542875
12,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5225504799735187,0.4868477186656703
45,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.5737664574873877,0.4688919011545197
43,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6214426599041983,0.4607818793405379
44,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4566082465498264,0.4898892437800396
25,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.3843382794407754,0.4725509715465729
41,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4672865013774105,0.4872983729501871
48,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4269528920691712,0.5048413730047071
37,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6019102540998378,0.4675839862758873
49,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.525105680998041,0.4445794915703932
20,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5337389882844428,0.484515769561123
29,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.4755994596420128,0.4585237667357297
9,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5972399693329926,0.4801703045641128
28,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5381455399061033,0.4647657024353342
13,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5972210666444795,0.4790168006086931
21,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5291766586730615,0.4442054305359103
17,bernoulli,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.6084869641103959,0.4662539305278384
