seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
1,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.543813565851654,0.4753397749048145
2,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4903606576608513,0.4615362771758939
4,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5014958326433736,0.4821601497485762
0,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5551303948985286,0.4639864316561686
6,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,10,0.48200299147143,0.4728731020496829
30,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5108988474512743,0.4865323752336894
8,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5336096098713776,0.4638189350931394
35,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5310915042164122,0.4778715509085149
27,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5087365349281263,0.4767273477074714
3,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5047140573115239,0.4795226108820654
34,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4713414486287253,0.4758982015103629
7,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5405481200183186,0.4714698245656447
42,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,10,0.4854200950261214,0.4805511931112337
43,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4833005318880512,0.4751044622798246
22,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5391889367790774,0.4658716521371845
46,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4888883104511335,0.4722099561672094
47,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5711222798272242,0.4729890046132076
12,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.502014803053686,0.478100608378041
31,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5125472739922889,0.4786343641294115
18,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.4923238758013392,0.4796748386414397
17,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5221683813443072,0.4771121092062573
40,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.499241613133476,0.4656078405866702
19,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5107007053896175,0.4609553770057687
10,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,20,0.4686177918399412,0.4783271729867893
26,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.488011988011988,0.4708404657223143
37,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,10,0.584640698706634,0.4604194121760792
44,bernoulli,1,32,1.0,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5484114566027705,0.4647807711725302
