seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_2pl,rmse_2pl
0,bernoulli,1,32,1.0,1.0,raw,32,50,0.5774457470374297,0.5927412096592115
4,bernoulli,1,32,1.0,1.0,raw,32,50,0.5764343904930367,0.646713492829954
6,bernoulli,1,32,1.0,1.0,raw,32,20,0.5707171603115319,0.5588391438574715
12,bernoulli,1,32,1.0,1.0,raw,32,50,0.588938053097345,0.6268801067292618
2,bernoulli,1,32,1.0,1.0,raw,32,50,0.5890884529182402,0.685377507603323
8,bernoulli,1,32,1.0,1.0,raw,32,50,0.5852852173084254,0.5909181876332664
10,bernoulli,1,32,1.0,1.0,raw,32,50,0.5901754994651169,0.6623735829064795
14,bernoulli,1,32,1.0,1.0,raw,32,50,0.5402714932126697,0.5755170301308838
1,bernoulli,1,32,1.0,1.0,raw,32,50,0.5720338459256329,0.5999200121888784
7,bernoulli,1,32,1.0,1.0,raw,32,50,0.615279269602578,0.6496926305365543
5,bernoulli,1,32,1.0,1.0,raw,32,10,0.5825146221185825,0.5901719752714568
3,bernoulli,1,32,1.0,1.0,raw,32,50,0.5527314982494266,0.6715140371112356
13,bernoulli,1,32,1.0,1.0,raw,32,20,0.6149413614813697,0.6346612228220522
9,bernoulli,1,32,1.0,1.0,raw,32,50,0.6217727136943626,0.6090495145068149
11,bernoulli,1,32,1.0,1.0,raw,32,50,0.5826750156834498,0.6583537486890565
15,bernoulli,1,32,1.0,1.0,raw,32,50,0.550970023812859,0.6278789968483001
16,bernoulli,1,32,1.0,1.0,raw,32,20,0.5505806250487102,0.5632636132303178
18,bernoulli,1,32,1.0,1.0,raw,32,10,0.6042090535459236,0.4925359975662127
20,bernoulli,1,32,1.0,1.0,raw,32,50,0.5739334511269067,0.5959760947249707
22,bernoulli,1,32,1.0,1.0,raw,32,20,0.5494644538606404,0.6360538498075784
24,bernoulli,1,32,1.0,1.0,raw,32,50,0.6274373584288817,0.6217435640386209
28,bernoulli,1,32,1.0,1.0,raw,32,50,0.5604386639628931,0.6405118284048967
30,bernoulli,1,32,1.0,1.0,raw,32,20,0.5547038729483244,0.6235765698808846
26,bernoulli,1,32,1.0,1.0,raw,32,50,0.6297012536676447,0.5453015443854513
17,bernoulli,1,32,1.0,1.0,raw,32,50,0.5043868334983647,0.6606980983673277
19,bernoulli,1,32,1.0,1.0,raw,32,50,0.6072154471544715,0.6424119032863285
32,bernoulli,1,32,1.0,1.0,raw,32,50,0.5599393066241608,0.5882583178018467
34,bernoulli,1,32,1.0,1.0,raw,32,50,0.6068708122722464,0.4912077674232558
21,bernoulli,1,32,1.0,1.0,raw,32,50,0.5562741846323936,0.6158761688462894
23,bernoulli,1,32,1.0,1.0,raw,32,50,0.5917775308567825,0.6380442530686862
25,bernoulli,1,32,1.0,1.0,raw,32,50,0.6035658775705404,0.6692856194511645
31,bernoulli,1,32,1.0,1.0,raw,32,20,0.5714551858644077,0.6176672652189
29,bernoulli,1,32,1.0,1.0,raw,32,20,0.5595421927513852,0.6003577814692848
27,bernoulli,1,32,1.0,1.0,raw,32,20,0.5914121685606061,0.6040233463992102
33,bernoulli,1,32,1.0,1.0,raw,32,50,0.5511860174781523,0.5800303943661222
35,bernoulli,1,32,1.0,1.0,raw,32,50,0.5923831819349415,0.5375359800405741
38,bernoulli,1,32,1.0,1.0,raw,32,50,0.5648420373952289,0.4599337073686946
36,bernoulli,1,32,1.0,1.0,raw,32,50,0.5873634626286476,0.6767510968380154
42,bernoulli,1,32,1.0,1.0,raw,32,10,0.5790608343507131,0.621532453191447
40,bernoulli,1,32,1.0,1.0,raw,32,20,0.6238174273858922,0.6423085815556633
44,bernoulli,1,32,1.0,1.0,raw,32,10,0.5487743026204565,0.6419032300704697
46,bernoulli,1,32,1.0,1.0,raw,32,50,0.5946506001006155,0.6446038869906887
39,bernoulli,1,32,1.0,1.0,raw,32,50,0.5649935055741256,0.6770655165064311
37,bernoulli,1,32,1.0,1.0,raw,32,10,0.5756502187651921,0.6498380495937185
48,bernoulli,1,32,1.0,1.0,raw,32,50,0.5583474757967593,0.5341444823329586
43,bernoulli,1,32,1.0,1.0,raw,32,50,0.5333809032691339,0.6180535529553072
47,bernoulli,1,32,1.0,1.0,raw,32,20,0.5982875756165659,0.5928114198585367
41,bernoulli,1,32,1.0,1.0,raw,32,20,0.6719609738946999,0.6504227684715539
45,bernoulli,1,32,1.0,1.0,raw,32,50,0.5965122161711752,0.6226275476902515
49,bernoulli,1,32,1.0,1.0,raw,32,50,0.5458224448315911,0.6105971185728046
