seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_2pl,rmse_2pl
47,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5973320416819397,0.4149537301696715
38,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5258998924586089,0.4508973644792086
34,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5981194625359385,0.4320536574887098
46,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.6002507836990596,0.4521467237666632
30,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10.0,2.0,0.5281738945578232,0.4460944120599273
42,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5623389097894822,0.450819728537924
39,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5102864862627334,0.4702793445496592
31,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5832627925204344,0.4234554216597015
35,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5851021046516823,0.4585480909346686
43,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5410355367784335,0.4918146234753232
32,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5695314763836569,0.4389403169800386
40,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5778644414621507,0.4403172114643384
36,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5586358710889844,0.4645090420800664
48,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.6146422750828618,0.4199306575832569
44,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5631972333779562,0.4169234815541633
49,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5788917488809547,0.4533179628639189
37,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.5703183021882807,0.4669018072835177
41,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20.0,2.0,0.6192180901650249,0.4125198561773361
45,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5371878986695826,0.4875934639614317
33,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50.0,2.0,0.5241966947049735,0.4604640565910656
0,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5426849722062488,0.4820909639340947
1,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5630319227258003,0.4769191970442565
2,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5907428442532486,0.453081786627296
3,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5465755044136191,0.4534948418165128
5,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5627703159649593,0.4668852590738512
4,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.563127203963787,0.4614574926065862
6,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5201387093995002,0.4939483298574941
7,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5105023403543966,0.439858990908289
9,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5956773468737835,0.4414109930273123
8,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5560925509650415,0.4635038860512037
10,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5679700290848855,0.456059098477648
11,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5524612639109089,0.4605089393632352
12,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.6037138762837354,0.4491574950540997
13,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5221146033321109,0.4769041837659123
14,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5940128542466463,0.4380763719103691
16,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5491774679672768,0.4774597819851982
15,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5587085773533247,0.4529440288238966
17,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5558353130123465,0.454833312758453
18,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.59124267391489,0.4248448144661579
19,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.6103057746893363,0.4257568912362789
22,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5379568504517795,0.481070134375281
20,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5511648876541405,0.4496169771534432
21,bernoulli,1,none,1.0,1.0,raw,none,,1,858.0,,,0.5473131698722655,0.4295077728316429
