seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_2pl,rmse_2pl
0,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5407179848776831,0.4692544765634866
15,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4639585243862589,0.4664391779178728
6,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.4744049416806891,0.4661411643904393
14,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4788685549111248,0.4631653626288503
3,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4968048210552208,0.4674168065449997
2,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4909159766090223,0.4588637010736268
1,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.544984076433121,0.466889184738853
19,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5052304915683897,0.4617040693140518
47,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5700478128039674,0.4604943941999062
18,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4848773474705724,0.4769466602783975
7,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5413814376286783,0.4679841620147466
22,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5382416273422825,0.4589807063828618
30,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5080639367816091,0.4715148132157447
23,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.470688016416985,0.4663789546270289
34,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4591424379834622,0.4706234369847254
10,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.4603030171989227,0.467950313631636
42,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.4759890170551831,0.4687743975330058
27,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5096430976524287,0.4638110156933158
46,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4884006275850183,0.4654996075859013
39,beta,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5313115770891481,0.4611780217979378
