seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,bernoulli,1,32,0.7,pca,32,0.6366405722140677,0.4541895463266674
1,bernoulli,1,32,0.7,pca,32,0.6319016222369794,0.4420243383455823
10,bernoulli,1,32,0.7,pca,32,0.6792086834733893,0.4202945031776641
11,bernoulli,1,32,0.7,pca,32,0.7351461105454716,0.4378503350431165
12,bernoulli,1,32,0.7,pca,32,0.6753994797473057,0.4330064559316485
13,bernoulli,1,32,0.7,pca,32,0.667887306949807,0.4385588299012083
14,bernoulli,1,32,0.7,pca,32,0.6458492557411654,0.4294695908524962
15,bernoulli,1,32,0.7,pca,32,0.6513069823152258,0.4107356565702677
16,bernoulli,1,32,0.7,pca,32,0.6506868284036779,0.4360860386941976
17,bernoulli,1,32,0.7,pca,32,0.6235246412975671,0.4495707749700724
18,bernoulli,1,32,0.7,pca,32,0.6988033884248565,0.4319019130927621
19,bernoulli,1,32,0.7,pca,32,0.6676739239239239,0.4300014216100125
2,bernoulli,1,32,0.7,pca,32,0.6816854781951359,0.4169182812414651
20,bernoulli,1,32,0.7,pca,32,0.6293752400460888,0.4396455640118519
21,bernoulli,1,32,0.7,pca,32,0.6856475174972991,0.4219807033217352
22,bernoulli,1,32,0.7,pca,32,0.6510036113210715,0.4410038523289499
23,bernoulli,1,32,0.7,pca,32,0.6642921032455915,0.439053502109411
24,bernoulli,1,32,0.7,pca,32,0.6429622425058608,0.4362323652490535
25,bernoulli,1,32,0.7,pca,32,0.6999939150541561,0.4157451950605316
26,bernoulli,1,32,0.7,pca,32,0.641959887403237,0.440316839203527
27,bernoulli,1,32,0.7,pca,32,0.6551484921453963,0.453623645282193
28,bernoulli,1,32,0.7,pca,32,0.7068689725519289,0.4382411435250237
29,bernoulli,1,32,0.7,pca,32,0.6671015877683034,0.4421909076033674
3,bernoulli,1,32,0.7,pca,32,0.7119714847590954,0.4198292119895438
30,bernoulli,1,32,0.7,pca,32,0.7076616795366795,0.4211765795264336
31,bernoulli,1,32,0.7,pca,32,0.5938904202696069,0.4578187141387301
32,bernoulli,1,32,0.7,pca,32,0.6947087020648968,0.4193333604837377
33,bernoulli,1,32,0.7,pca,32,0.7315359708829647,0.4178435771001159
34,bernoulli,1,32,0.7,pca,32,0.6207037497778568,0.4522572133199128
35,bernoulli,1,32,0.7,pca,32,0.6513698630136986,0.4317949286786782
36,bernoulli,1,32,0.7,pca,32,0.6297066297066297,0.4576532744483164
37,bernoulli,1,32,0.7,pca,32,0.6638528138528139,0.4495404459914666
38,bernoulli,1,32,0.7,pca,32,0.6770006073063627,0.4411029786601534
39,bernoulli,1,32,0.7,pca,32,0.6506525151706848,0.4305251885886145
4,bernoulli,1,32,0.7,pca,32,0.6475486292799454,0.452689635836745
40,bernoulli,1,32,0.7,pca,32,0.6195892187445236,0.4767915144170062
41,bernoulli,1,32,0.7,pca,32,0.7407912210805899,0.4095486272729505
42,bernoulli,1,32,0.7,pca,32,0.6676893588556139,0.4348300457685499
43,bernoulli,1,32,0.7,pca,32,0.6954774339023051,0.4335833367824218
44,bernoulli,1,32,0.7,pca,32,0.6442746483817368,0.4461641533339918
45,bernoulli,1,32,0.7,pca,32,0.6805829204313613,0.4284091139000692
46,bernoulli,1,32,0.7,pca,32,0.7299835877817529,0.401130105047648
47,bernoulli,1,32,0.7,pca,32,0.6887747248518433,0.4351937611710349
48,bernoulli,1,32,0.7,pca,32,0.6849042718607936,0.4269429379266122
49,bernoulli,1,32,0.7,pca,32,0.6729709125029322,0.4204504190940732
5,bernoulli,1,32,0.7,pca,32,0.6021291866028707,0.4537410987159564
6,bernoulli,1,32,0.7,pca,32,0.562768817204301,0.4568912585140496
7,bernoulli,1,32,0.7,pca,32,0.6857303020865773,0.4352867478683411
8,bernoulli,1,32,0.7,pca,32,0.6347154963680388,0.4346388859169449
9,bernoulli,1,32,0.7,pca,32,0.6134481837606838,0.4433249741706718
