seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_knn,rmse_knn
0,beta,1,32,0.9,pca,32,0.6585308234588271,0.4325204573186631
1,beta,1,32,0.9,pca,32,0.6107659546442449,0.4498570095809751
10,beta,1,32,0.9,pca,32,0.6320198703376274,0.4491157413635696
11,beta,1,32,0.9,pca,32,0.672993672993673,0.4149103481190608
12,beta,1,32,0.9,pca,32,0.6897874852420306,0.4243807551818184
13,beta,1,32,0.9,pca,32,0.6710326086956521,0.424989401460776
14,beta,1,32,0.9,pca,32,0.6506257666919797,0.4392922340024444
15,beta,1,32,0.9,pca,32,0.6632984954988285,0.4263369582290287
16,beta,1,32,0.9,pca,32,0.6714509945968788,0.4253061075732205
17,beta,1,32,0.9,pca,32,0.6796975995086171,0.4343336167965245
18,beta,1,32,0.9,pca,32,0.651704327561285,0.4310679023628702
19,beta,1,32,0.9,pca,32,0.7164042867701405,0.4221894716941032
2,beta,1,32,0.9,pca,32,0.7282043343653251,0.4025507274197995
20,beta,1,32,0.9,pca,32,0.7548144257703081,0.3935716497585317
21,beta,1,32,0.9,pca,32,0.6551519468186134,0.4384896291302389
22,beta,1,32,0.9,pca,32,0.6607875838645069,0.4379902204898018
23,beta,1,32,0.9,pca,32,0.667960076970248,0.4309898580068153
24,beta,1,32,0.9,pca,32,0.6160663194189716,0.445137123240624
25,beta,1,32,0.9,pca,32,0.6727596452460582,0.425555230442614
26,beta,1,32,0.9,pca,32,0.6462550159329634,0.4431363355588317
27,beta,1,32,0.9,pca,32,0.6738316696914699,0.4225483395218512
28,beta,1,32,0.9,pca,32,0.6757450960696809,0.4211064508394687
29,beta,1,32,0.9,pca,32,0.6698129969351042,0.4173292276475783
3,beta,1,32,0.9,pca,32,0.6649874788888243,0.430033527109601
30,beta,1,32,0.9,pca,32,0.6839724745147938,0.4279206275416141
31,beta,1,32,0.9,pca,32,0.6696792557218566,0.4277427184802244
32,beta,1,32,0.9,pca,32,0.6936600936058916,0.4229666925386598
33,beta,1,32,0.9,pca,32,0.6229906660919824,0.4442298343280541
34,beta,1,32,0.9,pca,32,0.6912267801857584,0.4181664079709936
35,beta,1,32,0.9,pca,32,0.7061453535131974,0.4138331947930716
36,beta,1,32,0.9,pca,32,0.7005500936329588,0.4141508044244142
37,beta,1,32,0.9,pca,32,0.6396215764471292,0.4417631175182844
38,beta,1,32,0.9,pca,32,0.6781921101774044,0.4347910802471969
39,beta,1,32,0.9,pca,32,0.6573208722741433,0.4388462538707169
4,beta,1,32,0.9,pca,32,0.6634861346915676,0.4364489122647049
40,beta,1,32,0.9,pca,32,0.6340765055276096,0.4377780609690018
41,beta,1,32,0.9,pca,32,0.6628475650357037,0.4341583699747319
42,beta,1,32,0.9,pca,32,0.733065459347293,0.4090095111515163
43,beta,1,32,0.9,pca,32,0.6281675343410902,0.4304621562695077
44,beta,1,32,0.9,pca,32,0.707257206951303,0.4154126090703223
45,beta,1,32,0.9,pca,32,0.668394495412844,0.4406956548383967
46,beta,1,32,0.9,pca,32,0.7201146806409965,0.4094836760552197
47,beta,1,32,0.9,pca,32,0.6319656510458522,0.4411272838465307
48,beta,1,32,0.9,pca,32,0.6511992024040217,0.4330583136002874
49,beta,1,32,0.9,pca,32,0.7166411746711533,0.4131590325365918
5,beta,1,32,0.9,pca,32,0.6604787369493251,0.4158571863914113
6,beta,1,32,0.9,pca,32,0.6925475146198831,0.4138349051529532
7,beta,1,32,0.9,pca,32,0.7195278358350751,0.4059430943809111
8,beta,1,32,0.9,pca,32,0.6384067547723935,0.4429849900863062
9,beta,1,32,0.9,pca,32,0.647907912964281,0.4281424226487499
