seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
2,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.6873871922604866,0.4098223462407666
1,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.7912098153954716,0.3961045837425562
0,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.5739447699883484,0.457570581020636
8,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.703425258684405,0.4179456116163117
6,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.8189569160997732,0.3700177504495882
18,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.6405011219147344,0.4434983627994427
22,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.7255375280306029,0.4010890916138472
34,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.7828142704026949,0.3873902857725927
14,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.7304004350688382,0.4164502734303936
42,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.7286357031075341,0.4032229289790511
46,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.7010317738602367,0.4249955899346369
10,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.7325517861465575,0.4029347236825221
15,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.5763820018365473,0.4779448394181923
20,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.7063008130081301,0.4215591802671349
3,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.7045313993365943,0.4270781791965267
7,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.7439106710918602,0.3901309513052458
30,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.6687690391934769,0.4369390160806179
35,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.6968362068965518,0.4395940427545283
26,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.690255440565507,0.4426898858957868
38,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.7270361990950227,0.4045735578046791
25,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5979694169325763,0.4473194606314587
36,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,5,2,0.58452573932092,0.503942710089715
39,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.7233361975610904,0.3984758882168167
41,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.7916373666508583,0.3904619257995778
16,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,10,2,0.553262843536866,0.4576367499826191
40,bernoulli,1,32,0.3,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5632394627815511,0.4592259522061794
