seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
2,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7416547130508538,0.3870306202433286
3,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.626349768774089,0.424258843875436
7,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7812103608654889,0.3960955362072759
1,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6100761255082243,0.4363824672207599
5,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6251646685376832,0.445962231116678
0,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7335997226029095,0.400034639229582
16,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6544965809407592,0.415743420875137
12,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,0.760042404315532,0.3890483891942439
4,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,0.7121721320750447,0.4059945917544459
15,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,0.7857558139534884,0.3916331632806195
34,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7048491049153062,0.4201149607465921
47,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7396602578107931,0.4052523320229211
19,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6709731915365016,0.4218223680231316
13,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,10,0.7311325515209011,0.4059070092923282
26,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6563659607204272,0.4389779297911711
14,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7340203794697859,0.3946746716562782
31,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6419596393301846,0.4328714144715478
6,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6435603626758049,0.4422997908340967
39,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7524779220779221,0.4110223798517619
10,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6762386545718699,0.4236387365831844
43,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,0.687529591584668,0.4136716509450102
38,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6985511598911549,0.4180241663907891
23,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7028022300469483,0.4043438464903958
46,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7695930543285016,0.4026960293619789
11,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7618171757414784,0.3883733513511335
27,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7632090641879641,0.3944238006516983
20,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6624951138473567,0.430146509705275
21,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,5,0.6332925193507501,0.4620307468518642
35,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7389239886374768,0.4022191049033199
42,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,10,0.7122410266051931,0.3986964039075155
22,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7768553401504655,0.382288905591981
44,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6896491544125927,0.4195361295164126
29,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,10,0.74245560518575,0.4017662792954877
18,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7138288256970033,0.4097695662288025
48,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6593038059406053,0.4301008663696046
33,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6466091760209407,0.4219377612301166
8,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7208140768803554,0.40990336660453
32,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,0.758829221093372,0.4069419616468693
30,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6975716455214677,0.4065139903127938
49,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7350575198781932,0.4132585818558688
37,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6718146718146718,0.4358971901855344
40,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,10,0.7468633114528918,0.4065100497778296
9,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,10,0.7314387754874129,0.4055147670439423
45,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,0.7027860879795367,0.4305969497392346
17,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7451321918927755,0.3906373212778462
36,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7296243780114748,0.4141177374504926
24,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6680478777707191,0.4211489646537941
41,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6328711656441718,0.4409744040701381
25,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6965963642982277,0.408963603864933
28,bernoulli,1,32,0.5,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6864414827062293,0.41722975670476015
