seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_knn,rmse_knn
2,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7480081526774134,0.3795588663983489
6,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6702295310301255,0.4109575890391844
0,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7345277458309373,0.4013029543673077
4,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.702561771855002,0.3988921432600706
3,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6768206179066836,0.3973473988919381
22,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7153715655541213,0.4039862171751507
34,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6856543532744906,0.3874177876291669
10,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6993874838684824,0.3947216367720944
38,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6638104818099665,0.4013421266625875
46,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7366106203096798,0.3936533461122425
30,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7170025510204082,0.3824546659631578
26,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6658123384841169,0.4152517514257913
18,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6512825957699822,0.390904097986393
14,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7184294526161412,0.379526908098986
42,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.734413271432002,0.3812622287227371
11,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6679093617640526,0.4008471979385656
7,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.756072383818121,0.3753309577576775
48,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7214012342287901,0.3767481033869785
43,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6955884513532786,0.4171776102443985
47,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7020496238501684,0.3776961598202848
23,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7106306042358964,0.4046144758346008
31,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.733516963385959,0.3770853314777074
5,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6609805293867858,0.4048469597509976
19,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7279117895556253,0.3676193011548096
15,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.7031947380784589,0.3921555479491623
39,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6885435599860013,0.4044927224045647
35,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6598950653142084,0.4017579526998361
40,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6806937819175558,0.3871118685952872
36,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6885357703062129,0.4020197776939643
27,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6798821768772121,0.3985376419180555
44,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6793949301479423,0.3857022421712587
8,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.697779241919231,0.3942361237715187
32,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.7002318168646768,0.3806727612413119
12,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6734834010031049,0.3980711393288778
20,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.7545450114539163,0.378460651574697
24,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6644142796350966,0.4322237417178152
1,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6510476484966281,0.4160042344803972
16,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6836221103737027,0.4059112677199774
28,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6434174473711262,0.423412277202431
29,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6575708846099368,0.4028231533112613
45,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6852032075815563,0.4090372169846873
25,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.7621823839608888,0.3941108049618495
13,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.7126359916876992,0.4056684843657108
21,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6907254808398179,0.3813178799344567
17,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6810130658814869,0.392589265276238
37,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6481102917457483,0.4077959722334044
33,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6512703069648401,0.4173904589611736
49,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,50,2,0.6886846217136301,0.3951324376978398
9,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6934379533632923,0.3875854105803858
41,bernoulli,32,none,1.0,1.0,raw,none,,32,32.0,20,2,0.6765210235588033,0.37680426311743864
