seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_knn,rmse_knn
3,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.645128205128205,0.4445187035585108
1,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5504469987228607,0.4245323272680178
9,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.6131271828946248,0.4576415852821166
11,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.7371694307485432,0.414199734384073
4,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.6839669421487603,0.4444391989977896
2,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.6781578238621061,0.4137169097506778
0,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.687781954887218,0.4465746643940285
8,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.7112860892388452,0.4452911673003719
19,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6044340114762649,0.4490108340545025
30,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6552366438066209,0.4440486104727199
15,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7569685817487902,0.4094061213595711
27,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7890135609554623,0.3543036093276871
34,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.8088183949324156,0.3811286561189409
39,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7979046043562174,0.4050679248787343
42,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6642181695373185,0.4249576512442935
47,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.8167231825324621,0.3923043772190944
7,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.5298347107438016,0.5086850519455336
41,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.678030303030303,0.445565837608419
23,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.8200723815697077,0.3700996736997636
43,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.8243730628346013,0.3598741506438652
35,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6366419404215236,0.4364816530442189
40,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5734640851563154,0.4526127188532663
31,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5973744292237443,0.4097866391156525
10,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.7706833594157537,0.4277816467640012
18,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.5597515527950311,0.4579590240716027
46,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.768711142993783,0.3923473533911542
14,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.753546511627907,0.4267309254571862
26,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.6334821059591701,0.4540088189692726
38,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.6617405582922824,0.4147121623049742
22,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.7564800901577762,0.3504589669081995
33,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.8666466346153846,0.3407779000461761
44,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.7340191347049361,0.4494914844043656
6,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.7641787190082644,0.402388172104706
13,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.6974373907979033,0.4348374306606479
29,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.6070162107396151,0.4560827699955512
45,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.6204626553463763,0.4544113743060708
25,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,20,0.7427738227978387,0.4116966024446243
36,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,10,0.6006148222000665,0.4480071771091509
24,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,5,0.674757281553398,0.4647705597518536
20,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,32,32.0,50,0.5022250476795931,0.4699719555330309
