seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,agent_batch_size,selected_knn_k,auc_knn,rmse_knn
0,beta,54,none,1.0,1.0,raw,54,20,0.7666772256698967,0.2527422707693645
2,beta,54,none,1.0,1.0,raw,54,50,0.8110673125633232,0.2195153386740507
10,beta,54,none,1.0,1.0,raw,54,10,0.800616458704694,0.2399390428960011
6,beta,54,none,1.0,1.0,raw,54,20,0.729505393317548,0.2512609154906474
8,beta,54,none,1.0,1.0,raw,54,10,0.7229252479590775,0.241038697249724
12,beta,54,none,1.0,1.0,raw,54,50,0.7113672496025437,0.244136123615729
4,beta,54,none,1.0,1.0,raw,54,50,0.7260820843255358,0.2419634367063726
14,beta,54,none,1.0,1.0,raw,54,20,0.7898047322915709,0.2390867984490595
3,beta,54,none,1.0,1.0,raw,54,50,0.6504991793281031,0.2567103408810723
1,beta,54,none,1.0,1.0,raw,54,50,0.707601387217779,0.2651583696099681
5,beta,54,none,1.0,1.0,raw,54,20,0.6735875145256901,0.2576659826611557
11,beta,54,none,1.0,1.0,raw,54,50,0.726305893413244,0.2444020969217017
16,beta,54,none,1.0,1.0,raw,54,5,0.7745365833315957,0.2491296803345331
13,beta,54,none,1.0,1.0,raw,54,5,0.7511859124631126,0.228792951491215
9,beta,54,none,1.0,1.0,raw,54,50,0.7057094594594594,0.2425505316823048
7,beta,54,none,1.0,1.0,raw,54,50,0.7921561741795429,0.2325925120503084
18,beta,54,none,1.0,1.0,raw,54,20,0.7497305506564765,0.2361371474582018
15,beta,54,none,1.0,1.0,raw,54,50,0.7779254114449646,0.2419004893117799
20,beta,54,none,1.0,1.0,raw,54,50,0.8045771389797052,0.2349286137240111
17,beta,54,none,1.0,1.0,raw,54,20,0.7423939839503734,0.2379483649301071
19,beta,54,none,1.0,1.0,raw,54,50,0.7572507233081645,0.2365907203239492
22,beta,54,none,1.0,1.0,raw,54,20,0.7392078102081735,0.258781591343548
21,beta,54,none,1.0,1.0,raw,54,20,0.6900849931540468,0.2428998085781527
28,beta,54,none,1.0,1.0,raw,54,20,0.7287787220648411,0.2667427248199532
24,beta,54,none,1.0,1.0,raw,54,10,0.7391857962697275,0.2599459287694426
26,beta,54,none,1.0,1.0,raw,54,20,0.7348754807304413,0.2447931724190901
32,beta,54,none,1.0,1.0,raw,54,50,0.6994991442665861,0.2439582448666545
30,beta,54,none,1.0,1.0,raw,54,20,0.7485959267693755,0.2347191271062144
23,beta,54,none,1.0,1.0,raw,54,50,0.7694872236083627,0.2478229533248074
34,beta,54,none,1.0,1.0,raw,54,50,0.7356484095614529,0.2432095052395047
36,beta,54,none,1.0,1.0,raw,54,5,0.7836949956541596,0.2343820411896023
27,beta,54,none,1.0,1.0,raw,54,50,0.7366729033024471,0.2405803716442782
33,beta,54,none,1.0,1.0,raw,54,20,0.6628751453217172,0.2764371102779021
29,beta,54,none,1.0,1.0,raw,54,50,0.7072829756540103,0.2639930464468207
38,beta,54,none,1.0,1.0,raw,54,50,0.7009117490097038,0.265166532129421
25,beta,54,none,1.0,1.0,raw,54,20,0.8038424399826858,0.2478716373956147
31,beta,54,none,1.0,1.0,raw,54,50,0.7197027163704666,0.2390196101042289
37,beta,54,none,1.0,1.0,raw,54,50,0.7194467903881273,0.2479877852096698
35,beta,54,none,1.0,1.0,raw,54,20,0.7566398189442854,0.2378029321858713
40,beta,54,none,1.0,1.0,raw,54,50,0.7133110554163186,0.2566635655756626
42,beta,54,none,1.0,1.0,raw,54,50,0.8108160301569646,0.2247137159060317
39,beta,54,none,1.0,1.0,raw,54,50,0.7519021776654653,0.2647469678503428
44,beta,54,none,1.0,1.0,raw,54,20,0.7184136102518781,0.2369216606387224
46,beta,54,none,1.0,1.0,raw,54,50,0.7259503563602641,0.2494684469246746
43,beta,54,none,1.0,1.0,raw,54,20,0.7558984691909721,0.2505082983157695
48,beta,54,none,1.0,1.0,raw,54,50,0.70607164653881,0.2385789387470648
41,beta,54,none,1.0,1.0,raw,54,5,0.7256187983319564,0.2569447131126878
47,beta,54,none,1.0,1.0,raw,54,20,0.7477516874227588,0.2344295756059159
45,beta,54,none,1.0,1.0,raw,54,50,0.6969497476409919,0.2575587700238401
49,beta,54,none,1.0,1.0,raw,54,50,0.726052816184291,0.23625042323675038
