seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
6,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.50927751650343,0.4532838904571157,28,2,30,2
7,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5118419721068728,0.4646239201674538,25,2,30,2
2,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5136110523134676,0.4429531000457512,11,2,30,2
3,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5278735702865576,0.4548081673765283,25,2,30,2
1,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5091001900554756,0.4550978365709872,24,2,30,2
0,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5017781900455587,0.4568214913278105,7,2,30,2
5,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.5163853822889237,0.4454304388371619,26,2,30,2
12,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5164513733716128,0.4432085931966128,28,2,30,2
4,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5183443036926643,0.4565184397916355,21,2,30,2
11,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5265203460807184,0.4593772018795052,9,2,30,2
15,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5223469336664242,0.450498681451771,21,2,30,2
34,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.506601457358326,0.4528734067730381,6,2,30,2
46,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5126276951210171,0.4617897818157267,29,2,30,2
22,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.4894865568755705,0.4492996474691095,20,2,30,2
43,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5072513061703724,0.4502166776076536,16,2,30,2
42,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.496355677036617,0.4560762518740682,19,2,30,2
31,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5169508185738534,0.4593013561670608,21,2,30,2
18,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.515729950641536,0.4532571303989767,18,2,30,2
10,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.4976447277698097,0.4483910606343079,26,2,30,2
23,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5170520863363248,0.4572105382093623,6,2,30,2
38,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5231129903826173,0.4460779604814794,17,2,30,2
14,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.51040298815624,0.4543879272584438,15,2,30,2
19,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.525345117381241,0.444092417627942,10,2,30,2
35,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5032772861425974,0.454633700409466,17,2,30,2
27,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5256546512175723,0.4590197123458421,27,2,30,2
47,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5138108481374274,0.4420021389773556,12,2,30,2
30,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5228655203648176,0.4613800349088706,4,2,30,2
26,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5292674435431608,0.4504300082904195,9,2,30,2
39,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5002826880412223,0.4550575448159221,3,2,30,2
8,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5160532770610569,0.4600981327525161,7,2,30,2
45,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5067941202073596,0.4645162919629413,19,2,30,2
13,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,50,0.5170759328965953,0.4570443078156414,17,2,30,2
40,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.516963329764454,0.4578182259159244,24,2,30,2
24,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,10,0.5221114186475633,0.4464606157791292,21,2,30,2
16,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5069734543794047,0.4580442499498376,29,2,30,2
29,bernoulli,1,4,1.0,1.0,raw,transport_binary_strength,1,4,4.0,20,0.5345654811063616,0.4606128130973752,13,2,30,2
