seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
3,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5926130989911728,0.4200868149564992,3,2,30,2
2,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5994111060089744,0.4424583421107173,29,2,30,2
6,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10,2,0.5178125269234083,0.4498890395585188,5,2,30,2
0,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5989713117372693,0.4458258330376784,7,2,30,2
1,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5730317018582325,0.451174979591422,22,2,30,2
5,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5913707280247864,0.434829874423857,8,2,30,2
4,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5834026563216479,0.4237398855583266,4,2,30,2
8,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5768603209053562,0.436193627483479,18,2,30,2
7,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5886973420260783,0.436825197789334,29,2,30,2
14,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.6069102359487556,0.4145269667903447,2,2,30,2
10,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5885702178477185,0.4255010225158221,2,2,30,2
11,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5951073428153458,0.4409271104103623,22,2,30,2
47,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.6163075352149552,0.4169784114804443,8,2,30,2
26,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5622365673731713,0.4517999875922706,11,2,30,2
38,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5861516946969418,0.430497325357243,10,2,30,2
15,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,20,2,0.5808364316784524,0.429023923869284,4,2,30,2
34,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5985511437456517,0.4209619991873239,3,2,30,2
46,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.6110059846110003,0.447481761166435,6,2,30,2
18,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10,2,0.5583666015459101,0.4642556581619727,30,2,30,2
30,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,10,2,0.5986755952380952,0.4321422165367125,20,2,30,2
22,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5738687073575511,0.4321995736654015,2,2,30,2
42,bernoulli,1,none,1.0,1.0,raw,none,,1,32.0,50,2,0.5535119667013528,0.4850107604484836,12,2,30,2
