seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_mirt,rmse_mirt,selected_mirt_dim,mirt_sweep_min,mirt_sweep_max,mirt_selection_version
27,beta,1,8,1.0,raw,8,0.6620209059233448,0.4409243561038075,10,2,30,2
11,beta,1,8,1.0,raw,8,0.5390058055152395,0.4635588414157247,25,2,30,2
26,beta,1,8,1.0,raw,8,0.6160349577277477,0.4460718306519233,17,2,30,2
35,beta,1,8,1.0,raw,8,0.567139282735613,0.44373508952168,8,2,30,2
15,beta,1,8,1.0,raw,8,0.6180451127819548,0.4391773630223371,2,2,30,2
47,beta,1,8,1.0,raw,8,0.4832137733142037,0.4726289158002844,2,2,30,2
7,beta,1,8,1.0,raw,8,0.6198496240601503,0.4286380957936024,4,2,30,2
46,beta,1,8,1.0,raw,8,0.5916053921568628,0.448264593092154,8,2,30,2
19,beta,1,8,1.0,raw,8,0.571236559139785,0.4235939398483363,11,2,30,2
18,beta,1,8,1.0,raw,8,0.5593505039193729,0.4662248466344169,9,2,30,2
39,beta,1,8,1.0,raw,8,0.6117059891107078,0.448199766723967,16,2,30,2
10,beta,1,8,1.0,raw,8,0.6546809501630182,0.4540442153651656,22,2,30,2
6,beta,1,8,1.0,raw,8,0.5553398058252428,0.4606682103928666,24,2,30,2
3,beta,1,8,1.0,raw,8,0.4676813800101471,0.4356874487130859,27,2,30,2
23,beta,1,8,1.0,raw,8,0.5606886657101865,0.4496342437521456,19,2,30,2
30,beta,1,8,1.0,raw,8,0.5493305144467936,0.4646935741281544,5,2,30,2
43,beta,1,8,1.0,raw,8,0.5493582048203897,0.4580368488274346,13,2,30,2
22,beta,1,8,1.0,raw,8,0.563355530891602,0.4509812980525479,25,2,30,2
31,beta,1,8,1.0,raw,8,0.5032956685499059,0.4574175612118374,7,2,30,2
2,beta,1,8,1.0,raw,8,0.4988086160884483,0.4517372519188499,25,2,30,2
38,beta,1,8,1.0,raw,8,0.5282409897794513,0.4213539720809103,3,2,30,2
34,beta,1,8,1.0,raw,8,0.574165120593692,0.4543960928710758,16,2,30,2
42,beta,1,8,1.0,raw,8,0.4850464576074332,0.4669070413106733,18,2,30,2
14,beta,1,8,1.0,raw,8,0.6017620162819226,0.4257095871559315,8,2,30,2
36,beta,1,8,1.0,raw,8,0.5801484230055659,0.4549984023045166,17,2,30,2
48,beta,1,8,1.0,raw,8,0.5800671892497201,0.4459818945308099,8,2,30,2
40,beta,1,8,1.0,raw,8,0.5799352750809061,0.4540875504495602,23,2,30,2
28,beta,1,8,1.0,raw,8,0.6589870710605619,0.4265808506745781,16,2,30,2
24,beta,1,8,1.0,raw,8,0.571060382916053,0.4516949779387132,6,2,30,2
20,beta,1,8,1.0,raw,8,0.6537294215028051,0.4572807185427314,29,2,30,2
16,beta,1,8,1.0,raw,8,0.4177971729437434,0.4515036151863761,4,2,30,2
4,beta,1,8,1.0,raw,8,0.5197809460862997,0.4631745155984229,18,2,30,2
8,beta,1,8,1.0,raw,8,0.4616666666666666,0.4589925237703332,20,2,30,2
44,beta,1,8,1.0,raw,8,0.51914299021891,0.4565932791829333,5,2,30,2
32,beta,1,8,1.0,raw,8,0.5067469610795138,0.4233706242020134,5,2,30,2
12,beta,1,8,1.0,raw,8,0.5271663415993313,0.4550479011158625,28,2,30,2
0,beta,1,8,1.0,raw,8,0.5755634114007955,0.4335096466702671,18,2,30,2
33,beta,1,8,1.0,raw,8,0.5348837209302326,0.4364957181932459,3,2,30,2
45,beta,1,8,1.0,raw,8,0.6059369202226346,0.4479617901924361,2,2,30,2
41,beta,1,8,1.0,raw,8,0.5576864535768645,0.4421036199264893,20,2,30,2
21,beta,1,8,1.0,raw,8,0.6078869047619049,0.4530185048153206,9,2,30,2
1,beta,1,8,1.0,raw,8,0.6217320261437909,0.4522839172269874,15,2,30,2
17,beta,1,8,1.0,raw,8,0.5820839580209896,0.4603070457275202,21,2,30,2
13,beta,1,8,1.0,raw,8,0.5113412228796844,0.4375301589107593,19,2,30,2
49,beta,1,8,1.0,raw,8,0.5281907433380084,0.4557572074619457,15,2,30,2
37,beta,1,8,1.0,raw,8,0.5941982048672156,0.4589117926164492,19,2,30,2
5,beta,1,8,1.0,raw,8,0.6418223408311096,0.4446293124358971,6,2,30,2
9,beta,1,8,1.0,raw,8,0.5559369202226345,0.4574325625427693,18,2,30,2
25,beta,1,8,1.0,raw,8,0.5008971291866029,0.4467252106814811,27,2,30,2
29,beta,1,8,1.0,raw,8,0.5226516272189349,0.4400257872209951,27,2,30,2
