seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
0,bernoulli,1,32,1.0,1.0,raw,30,0.4477179626215091,0.5631930383563208,0.4043264516433246,0.8231029969460013
4,bernoulli,1,32,1.0,1.0,raw,30,0.4536248606999326,0.5905571887690276,0.4051376299067869,0.8314889143730887
6,bernoulli,1,32,1.0,1.0,raw,30,0.4521376276886809,0.5807521931729349,0.4064139805476142,0.839582281255062
12,bernoulli,1,32,1.0,1.0,raw,30,0.4375147476435438,0.5995982766651141,0.3908758311798071,0.8602097884075153
2,bernoulli,1,32,1.0,1.0,raw,30,0.4443747367267928,0.5668969328543797,0.4176136362161913,0.8131880344115263
8,bernoulli,1,32,1.0,1.0,raw,30,0.4533656402107649,0.5788100457491423,0.3762664470056122,0.8769866445431327
10,bernoulli,1,32,1.0,1.0,raw,30,0.4555338922573014,0.6158730158730159,0.4191416567090252,0.8357426611281805
14,bernoulli,1,32,1.0,1.0,raw,30,0.444998714252286,0.5679095022624434,0.3947276768958864,0.8564814814814815
1,bernoulli,1,32,1.0,1.0,raw,30,0.4459527081661067,0.5897170441060127,0.4161344904620925,0.7997310381925766
7,bernoulli,1,32,1.0,1.0,raw,30,0.449329627907291,0.5897571309225444,0.4320871451506163,0.8336518500911179
5,bernoulli,1,32,1.0,1.0,raw,30,0.4341114321729514,0.6041770200186041,0.4131912025178445,0.8245087058344364
3,bernoulli,1,32,1.0,1.0,raw,30,0.4500191730812243,0.5689665580103828,0.4168393393195322,0.8109333289661159
13,bernoulli,1,32,1.0,1.0,raw,30,0.4418515516423747,0.6218236260133352,0.3835003958728642,0.8693240454076367
9,bernoulli,1,32,1.0,1.0,raw,30,0.4432615264603054,0.6137528881735769,0.3572954882017943,0.8976578295735932
11,bernoulli,1,32,1.0,1.0,raw,30,0.4429717196679523,0.6043878807593113,0.4152884239124267,0.8182229767968306
15,bernoulli,1,32,1.0,1.0,raw,30,0.4468561488623691,0.5822769295419526,0.3994152936473423,0.8501570512820512
16,bernoulli,1,32,1.0,1.0,raw,30,0.4340526455007066,0.5966084742680486,0.4015164805363579,0.8304238734067111
18,bernoulli,1,32,1.0,1.0,raw,30,0.4516867305051784,0.5927653248608156,0.44640617586909,0.8692053820766693
20,bernoulli,1,32,1.0,1.0,raw,30,0.4323254671632411,0.6131762452624054,0.4083196117891791,0.8299439521320912
22,bernoulli,1,32,1.0,1.0,raw,30,0.4423605132219528,0.5995733286252354,0.4092863576593195,0.8220973967315431
24,bernoulli,1,32,1.0,1.0,raw,30,0.4416852255136913,0.6179856619106555,0.3919718791754955,0.8591208989459034
28,bernoulli,1,32,1.0,1.0,raw,30,0.4505326172127319,0.5968871640677808,0.4160823678935579,0.819632203066805
30,bernoulli,1,32,1.0,1.0,raw,30,0.4579885678020171,0.5704699707109484,0.3794966551654657,0.8707206993206328
26,bernoulli,1,32,1.0,1.0,raw,30,0.4391153351295408,0.616882683867213,0.3561136453250398,0.897734653053802
17,bernoulli,1,32,1.0,1.0,raw,30,0.4470623003973742,0.5935127674258109,0.4122437533731781,0.8114152473641525
19,bernoulli,1,32,1.0,1.0,raw,30,0.4340571599127885,0.5955105212816836,0.4080073786213249,0.8399587988273512
32,bernoulli,1,32,1.0,1.0,raw,30,0.4466020250547428,0.5821353033136132,0.411157530270368,0.8068744567744023
34,bernoulli,1,32,1.0,1.0,raw,30,0.4515788732022041,0.6100505466086752,0.414426427730962,0.8323437618938875
21,bernoulli,1,32,1.0,1.0,raw,30,0.4451452576982919,0.5741600638781401,0.4079699055404398,0.8290257371696765
23,bernoulli,1,32,1.0,1.0,raw,30,0.4428128474415215,0.5883239736929037,0.409934774275458,0.8225348422069733
25,bernoulli,1,32,1.0,1.0,raw,30,0.4431360665460783,0.580703012912482,0.3786869594307576,0.8750160594069583
31,bernoulli,1,32,1.0,1.0,raw,30,0.4434770100353667,0.5933572031554741,0.3924635914602423,0.8562486779608869
29,bernoulli,1,32,1.0,1.0,raw,30,0.4409742689043476,0.5754685560299149,0.4081616175232683,0.828509178445457
27,bernoulli,1,32,1.0,1.0,raw,30,0.4515223937390102,0.5821910511363636,0.3682458113919655,0.8842262214814044
33,bernoulli,1,32,1.0,1.0,raw,30,0.4399907193505609,0.56439569585637,0.4147363254231211,0.806233794295592
35,bernoulli,1,32,1.0,1.0,raw,30,0.4416554852935664,0.576366672115452,0.4412587349759216,0.8056962427011933
38,bernoulli,1,32,1.0,1.0,raw,30,0.4383535063776857,0.5530109606705351,0.4048981549106727,0.8352276614250951
36,bernoulli,1,32,1.0,1.0,raw,30,0.4527136151982445,0.5844471587953737,0.4164933340826036,0.8166836855929971
42,bernoulli,1,32,1.0,1.0,raw,30,0.4538226840231056,0.5910549980644968,0.4257576262193677,0.850462569289491
40,bernoulli,1,32,1.0,1.0,raw,30,0.4326140013980006,0.6513337285121517,0.3799200946782621,0.8731995884773662
44,bernoulli,1,32,1.0,1.0,raw,30,0.4507720794273817,0.5582650770979684,0.4374778435410035,0.8116922341418663
46,bernoulli,1,32,1.0,1.0,raw,30,0.4463932575155016,0.598076324174113,0.3638138916822591,0.8906554818571986
39,bernoulli,1,32,1.0,1.0,raw,30,0.4420546773646884,0.6054343878311079,0.4006542733398597,0.8332113066443532
37,bernoulli,1,32,1.0,1.0,raw,30,0.4498030304308841,0.6088842975206612,0.4091819271490671,0.8246255070427034
48,bernoulli,1,32,1.0,1.0,raw,30,0.4364384818133646,0.5915435114780435,0.4131013583287697,0.8144756715934837
43,bernoulli,1,32,1.0,1.0,raw,30,0.4518961027238172,0.5532343558870794,0.390730671894561,0.8543376019221429
47,bernoulli,1,32,1.0,1.0,raw,30,0.4425828830769616,0.6027950984954242,0.3800721664980996,0.8753504805432651
41,bernoulli,1,32,1.0,1.0,raw,30,0.4479286743003568,0.6507808150947818,0.3812618769687407,0.8759792509877032
45,bernoulli,1,32,1.0,1.0,raw,30,0.4496008201865694,0.604886468470077,0.4047637860186986,0.829949614700652
49,bernoulli,1,32,1.0,1.0,raw,30,0.44843484233108544,0.5825408923732095,0.3961756777632575,0.8338436739126035
