seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
0,bernoulli,1,4,1.0,raw,2,0.4723069027009599,0.3991228070175439,0.498929039075948,0.4404862579281184
0,bernoulli,1,4,1.0,raw,3,0.4555312589802531,0.594896331738437,0.490187410939481,0.5522198731501057
4,bernoulli,1,4,1.0,raw,2,0.4672449427474374,0.5071214392803598,0.4869186768387751,0.532141336739038
24,bernoulli,1,4,1.0,raw,2,0.4580308302441271,0.4957234497505345,0.4977861058337611,0.5783653846153846
36,bernoulli,1,4,1.0,raw,2,0.4513238758153242,0.4833333333333333,0.4901327658594758,0.6086956521739131
44,bernoulli,1,4,1.0,raw,2,0.4568397414174261,0.4748379717880289,0.4992768452350903,0.5805600649350648
28,bernoulli,1,4,1.0,raw,2,0.4108357568260554,0.5137085137085138,0.4668423937706284,0.5199335548172757
12,bernoulli,1,4,1.0,raw,2,0.4466411779139034,0.537826420890937,0.4998854714594387,0.4998993558776167
32,bernoulli,1,4,1.0,raw,2,0.4417285586422813,0.5638020833333333,0.4908782864026632,0.5745614035087719
20,bernoulli,1,4,1.0,raw,2,0.4262842479494403,0.5884920634920635,0.4917570835829004,0.5912910618792973
8,bernoulli,1,4,1.0,raw,2,0.4672622914236017,0.630925925925926,0.49946286735419,0.5630032206119162
16,bernoulli,1,4,1.0,raw,2,0.4534204769291089,0.4766791044776119,0.4934170064843907,0.4949019607843137
40,bernoulli,1,4,1.0,raw,2,0.4530914721745773,0.5890257558790593,0.4926118686380715,0.6280438311688312
48,bernoulli,1,4,1.0,raw,2,0.4444810567451642,0.4195312499999999,0.4700545119824282,0.523611111111111
2,bernoulli,1,4,1.0,raw,2,0.449989453827938,0.5727810650887574,0.4951488176283365,0.5362753203803224
34,bernoulli,1,4,1.0,raw,2,0.4515051168392622,0.5644677661169416,0.4920470930585184,0.5746268656716418
39,bernoulli,1,4,1.0,raw,2,0.4499282044516768,0.4033333333333334,0.4927963094283215,0.6225071225071226
46,bernoulli,1,4,1.0,raw,2,0.4656854430273425,0.533103448275862,0.4982817301803194,0.5662471395881007
19,bernoulli,1,4,1.0,raw,2,0.4094041195187911,0.6059369202226346,0.4918833201382092,0.4995975855130785
14,bernoulli,1,4,1.0,raw,2,0.4430085529293959,0.4742351046698873,0.4983554108804838,0.527274784970575
35,bernoulli,1,4,1.0,raw,2,0.4311114212954826,0.5663418290854573,0.495161381842664,0.4448484848484848
6,bernoulli,1,4,1.0,raw,2,0.4612543504142808,0.5082458770614693,0.4904111414311553,0.553781512605042
23,bernoulli,1,4,1.0,raw,2,0.4568328100572827,0.4732008995502249,0.4992779345942212,0.5692918192918193
22,bernoulli,1,4,1.0,raw,2,0.4548961291855616,0.5311111111111111,0.4960116671441692,0.535450819672131
18,bernoulli,1,4,1.0,raw,2,0.4734538103825522,0.4240530303030303,0.4993476187942091,0.5947745901639344
5,bernoulli,1,4,1.0,raw,2,0.4314299194297735,0.5673884224480779,0.468350033193648,0.5657407407407407
47,bernoulli,1,4,1.0,raw,2,0.4727695739078883,0.5718157181571816,0.4996990549875957,0.5529292929292929
26,bernoulli,1,4,1.0,raw,2,0.4310016649594642,0.4745341614906832,0.479841148048931,0.5981182795698925
38,bernoulli,1,4,1.0,raw,2,0.4183866604153691,0.4344857020913359,0.4759920332957201,0.5618899733806566
42,bernoulli,1,4,1.0,raw,2,0.4459190587786537,0.532695374800638,0.4949117079897097,0.5288934426229508
10,bernoulli,1,4,1.0,raw,2,0.4629860952567501,0.5614100185528756,0.4894347032884318,0.4145877378435518
30,bernoulli,1,4,1.0,raw,2,0.4651154597564206,0.4696455505279034,0.4989556790986738,0.5074760765550239
11,bernoulli,1,4,1.0,raw,2,0.4635955657769139,0.479516806722689,0.4953119921756873,0.5334240186552662
15,bernoulli,1,4,1.0,raw,2,0.4365858507021297,0.5668402777777778,0.4552574950265814,0.671957671957672
31,bernoulli,1,4,1.0,raw,2,0.4513468382476904,0.4818909645444148,0.4717798699240464,0.558623811679493
41,bernoulli,1,4,1.0,raw,2,0.453370208821145,0.496484375,0.499063001284888,0.5476190476190476
29,bernoulli,1,4,1.0,raw,2,0.444619576607424,0.5858305586385497,0.4998545882256475,0.5668276972624798
3,bernoulli,1,4,1.0,raw,2,0.4459935551774305,0.5830374753451677,0.4897610024096996,0.5393784589186889
43,bernoulli,1,4,1.0,raw,2,0.4545005931986766,0.5042553191489362,0.4883610316901269,0.5633501748931209
7,bernoulli,1,4,1.0,raw,2,0.4189341972672755,0.4953007518796992,0.4703900732655846,0.6295194508009154
21,bernoulli,1,4,1.0,raw,2,0.4587464060629615,0.4872364039955605,0.4994911346221588,0.5359177859177859
0,bernoulli,1,4,1.0,raw,4,0.4549242340660869,0.5386762360446572,0.4895583427084181,0.5241014799154334
27,bernoulli,1,4,1.0,raw,2,0.4199250509452482,0.4679653679653679,0.4636395508217612,0.4662222222222222
25,bernoulli,1,4,1.0,raw,2,0.4423779283131833,0.48125,0.4953064566162334,0.5149590163934427
17,bernoulli,1,4,1.0,raw,2,0.4675494874424145,0.5379464285714286,0.4964659788743865,0.5246913580246914
33,bernoulli,1,4,1.0,raw,2,0.4496750711522104,0.4469696969696969,0.499775836286274,0.5426583299717628
13,bernoulli,1,4,1.0,raw,2,0.417495905719029,0.5021008403361344,0.4603970317048484,0.5860990860990861
9,bernoulli,1,4,1.0,raw,2,0.4488814870853722,0.6335565476190476,0.4930669103428332,0.5663967611336034
49,bernoulli,1,4,1.0,raw,2,0.448060541185654,0.578125,0.4942901596160624,0.5456740442655936
37,bernoulli,1,4,1.0,raw,2,0.4549670104234528,0.6133925268220496,0.4938737050345785,0.5775584206285254
1,bernoulli,1,4,1.0,raw,2,0.4623299595412463,0.4591648189209165,0.4978221161770265,0.5893860353130016
45,bernoulli,1,4,1.0,raw,2,0.4609636848900182,0.6556586270871985,0.4930948945442028,0.5423764021603655
4,bernoulli,1,4,1.0,raw,3,0.4710829694029984,0.5539730134932533,0.488290054241914,0.5969561515538526
24,bernoulli,1,4,1.0,raw,3,0.4544081606564059,0.5277975766215253,0.4916223581467641,0.536923076923077
44,bernoulli,1,4,1.0,raw,3,0.456832255543928,0.5142966069386199,0.4992782628937672,0.5846185064935066
28,bernoulli,1,4,1.0,raw,3,0.4133068422927931,0.6392496392496392,0.4686739859936446,0.5510204081632654
12,bernoulli,1,4,1.0,raw,3,0.4444722060963851,0.5570276497695853,0.4997517893541141,0.5302938808373591
36,bernoulli,1,4,1.0,raw,3,0.4509965630313651,0.6177777777777778,0.4910115165204741,0.5942028985507246
40,bernoulli,1,4,1.0,raw,3,0.4642700533924166,0.4908547965658828,0.4984160905981484,0.5260754870129869
16,bernoulli,1,4,1.0,raw,3,0.4539363109200666,0.5007462686567165,0.4936547585870708,0.5580392156862745
32,bernoulli,1,4,1.0,raw,3,0.4437359794228508,0.55859375,0.4854993691071989,0.5096073517126148
8,bernoulli,1,4,1.0,raw,3,0.4674706962652548,0.3762962962962963,0.4997778339334834,0.4938607085346215
48,bernoulli,1,4,1.0,raw,3,0.4446988478691766,0.535546875,0.4680898149965326,0.6398148148148148
20,bernoulli,1,4,1.0,raw,3,0.4283021442058168,0.5718253968253968,0.492586972840094,0.5613063407181054
2,bernoulli,1,4,1.0,raw,3,0.4478100790316406,0.5325443786982249,0.4939417231419157,0.531211244315833
34,bernoulli,1,4,1.0,raw,3,0.4547693244483467,0.5498500749625187,0.4990811398583707,0.5629286002420331
19,bernoulli,1,4,1.0,raw,3,0.4267462547709995,0.5679035250463822,0.4997870915823516,0.5493963782696177
14,bernoulli,1,4,1.0,raw,3,0.3910526033307273,0.4863123993558776,0.4712910601134477,0.5459483929379809
46,bernoulli,1,4,1.0,raw,3,0.4238974167395241,0.6160919540229884,0.4694838660223417,0.5466819221967963
6,bernoulli,1,4,1.0,raw,3,0.462686646663338,0.5386056971514244,0.4887030496266402,0.6228991596638656
23,bernoulli,1,4,1.0,raw,3,0.4568301842675034,0.4220389805097452,0.4992715924015346,0.6268823768823769
39,bernoulli,1,4,1.0,raw,3,0.4498435278226483,0.4937037037037037,0.4993638670949139,0.4364061864061864
35,bernoulli,1,4,1.0,raw,3,0.4320144070589476,0.5228635682158921,0.4950277785733418,0.5787878787878787
22,bernoulli,1,4,1.0,raw,3,0.4549001910705064,0.4966666666666667,0.4939146920061658,0.5799180327868851
38,bernoulli,1,4,1.0,raw,3,0.4483763716235103,0.488262910798122,0.4984989732245811,0.5006654835847383
47,bernoulli,1,4,1.0,raw,3,0.4702476101844493,0.5259388308168795,0.4990409206007803,0.49
18,bernoulli,1,4,1.0,raw,3,0.4684742116252841,0.4632575757575757,0.494472979928848,0.5885245901639345
26,bernoulli,1,4,1.0,raw,3,0.4478355341628786,0.5662525879917183,0.498421771001624,0.5427867383512545
11,bernoulli,1,4,1.0,raw,3,0.4626886595170815,0.5087535014005602,0.4992965428687447,0.5616012436844151
42,bernoulli,1,4,1.0,raw,3,0.4531050710570706,0.4338118022328548,0.496544085377841,0.5829918032786886
30,bernoulli,1,4,1.0,raw,3,0.4523371885413461,0.4034690799396682,0.4900341308880781,0.4583333333333333
10,bernoulli,1,4,1.0,raw,3,0.4565561058071883,0.5161410018552876,0.4888519461523293,0.5596194503171247
31,bernoulli,1,4,1.0,raw,3,0.4506450566340123,0.4452916507815478,0.4794196950027876,0.4669533725667723
5,bernoulli,1,4,1.0,raw,3,0.4350728419033309,0.5072912063632347,0.4707063381987627,0.5030092592592592
43,bernoulli,1,4,1.0,raw,3,0.4550213266708871,0.5882978723404255,0.4895858426401749,0.623979790128255
15,bernoulli,1,4,1.0,raw,3,0.4293181479184296,0.5833333333333334,0.4417029877189167,0.5817460317460317
3,bernoulli,1,4,1.0,raw,3,0.4450400840997333,0.4832347140039448,0.4894154308079833,0.4816943380161771
7,bernoulli,1,4,1.0,raw,3,0.4516561642032194,0.4668703007518797,0.498277064964062,0.578604118993135
27,bernoulli,1,4,1.0,raw,3,0.4554342750863357,0.554112554112554,0.4981139792320441,0.5938888888888889
29,bernoulli,1,4,1.0,raw,3,0.4383599141018506,0.5549389567147613,0.4961165475488141,0.5793075684380032
21,bernoulli,1,4,1.0,raw,3,0.460964234433502,0.4454310025897152,0.4971770526068859,0.4544159544159544
41,bernoulli,1,4,1.0,raw,3,0.4533704881951061,0.5072265625,0.4990647927782758,0.5540935672514619
0,bernoulli,1,4,1.0,raw,5,0.4708231539455762,0.524920255183413,0.497901985186105,0.5221987315010571
17,bernoulli,1,4,1.0,raw,3,0.4594629754922565,0.6558779761904762,0.4932117854529789,0.617798353909465
33,bernoulli,1,4,1.0,raw,3,0.4481216800572038,0.5765151515151515,0.4992761438656249,0.5648446954417103
25,bernoulli,1,4,1.0,raw,3,0.4461178106710433,0.547265625,0.4966253451171644,0.519672131147541
9,bernoulli,1,4,1.0,raw,3,0.4511627922960392,0.4869791666666667,0.493778925664069,0.5902834008097166
13,bernoulli,1,4,1.0,raw,3,0.4192019301320005,0.3689075630252101,0.4628702312113602,0.5834535834535834
49,bernoulli,1,4,1.0,raw,3,0.45615862819791,0.3934151785714285,0.499852695224063,0.5969818913480885
1,bernoulli,1,4,1.0,raw,3,0.4491770849393851,0.5059127864005913,0.4877030726049536,0.4851524879614767
37,bernoulli,1,4,1.0,raw,3,0.4648384606837826,0.4953755086940437,0.4997061521616724,0.4809629331184528
