seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
3,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4492587527832508,0.4753418803418803,0.3896209401153827,0.7611336032388664
1,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.3992957240658874,0.6308003405704555,0.4187202827385132,0.7263217097862766
3,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,3,0.4483311051747048,0.5288034188034189,0.3924714318284135,0.7717533478667081
1,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,3,0.3991081353294392,0.6331417624521073,0.4232929032116773,0.7329583802024746
9,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4580549203685651,0.4763608484538717,0.4038295532838932,0.7549419767907163
3,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,4,0.4475834146467717,0.519145299145299,0.3963764212831575,0.7638430395515416
1,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,4,0.4000027149823556,0.5340038314176245,0.4220566182031031,0.7382077240344956
9,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,3,0.4580780170699614,0.5332225913621262,0.4046727152005246,0.7547418967587035
4,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4733103175287366,0.483595041322314,0.4156544151509432,0.76357012109265
3,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,5,0.4492002234577683,0.5198290598290598,0.3997068754187009,0.781532232949237
1,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,5,0.3999856529047036,0.5925393784589187,0.4226444961972472,0.7323584551931008
9,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,4,0.4573228671900906,0.5243632336655593,0.4082960178231503,0.7414165666266506
0,beta,1,32,0.1,1.0,raw,transport_binary_strength,1,2,0.4606492709283371,0.5161027568922306,0.4214943828932506,0.7281157732773319
