seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,mirt_dim,rmse_mirt,auc_mirt,val_rmse_mirt,val_auc_mirt
0,beta,1,max,1.0,1.0,raw,30,0.4455130276171976,0.6201587535212955,0.3539975080240761,0.87569092283378
2,beta,1,max,1.0,1.0,raw,30,0.4300120601792522,0.6225555765243538,0.3526220144810096,0.8757691165568497
4,beta,1,max,1.0,1.0,raw,30,0.4438873877541059,0.6514709940939449,0.3553540390547288,0.8723320083480935
6,beta,1,max,1.0,1.0,raw,30,0.4422835350217478,0.608589334253786,0.3529672531967545,0.8811793477629455
10,beta,1,max,1.0,1.0,raw,30,0.4331856946818135,0.6281036259720791,0.3425581927356692,0.8852259566942465
8,beta,1,max,1.0,1.0,raw,30,0.4378193643319086,0.6087993229893073,0.3565646664138228,0.8741655642971524
12,beta,1,max,1.0,1.0,raw,30,0.43212873383427,0.6045901100818856,0.3603495155834585,0.8679919151364321
14,beta,1,max,1.0,1.0,raw,30,0.4405211799814456,0.5817579818683485,0.3529462391403162,0.8852383163818165
1,beta,1,max,1.0,1.0,raw,30,0.4406747242081004,0.6273214377439902,0.350002302434705,0.8731143091149567
3,beta,1,max,1.0,1.0,raw,30,0.4381027157241111,0.62524689460091,0.3618923833358065,0.8769817959106494
16,beta,1,max,1.0,1.0,raw,30,0.4338028377868831,0.6207447335059826,0.3608754183070127,0.8731860248522471
5,beta,1,max,1.0,1.0,raw,30,0.4207718519428378,0.6581352887983083,0.3569821430383135,0.8734045956045755
9,beta,1,max,1.0,1.0,raw,30,0.4306102381696583,0.651024061175783,0.3564807821941719,0.8736275854967271
13,beta,1,max,1.0,1.0,raw,30,0.4416740077986098,0.6398334943751487,0.3560579677478814,0.8757477254942367
7,beta,1,max,1.0,1.0,raw,30,0.4313428896225427,0.6467002051991015,0.3767318273653328,0.8571675766455158
11,beta,1,max,1.0,1.0,raw,30,0.4447293227440537,0.6170630585261534,0.3559153340096705,0.8779306026696985
