seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,bernoulli,1,none,1.0,pca,1,0.5,0.2808872240926625
1,bernoulli,1,none,1.0,pca,1,0.5,0.2783529965132679
10,bernoulli,1,none,1.0,pca,1,0.5,0.2709985956299911
11,bernoulli,1,none,1.0,pca,1,0.5,0.2604061633217137
12,bernoulli,1,none,1.0,pca,1,0.5,0.2591391732258881
13,bernoulli,1,none,1.0,pca,1,0.5,0.2577107835733865
14,bernoulli,1,none,1.0,pca,1,0.5,0.2690806838391776
15,bernoulli,1,none,1.0,pca,1,0.5,0.2713355747499568
16,bernoulli,1,none,1.0,pca,1,0.5,0.275626832021736
17,bernoulli,1,none,1.0,pca,1,0.5,0.2642774621124374
18,bernoulli,1,none,1.0,pca,1,0.5,0.2530826415424189
19,bernoulli,1,none,1.0,pca,1,0.5,0.2596834526022034
2,bernoulli,1,none,1.0,pca,1,0.5,0.2491996739898573
20,bernoulli,1,none,1.0,pca,1,0.5,0.2630935968021844
21,bernoulli,1,none,1.0,pca,1,0.5,0.2572842156081646
22,bernoulli,1,none,1.0,pca,1,0.5,0.2838278883689694
23,bernoulli,1,none,1.0,pca,1,0.5,0.2751342039574881
24,bernoulli,1,none,1.0,pca,1,0.5,0.2893069496636007
25,bernoulli,1,none,1.0,pca,1,0.5,0.2845544605120687
26,bernoulli,1,none,1.0,pca,1,0.5,0.2706403992656742
27,bernoulli,1,none,1.0,pca,1,0.5,0.2628964643127461
28,bernoulli,1,none,1.0,pca,1,0.5,0.2974479442020422
29,bernoulli,1,none,1.0,pca,1,0.5,0.2815634384944064
3,bernoulli,1,none,1.0,pca,1,0.5,0.2602370723697947
30,bernoulli,1,none,1.0,pca,1,0.5,0.2550977334259783
31,bernoulli,1,none,1.0,pca,1,0.5,0.2541970568347728
32,bernoulli,1,none,1.0,pca,1,0.5,0.2568135995179862
33,bernoulli,1,none,1.0,pca,1,0.5,0.2871429786998746
34,bernoulli,1,none,1.0,pca,1,0.5,0.2562681238231587
35,bernoulli,1,none,1.0,pca,1,0.5,0.2640166112991191
36,bernoulli,1,none,1.0,pca,1,0.5,0.2628625670561618
37,bernoulli,1,none,1.0,pca,1,0.5,0.2669743596831315
38,bernoulli,1,none,1.0,pca,1,0.5,0.2765297293779102
39,bernoulli,1,none,1.0,pca,1,0.5,0.2839622976964415
4,bernoulli,1,none,1.0,pca,1,0.5,0.2609415185356221
40,bernoulli,1,none,1.0,pca,1,0.5,0.2690039327725725
41,bernoulli,1,none,1.0,pca,1,0.5,0.253201577883063
42,bernoulli,1,none,1.0,pca,1,0.5,0.2549743487976178
43,bernoulli,1,none,1.0,pca,1,0.5,0.2791785409641488
44,bernoulli,1,none,1.0,pca,1,0.5,0.246324415944223
45,bernoulli,1,none,1.0,pca,1,0.5,0.2778778440653386
46,bernoulli,1,none,1.0,pca,1,0.5,0.263263725580462
47,bernoulli,1,none,1.0,pca,1,0.5,0.244516076357567
48,bernoulli,1,none,1.0,pca,1,0.5,0.2504928320755741
49,bernoulli,1,none,1.0,pca,1,0.5,0.258614924160363
5,bernoulli,1,none,1.0,pca,1,0.5,0.2618104290164314
6,bernoulli,1,none,1.0,pca,1,0.5,0.2749221279688389
7,bernoulli,1,none,1.0,pca,1,0.5,0.2604470457795232
8,bernoulli,1,none,1.0,pca,1,0.5,0.2640232711635697
9,bernoulli,1,none,1.0,pca,1,0.5,0.2573950161619245
