seed,model_type,n_samples,pre_revision,j_percentage,baseline_embedding_type,agent_batch_size,auc_naive,rmse_naive
0,beta,1,32,0.3,pca,32,0.5,0.4401992059451337
1,beta,1,32,0.3,pca,32,0.5,0.4708808784897672
10,beta,1,32,0.3,pca,32,0.5,0.4368356019511448
11,beta,1,32,0.3,pca,32,0.5,0.4435816304377629
12,beta,1,32,0.3,pca,32,0.5,0.4502353278061811
13,beta,1,32,0.3,pca,32,0.5,0.4607238274280071
14,beta,1,32,0.3,pca,32,0.5,0.4533324424504661
15,beta,1,32,0.3,pca,32,0.5,0.4274636025577946
16,beta,1,32,0.3,pca,32,0.5,0.4520477281633387
17,beta,1,32,0.3,pca,32,0.5,0.4408606305020842
18,beta,1,32,0.3,pca,32,0.5,0.4506711121191524
19,beta,1,32,0.3,pca,32,0.5,0.4563430919782229
2,beta,1,32,0.3,pca,32,0.5,0.4300252627281733
20,beta,1,32,0.3,pca,32,0.5,0.4666369495409956
21,beta,1,32,0.3,pca,32,0.5,0.4578474532705283
22,beta,1,32,0.3,pca,32,0.5,0.4399086011707376
23,beta,1,32,0.3,pca,32,0.5,0.4145062066546466
24,beta,1,32,0.3,pca,32,0.5,0.4684960790172881
25,beta,1,32,0.3,pca,32,0.5,0.4362876647932295
26,beta,1,32,0.3,pca,32,0.5,0.4786660094327497
27,beta,1,32,0.3,pca,32,0.5,0.4510821133451503
28,beta,1,32,0.3,pca,32,0.5,0.4662364484489735
29,beta,1,32,0.3,pca,32,0.5,0.4341437314169328
3,beta,1,32,0.3,pca,32,0.5,0.4395357859540527
30,beta,1,32,0.3,pca,32,0.5,0.4561356139825929
31,beta,1,32,0.3,pca,32,0.5,0.4252043674470326
32,beta,1,32,0.3,pca,32,0.5,0.4435364121871959
33,beta,1,32,0.3,pca,32,0.5,0.4411022016828355
34,beta,1,32,0.3,pca,32,0.5,0.4546137884371234
35,beta,1,32,0.3,pca,32,0.5,0.4596444436142361
36,beta,1,32,0.3,pca,32,0.5,0.4610318232866114
37,beta,1,32,0.3,pca,32,0.5,0.4541374602536478
38,beta,1,32,0.3,pca,32,0.5,0.449830294106713
39,beta,1,32,0.3,pca,32,0.5,0.4490535930050182
4,beta,1,32,0.3,pca,32,0.5,0.4675602755728856
40,beta,1,32,0.3,pca,32,0.5,0.4651635296206801
41,beta,1,32,0.3,pca,32,0.5,0.4504381464083773
42,beta,1,32,0.3,pca,32,0.5,0.4511478962656948
43,beta,1,32,0.3,pca,32,0.5,0.4557428376100075
44,beta,1,32,0.3,pca,32,0.5,0.4409041798612163
45,beta,1,32,0.3,pca,32,0.5,0.4524618261526649
46,beta,1,32,0.3,pca,32,0.5,0.4673718060202984
47,beta,1,32,0.3,pca,32,0.5,0.4604812400581461
48,beta,1,32,0.3,pca,32,0.5,0.465876258033669
49,beta,1,32,0.3,pca,32,0.5,0.4501640159998965
5,beta,1,32,0.3,pca,32,0.5,0.4494681288099502
6,beta,1,32,0.3,pca,32,0.5,0.4577681803163402
7,beta,1,32,0.3,pca,32,0.5,0.4477467011149684
8,beta,1,32,0.3,pca,32,0.5,0.4535339746040507
9,beta,1,32,0.3,pca,32,0.5,0.4727425299467329
