seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,auc_naive,rmse_naive
7,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4364286144793723
3,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4534297280200899
2,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4462681604745225
6,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,10,0.5,0.4657080973011129
0,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4722464337484381
1,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,20,0.5,0.4628445244217883
5,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,10,0.5,0.4284184876945975
15,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4664346734208815
10,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,20,0.5,0.4631871589460701
8,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4514528365769493
4,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4726135297653117
30,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4780814867851171
26,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4697387598559698
11,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4752764154815745
14,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4539072256685102
35,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4462790289821508
47,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4332783729135796
23,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,20,0.5,0.4428392796303234
18,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4475415640447518
27,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4876591801578258
28,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4701651827216211
38,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4450964989400849
34,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4635143986371815
22,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4616979855743197
42,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,10,0.5,0.4616678077491999
46,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4572186045257627
19,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,20,0.5,0.442502222513555
39,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.435850285792413
9,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,10,0.5,0.453791916805333
31,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,20,0.5,0.4414128497145153
24,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,10,0.5,0.4466293673575371
16,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,20,0.5,0.4456933049717416
43,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4620281344770878
48,bernoulli,1,16,1.0,1.0,raw,transport_binary_strength,1,16,16.0,50,0.5,0.4792914193611576
