seed,model_type,n_samples,pre_revision,j_percentage,train_retention,baseline_embedding_type,pre_population_match,pre_population_match_version,agent_batch_size,effective_pre_weight_sum,selected_knn_k,knn_selection_version,auc_naive,rmse_naive
1,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4811405819197979
0,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4827749682162282
2,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4576703680953351
4,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4994359560252701
7,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4523761085439751
5,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4517089322533091
6,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.457457856832494
14,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4528507356316125
19,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4518981801283174
29,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4688575780128984
22,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4753316869380619
27,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4810928385355171
46,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4744881212106269
10,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4214735947185756
18,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.499135387427208
23,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4474249643412649
31,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4563800541491572
43,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4818781363784704
49,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4772291991894841
44,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4833031454469762
16,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4519778232535449
32,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.454866794092852
42,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4602090607731349
38,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.5032042115212638
25,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.463045874849272
48,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4739616117957891
9,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.462142420124922
20,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4458845546598077
13,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4735582902622283
35,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4566522477680129
12,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4636547043665256
11,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.5000528367258738
26,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4617388435290316
41,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,20,2,0.5,0.4618296798182734
30,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4624012480806382
37,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.5014758382778729
34,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4799713102846517
28,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4610914684408548
15,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4367402496232119
39,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4563976036018058
45,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4654603122844065
47,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4541675314617964
40,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4844066548002173
21,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4471875251647387
17,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4784642873200512
3,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4525843222701009
8,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4733625447075366
33,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4676680635336019
24,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4804363394869994
36,bernoulli,1,32,0.7,1.0,raw,transport_binary_strength,1,32,32.0,50,2,0.5,0.4786213972006388
